university_name,QS_Rank,THE_Rank,ARWU_Rank,Enrollment,Undergrad_Students,Postgrad_Students,Student_Faculty_Ratio,Research_Output,International_Students (%),Tuition_Fee_USD,Acceptance_Rate (%),Graduation_Rate (%),Employability_Rank,QS_Subject_Rank,Position,Location,Established_Year,Number_of_Campuses,Programs_Offered,Total_Faculty,Campus_Area_Acres,qs_rank_2026,the_rank_2026,arwu_rank_2025,qs_score,the_score,arwu_score,qs_academic_rep,qs_employer_rep,qs_faculty_student,qs_citations,qs_intl_faculty,qs_intl_students,the_teaching,the_research_env,the_research_quality,the_industry,the_intl_outlook,founded,intl_students_pct,nobel_laureates,fields_medalists,ranked_in_all_3,avg_rank_all3,university_age_2026,data_sources,id,ror,country_code,type,works_count,cited_by_count,is_super_system,summary_stats.2yr_mean_citedness,summary_stats.h_index,summary_stats.i10_index,geo.city,geo.country,geo.latitude,geo.longitude,international.display_name.en,international.display_name.ur,citations_per_work,university_id,year,world_rank,national_rank,overall_score,city,academic_reputation_score,employer_reputation_score,citations_score,publications_count,citations_count,citations_per_faculty,h_index,research_output_score,research_productivity_index,subject_field,international_students_count,international_student_ratio,faculty_count,faculty_to_student_ratio,gender_ratio,female_percentage,male_percentage,degree_level,undergraduate_count,postgraduate_count,country_avg_rank,universities_ranked_count,best_university_rank,country_avg_overall_score,country_avg_academic_reputation,country_avg_citations,country_avg_international_ratio,country,region,university_type,total_students,Global_Ranking_Score,Research_Impact_Score,Faculty_to_Student_Ratio,International_Student_Percentage,Academic_Reputation_Score,Research_Productivity_Index
aalborg university,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,5.0,2016.0,250.0,5.0,44.6075,Aalborg,52.96460063,47.91590977,54.66729805,10487.0,118816.0,63.8797242,374.0,53.8,5.64,Arts & Humanities,2613.0,15.0,1860.0,9.366666667,48:52:00,48.0,52.0,Undergraduate & Postgraduate,13523.0,3899.0,193.33,6.0,82.0,49.94,50.25,55.77,16.83,Denmark,Europe,Public,17422.0,1.0,0.1296503990187212,0.10676156583629894,14.998278039260704,0.26561986273821464,5.638172043010752
aalto university,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,6.0,2016.0,257.0,2.0,44.245,Espoo,41.87060174,52.54870301,44.37245707,5105.0,42410.0,30.53258525,187.0,43.1,3.68,Arts & Humanities,2737.0,17.0,1389.0,11.59035277,32 : 68,32.0,68.0,Undergraduate & Postgraduate,12911.0,3188.0,352.89,9.0,76.0,38.96,38.59,40.11,9.0,Finland,Europe,Public,16099.0,1.0,0.04632089852217606,0.08627865084787875,17.00105596620908,0.20998295757271815,3.675305975521958
aarhus university,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,7.0,2016.0,107.0,2.0,57.7,Aarhus,57.39171138,59.39062196,73.82793994,7998.0,94259.0,71.30005863,283.0,65.6,6.05,Natural Sciences,3345.0,14.0,1322.0,18.07488654,54:46:00,54.0,46.0,Undergraduate & Postgraduate,16826.0,7069.0,193.33,6.0,82.0,49.94,50.25,55.77,16.83,Denmark,Europe,Public,23895.0,1.0,0.10284294885489804,0.0553253818790542,13.998744507219083,0.2878220229689067,6.049924357034795
abai kazakh national pedagogical university,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,8.0,2017.0,525.5,4.0,46.4,Almaty,41.95876084,56.18715976,38.82737848,148.0,1700.0,33.99651787,42.0,40.4,2.96,Social Sciences & Management,333.0,2385.728614,50.0,7.0,42:58:00,42.40293505,57.59706495,Undergraduate & Postgraduate,9.0,5.0,528.12,8.0,236.0,38.08,42.57,37.89,1158.35,Kazakhstan,Asia,Public,13.958,1.0,0.001884939237516768,3.5821750967187276,2385.728614414673,0.21042507943831493,2.96
abasyn university,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,https://openalex.org/I53831458,https://ror.org/05ws11813,PK,education,1363.0,16932.0,False,4.3033268101761255,55.0,384.0,Peshawar,Pakistan,34.008,71.57849,Abasyn University,丕亘丕爻蹖賳 蹖賵賳蹖賵乇爻俟蹖,12.42259721203228,,,,,,,0.0,,,0.0,0.0,,0.0,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,1.0,0.013824339230277465,0.0,0.0,0.0,0.0
abbasi shaheed hospital,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,https://openalex.org/I2801788457,https://ror.org/02b72da46,PK,healthcare,760.0,3629.0,False,0.6938775510204082,26.0,81.0,Karachi,Pakistan,24.8608,67.0104,Abbasi Shaheed Hospital,毓亘丕爻蹖 卮蹃蹖丿 蹃爻倬鬲丕賱,4.775,,,,,,,0.0,,,0.0,0.0,,0.0,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,1.0,0.002962941593826892,0.0,0.0,0.0,0.0
abbottabad university of science and technology,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,https://openalex.org/I3131573596,https://ror.org/0549hdw45,PK,education,3618.0,61030.0,False,5.048069345941687,91.0,1545.0,Havelian,Pakistan,34.05348,73.15993,Abbottabad University of Science and Technology,丕蹖亘俟 丌亘丕丿 蹖賵賳蹖賵乇爻俟蹖 丌賮 爻丕卅賳爻 丕蹖賳趫 俟蹖讴賳丕賱賵噩蹖,16.868435599778884,,,,,,,0.0,,,0.0,0.0,,0.0,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,1.0,0.04982869260712461,0.0,0.0,0.0,0.0
abdelmalek essaâdi university,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,9.0,2023.0,1471.0,8.0,18.9525,Morocco,22.12713122,15.58379495,18.2223914,28888.0,96297.0,12.89117163,300.0,20.2,3.87,Arts & Humanities,1127.0,1.0,7470.0,15.08393574,50:50:00,50.0,50.0,Undergraduate & Postgraduate,80158.0,32519.0,1371.44,9.0,1175.0,21.09,18.66,18.38,3.04,Morocco,Africa,Private,112677.0,1.0,0.10507542886722118,0.06629569477355628,1.0002041232904675,0.11096856178535607,3.867202141900937
abdul wali khan university mardan,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,https://openalex.org/I181063083,https://ror.org/03b9y4e65,PK,funder,9312.0,181133.0,False,5.857581573896353,140.0,3954.0,Mardan,Pakistan,34.19794,72.04965,Abdul Wali Khan University Mardan,噩丕賲毓蹃 毓亘丿 丕賱賵賱蹖 禺丕賳 賲乇丿丕賳,19.451567869415808,10.0,2021.0,595.0,4.0,36.61,Pakistan,42.97783764,37.36605805,41.27433279,2431.0,29258.0,45.22170258,171.0,42.1,3.76,Life Sciences & Medicine,97.0,1.0,647.0,14.9366306,29 : 71,29.0,71.0,Undergraduate & Postgraduate,5665.0,3999.0,935.4,20.0,355.0,25.17,25.92,24.72,252.35,Pakistan,Asia,Public,9664.0,1.0,0.1798786138321228,0.06694950331125828,1.0037251655629138,0.21553579558676025,18.149922720247297
abdullah gül university,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,11.0,2026.0,918.0,8.0,36.918,Turkey,37.67977679,39.78910301,32.17029201,487.0,4170.0,22.66251453,64.0,34.9,2.65,Social Sciences & Management,238.0,8.0,184.0,16.17934783,50:50:00,50.0,50.0,Undergraduate & Postgraduate,1704.0,1273.0,1633.16,98.0,351.0,24.68,24.91,23.94,9.43,Turkey,Asia,Public,2977.0,1.0,0.004591783831270994,0.06180718844474303,7.99462546187437,0.18896578129388164,2.6467391304347827
