university_id,university_name,year,world_rank,national_rank,overall_score,country,region,city,university_type,Academic Reputation Score,Employer Reputation Score,citations_score,publications_count,Citations_Count,Citations per Faculty Score,research_output_score,research_productivity_index,subject_field,total_students,international_students_count,faculty_count,faculty_to_student_ratio,gender_ratio,female_percentage,male_percentage,degree_level,Enrollment,country_avg_rank,universities_ranked_count,best_university_rank,country_avg_overall_score,country_avg_academic_reputation,country_avg_citations,country_avg_international_ratio,Teaching,Research Environment,Research Quality,international_student_percentage,global_ranking_score,research_impact_score,academic_reputation_score
U0001,University of Cambridge,2024,4.0,1.0,99.2,United Kingdom,Europe,Cambridge,Public,100.0,100.0,94.0,12.0,19.0,92.3,100.0,50.6,"Business & Management,General Engineering,Art, Performing Arts & Design,Chemical Engineering,Archaeology,Education,Chemistry,Architecture,Other Health,Veterinary Science,Sociology,Medicine & Dentistry,Mechanical & Aerospace Engineering,Psychology,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Geography,Accounting & Finance,Biological Sciences,Computer Science,Politics & International Studies (incl Development Studies),Economics & Econometrics,Law,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Civil Engineering,Physics & Astronomy,Mathematics & Statistics",20565.0,38%,"5,800",0.282,48:52:00,48.0,52.0,Undergraduate & Postgraduate,20980.0,455.4347826086956,69,1.0,50.81734057971014,25.96666666666667,388.05,48.5,95.8,100.0,98.0,38,99.7,95.72,100.0
U0002,University of Oxford,2024,5.0,2.0,98.9,United Kingdom,Europe,Oxford,Public,100.0,100.0,95.1,9.0,4.0,90.6,100.0,50.45,"Accounting & Finance,General Engineering,Communication & Media Studies,Biological Sciences,Art, Performing Arts & Design,Other Health,Mathematics & Statistics,Education,Civil Engineering,Medicine & Dentistry,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Electrical & Electronic Engineering,Physics & Astronomy,Economics & Econometrics,Law,Sociology,Business & Management,Mechanical & Aerospace Engineering,Geography,History, Philosophy & Theology,Computer Science,Chemistry,Chemical Engineering,Psychology,Archaeology,Geology, Environmental, Earth & Marine Sciences",21750.0,42%,"6,708",0.3084,49:51:00,49.0,51.0,Undergraduate & Postgraduate,22095.0,455.4347826086956,69,1.0,50.81734057971014,25.96666666666667,388.05,48.5,96.6,100.0,99.0,42,99.6,95.26,100.0
U0003,Harvard University,2024,1.0,1.0,98.3,United States,North America,Cambridge,Private,100.0,100.0,98.8,1.0,1.0,100.0,100.0,50.05,"Mathematics & Statistics,Civil Engineering,Languages, Literature & Linguistics,Art, Performing Arts & Design,Business & Management,General Engineering,Geography,Archaeology,Geology, Environmental, Earth & Marine Sciences,Computer Science,Chemistry,Sociology,Mechanical & Aerospace Engineering,Accounting & Finance,Other Health,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Agriculture & Forestry,Psychology,Economics & Econometrics,Communication & Media Studies,Biological Sciences,Architecture,Medicine & Dentistry,Law,Physics & Astronomy,Education,History, Philosophy & Theology",20050.0,25%,"4,646",0.2317,51:49:00,51.0,49.0,Undergraduate & Postgraduate,22584.0,362.265306122449,98,2.0,56.84324489795918,31.06530612244898,265.6666666666667,23.5,97.7,99.9,99.4,25,100.0,99.76,100.0
U0004,Stanford University,2024,2.0,2.0,98.1,United States,North America,Stanford,Private,100.0,100.0,99.2,10.0,2.0,99.9,100.0,50.5,"Physics & Astronomy,Computer Science,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Geology, Environmental, Earth & Marine Sciences,Agriculture & Forestry,Medicine & Dentistry,Education,Communication & Media Studies,Chemistry,Mechanical & Aerospace Engineering,Languages, Literature & Linguistics,History, Philosophy & Theology,Psychology,Mathematics & Statistics,Biological Sciences,Sociology,Law,Accounting & Finance,Business & Management,Archaeology,General Engineering,Civil Engineering,Chemical Engineering,Other Health,Economics & Econometrics,Electrical & Electronic Engineering,Veterinary Science",14517.0,23%,"4,725",0.3255,47:53:00,47.0,53.0,Undergraduate & Postgraduate,16963.0,362.265306122449,98,2.0,56.84324489795918,31.06530612244898,265.6666666666667,23.5,99.0,97.8,99.6,23,99.9,99.8,100.0
U0005,Imperial College London,2024,30.0,4.0,97.8,United Kingdom,Europe,London,Public,98.3,99.4,88.3,21.0,29.0,94.0,100.0,51.05,"Mechanical & Aerospace Engineering,General Engineering,Mathematics & Statistics,Medicine & Dentistry,Chemical Engineering,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,Computer Science,Chemistry,Civil Engineering,Other Health,Electrical & Electronic Engineering,Biological Sciences",20275.0,61%,"8,000",0.3946,42:58:00,42.0,58.0,Undergraduate & Postgraduate,21000.0,455.4347826086956,69,1.0,50.81734057971014,25.96666666666667,388.05,48.5,90.9,95.5,98.6,61,97.09,95.26,98.3
U0006,UCL,2024,999.0,999.0,92.4,United Kingdom,Europe,London,Public,99.5,97.9,80.6,,0.0,74.3,100.0,50.0,"Archaeology,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Civil Engineering,Physics & Astronomy,Education,Psychology,Computer Science,Mathematics & Statistics,Architecture,Chemistry,Medicine & Dentistry,General Engineering,Economics & Econometrics,Law,Geography,Business & Management,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Languages, Literature & Linguistics,Biological Sciences,Communication & Media Studies,Other Health,Electrical & Electronic Engineering,Sociology",41110.0,61%,"7,195",0.175,59:41:00,59.0,41.0,Undergraduate & Postgraduate,46830.0,455.4347826086956,69,1.0,50.81734057971014,25.96666666666667,388.05,48.5,78.4,86.4,98.6,61,0.0,85.84,99.5
U0007,University of Pennsylvania,2024,13.0,10.0,89.4,United States,North America,Philadelphia,Private,96.4,89.1,93.6,16.0,13.0,68.4,100.0,50.8,"Economics & Econometrics,Archaeology,Medicine & Dentistry,Geography,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Law,Veterinary Science,Sociology,Biological Sciences,Psychology,Civil Engineering,Computer Science,Sport Science,Languages, Literature & Linguistics,Mathematics & Statistics,Communication & Media Studies,Agriculture & Forestry,Other Health,Business & Management,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Chemistry,Electrical & Electronic Engineering,Art, Performing Arts & Design,Chemical Engineering,Education,Architecture,Physics & Astronomy,General Engineering,History, Philosophy & Theology",21312.0,22%,"5,154",0.2418,54:46:00,54.0,46.0,Undergraduate & Postgraduate,22539.0,362.265306122449,98,2.0,56.84324489795918,31.06530612244898,265.6666666666667,23.5,87.7,89.7,97.6,22,98.8,86.08,96.4
U0008,Cornell University,2024,14.0,11.0,89.3,United States,North America,Ithaca,Private,98.1,90.5,88.1,31.0,40.0,99.1,100.0,51.55,"Other Health,Biological Sciences,Psychology,Economics & Econometrics,Mathematics & Statistics,Languages, Literature & Linguistics,Electrical & Electronic Engineering,History, Philosophy & Theology,Sociology,Physics & Astronomy,Computer Science,Chemistry,Archaeology,Veterinary Science,Politics & International Studies (incl Development Studies),General Engineering,Chemical Engineering,Law,Architecture,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Mechanical & Aerospace Engineering,Art, Performing Arts & Design,Agriculture & Forestry,Business & Management,Communication & Media Studies",23620.0,24%,"2,843",0.1204,51:49:00,51.0,49.0,Undergraduate & Postgraduate,25898.0,362.265306122449,98,2.0,56.84324489795918,31.06530612244898,265.6666666666667,23.5,85.7,88.7,97.6,24,98.69,97.26,98.1
U0009,Yale University,2024,11.0,9.0,87.7,United States,North America,New Haven,Private,99.9,99.9,91.5,37.0,31.0,45.8,100.0,51.85,"Economics & Econometrics,Medicine & Dentistry,Mathematics & Statistics,Politics & International Studies (incl Development Studies),Other Health,Accounting & Finance,Architecture,Law,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Agriculture & Forestry,History, Philosophy & Theology,General Engineering,Electrical & Electronic Engineering,Chemistry,Physics & Astronomy,Archaeology,Biological Sciences,Computer Science,Psychology,Business & Management,Chemical Engineering,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Sociology",11924.0,21%,"5,391",0.4521,51:49:00,51.0,49.0,Undergraduate & Postgraduate,14401.0,362.265306122449,98,2.0,56.84324489795918,31.06530612244898,265.6666666666667,23.5,94.0,94.9,97.7,21,99.0,76.62,99.9
U0010,Peking University,2024,92.0,1.0,87.0,China (Mainland),Asia,Beijing,Public,99.4,95.4,72.2,23.0,167.0,97.5,100.0,51.15,"Other Health,Physics & Astronomy,Business & Management,Psychology,Education,Biological Sciences,Medicine & Dentistry,Communication & Media Studies,Art, Performing Arts & Design,General Engineering,Chemistry,Languages, Literature & Linguistics,Mathematics & Statistics,Computer Science,Sociology,Archaeology,Accounting & Finance,Law,Geography,Economics & Econometrics,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences",33064.0,14%,"5,302",0.1604,50:50,,,Undergraduate & Postgraduate,34981.0,328.4,35,12.0,56.53822857142857,28.66857142857143,574.8823529411765,12.0,95.6,97.3,87.2,14,90.86,93.44,99.4
