Rank;Global Rank;Institution;Country;Sector;Best Country Quartile
1;4;Harvard University *;USA;Universities;1
2;5;University of Chinese Academy of Sciences *;CHN;Universities;1
3;6;Zhejiang University *;CHN;Universities;1
4;8;Tsinghua University *;CHN;Universities;1
5;10;Shanghai Jiao Tong University *;CHN;Universities;1
6;11;Peking University *;CHN;Universities;1
7;12;Harvard Medical School;USA;Universities;1
8;18;Stanford University *;USA;Universities;1
9;25;Huazhong University of Science and Technology *;CHN;Universities;1
10;26;University of Oxford *;GBR;Universities;1
11;30;University College London *;GBR;Universities;1
12;32;Sichuan University *;CHN;Universities;1
13;33;Johns Hopkins University *;USA;Universities;1
14;39;University of Toronto *;CAN;Universities;1
15;40;Sun Yat-Sen University *;CHN;Universities;1
16;41;Massachusetts Institute of Technology *;USA;Universities;1
17;42;Central South University *;CHN;Universities;1
18;43;University of Michigan, Ann Arbor *;USA;Universities;1
19;45;University of Washington *;USA;Universities;1
20;46;Fudan University *;CHN;Universities;1
21;52;University of Pennsylvania *;USA;Universities;1
22;56;Harbin Institute of Technology;CHN;Universities;1
23;58;Xi'an Jiaotong University *;CHN;Universities;1
24;59;National University of Singapore *;SGP;Universities;1
25;61;Cornell University *;USA;Universities;1
26;63;University of Cambridge *;GBR;Universities;1
27;65;Columbia University *;USA;Universities;1
28;69;Imperial College London *;GBR;Universities;1
29;70;University of California, Los Angeles *;USA;Universities;1
30;72;University of Melbourne *;AUS;Universities;1
31;75;University of Amsterdam *;NLD;Universities;1
32;76;Yale University *;USA;Universities;1
33;77;University of Science and Technology of China *;CHN;Universities;1
34;79;Shandong University *;CHN;Universities;1
35;80;Wuhan University *;CHN;Universities;1
36;82;Tongji University *;CHN;Universities;1
36;82;Southeast University, Nanjing *;CHN;Universities;1
38;90;Tianjin University *;CHN;Universities;1
39;93;University of Sydney *;AUS;Universities;1
40;94;Monash University, Melbourne *;AUS;Universities;1
41;95;University of California, Berkeley *;USA;Universities;1
42;98;University of California, San Francisco *;USA;Universities;1
43;99;Universidade de Sao Paulo *;BRA;Universities;1
44;101;Zhengzhou University *;CHN;Universities;1
45;107;University of New South Wales *;AUS;Universities;1
46;110;Vrije Universiteit Amsterdam *;NLD;Universities;1
47;111;South China University of Technology;CHN;Universities;1
48;115;Duke University *;USA;Universities;1
49;116;New York University *;USA;Universities;1
50;117;Jilin University *;CHN;Universities;1
51;118;Universitat de Barcelona *;ESP;Universities;1
52;120;University of California, San Diego *;USA;Universities;1
53;124;University of Chicago *;USA;Universities;1
54;126;The University of Queensland *;AUS;Universities;1
55;129;University of Electronic Science and Technology of China *;CHN;Universities;1
56;131;Bukhara State Pedagogical Institute;UZB;Universities;1
57;132;Swiss Federal Institute of Technology;CHE;Universities;1
58;135;Seoul National University *;KOR;Universities;1
59;137;Nanyang Technological University *;SGP;Universities;1
60;138;Sorbonne Universite *;FRA;Universities;1
60;138;University of North Carolina, Chapel Hill *;USA;Universities;1
62;141;University of Tokyo *;JPN;Universities;1
63;143;Northwestern University, Evanston *;USA;Universities;1
64;144;The University of British Columbia *;CAN;Universities;1
65;154;Kings College London *;GBR;Universities;1
66;158;Ohio State University, Columbus *;USA;Universities;1
67;160;BeiHang University *;CHN;Universities;1
68;162;Utrecht University *;NLD;Universities;1
69;163;The Chinese University of Hong Kong *;HKG;Universities;1
70;165;University of Minnesota, Twin Cities *;USA;Universities;1
71;166;University of Florida *;USA;Universities;1
72;167;Chongqing University *;CHN;Universities;1
73;168;McGill University *;CAN;Universities;1
74;170;Beijing Institute of Technology;CHN;Universities;1
75;174;University of Wisconsin, Madison *;USA;Universities;1
76;177;University of Copenhagen;DNK;Universities;1
77;178;Nanjing University *;CHN;Universities;1
78;180;Catholic University of Leuven *;BEL;Universities;1
79;182;The University of Edinburgh *;GBR;Universities;1
80;187;Technische Universitat Munchen *;DEU;Universities;1
81;188;Chinese Academy of Medical Sciences and Peking Union Medical College *;CHN;Universities;1
82;192;University of Southern California *;USA;Universities;1
83;194;University of California, Davis *;USA;Universities;1
84;195;The University of Hong Kong *;HKG;Universities;1
85;196;The University of Manchester *;GBR;Universities;1
86;200;Pennsylvania State University *;USA;Universities;1
87;202;Karolinska Institute *;SWE;Universities;1
88;203;Northwestern Polytechnical University;CHN;Universities;1
89;205;Washington University in Saint Louis *;USA;Universities;1
90;206;University of Illinois at Urbana-Champaign *;USA;Universities;1
