,Rank,Previous Rank,Name,Country/Territory,Research,Status,AR SCORE,AR RANK,ER SCORE,ER RANK,FSR SCORE,FSR RANK,CPF SCORE,CPF RANK,IFR SCORE,IFR RANK,ISR SCORE,ISR RANK,IRN SCORE,IRN RANK,SUS SCORE,SUS RANK,Overall SCORE
0,1,1,Massachusetts Institute of Technology (MIT),United States of America,VH,Private not for Profit,100.0,4,100.0,2,100.0,16,100.0,7,100.0,63,91.6,153,94.1,98,93.8,33,100
1,2,2,Imperial College London,United Kingdom,VH,Public,99.6,22,100.0,9,99.3,42,95.0,69,100.0,74,100.0,35,97.5,28,98.3,7=,99.4
2,3,6,Stanford University,United States of America,VH,Private not for Profit,100.0,5,100.0,3,100.0,17,99.7,24,94.2,188,73.5,261,96.5,49,95.4,19=,98.9
3,4,3,University of Oxford,United Kingdom,VH,Public,100.0,2,100.0,4,100.0,9,91.0,98,98.8,132,98.6,80,100.0,1,77.9,198=,97.9
4,5,4,Harvard University,United States of America,VH,Private not for Profit,100.0,1,100.0,1,98.3,50,100.0,1,79.1,300,81.4,217,99.4,8,77.8,201=,97.7
5,6,5,University of Cambridge,United Kingdom,VH,Public,100.0,3,100.0,5,100.0,23,88.6,107,100.0,80,93.1,144,99.2,12,78.4,194,97.2
6,7,7,ETH Zurich (Swiss Federal Institute of Technology),Switzerland,VH,Public,99.7,18,96.3,42,71.7,214,98.8,40,100.0,28,99.3,58,95.8,64,99.6,2,96.7
7,8,8,National University of Singapore (NUS),Singapore,VH,Public,99.9,14,98.2,32,71.5,216,95.9,64,100.0,37,96.9,101,92.4,140,90.0,63=,95.9
8,9,9,UCL (University College London),United Kingdom,VH,Public,99.9,15,99.4,18,94.8,77,80.9,151,99.6,108,100.0,27,99.9,2,98.5,5=,95.8
9,10,10,California Institute of Technology (Caltech),United States of America,VH,Private not for Profit,98.3,33,99.2,23,100.0,5,100.0,3,100.0,65,90.7,161,61.8,665,79.2,185,94.3
10,11,17,The University of Hong Kong,"Hong Kong SAR, China",VH,Public,99.3,27,82.5,97,85.3,131,96.6,60,100.0,31,100.0,38,82.3,305,84.8,112=,94.2
11,12,15,"Nanyang Technological University, Singapore (NTU Singapore)",Singapore,VH,Public,97.1,42,91.4,67,83.9,148,94.6,76,100.0,43,93.1,145,86.9,217,87.2,88,93.7
12,13,21,University of Chicago,United States of America,VH,Private not for Profit,99.8,17,99.3,21,97.3,62,78.1,164,86.1,254,92.8,148,87.7,207,73.3,269=,93
13,14,14,Peking University,China (Mainland),VH,Public,99.9,12,99.6,17,96.2,66,99.2,35,59.9,391,37.3,523,83.2,290,70.6,308=,92.6
14,15,11,University of Pennsylvania,United States of America,VH,Private not for Profit,98.9,30,98.7,28,99.9,29,72.0,199,96.9,151,76.3,249,89.4,182,95.0,24,92.5
15,16,16,Cornell University,United States of America,VH,Private not for Profit,99.5,25,98.8,27,64.3,276,98.0,48,57.6,401,75.7,251,93.0,126,76.8,218,91.6
16,17,20,Tsinghua University,China (Mainland),VH,Public,99.9,16,99.7,15,97.1,63,99.6,26,39.5,502,31.9,570,80.4,347,68.7,339=,91.2
17,17,12,"University of California, Berkeley (UCB)",United States of America,VH,Public,100.0,6,100.0,6,29.4,643,97.2,53,95.6,172,70.6,273,96.7,47,98.8,3=,91.2
18,19,13,The University of Melbourne,Australia,VH,Public,99.7,21,97.4,35,20.5,801+,94.8,72,96.7,156,100.0,37,96.9,40,98.2,9=,90.8
19,20,19,The University of New South Wales,Australia,VH,Public,96.3,43,93.5,59,29.9,632,96.9,58,100.0,69,99.9,41,97.6,25,97.0,12=,90.7
20,21,23,Yale University,United States of America,VH,Private not for Profit,100.0,9,100.0,7,100.0,12,64.8,250,86.7,247,72.7,262,92.9,131,82.4,144=,90.4
21,22,26,École Polytechnique Fédérale de Lausanne,Switzerland,VH,Public,92.7,55,88.0,79,90.0,103,93.1,87,100.0,12,100.0,17,83.6,281,85.3,107=,90.2
22,22,28,Technical University of Munich,Germany,VH,Public,92.0,60,99.7,16,70.5,223,92.6,90,86.3,252,98.9,72,95.9,63,87.8,83=,90.2
23,24,32,Johns Hopkins University,United States of America,VH,Private not for Profit,93.2,51,79.2,108,100.0,14,85.8,118,70.8,333,94.2,137,97.4,29,93.0,35,89.7
24,25,22,Princeton University,United States of America,VH,Private not for Profit,100.0,10,99.8,13,67.3,253,100.0,5,12.7,801+,70.0,280,82.6,300,76.0,222,89.4
25,25,18,The University of Sydney,Australia,VH,Public,98.9,29,94.2,53,15.7,801+,94.3,78,99.9,101,100.0,18,95.5,71,97.6,11,89.4
26,27,29,McGill University,Canada,VH,Public,98.1,35,93.5,58,67.3,250,72.4,194,88.6,232,93.5,138,92.9,130,96.3,15=,88.9
27,28,24,PSL University,France,VH,Public,82.6,86,98.5,31,98.6,48,85.1,123,69.6,336,75.5,252,99.7,3,87.8,83=,88.6
28,29,25,University of Toronto,Canada,VH,Public,100.0,11,99.1,25,45.7,428,68.8,224,97.9,143,97.9,91,97.0,37,100.0,1,88.5
29,30,39,Fudan University,China (Mainland),VH,Public,93.7,50,95.1,49,84.8,137,92.8,89,88.5,234,46.4,433,75.5,431,83.1,134,88.4
30,31,40,King's College London (KCL),United Kingdom,VH,Public,96.2,44,91.8,65,74.4,202,70.2,215,99.5,115,99.0,70,98.4,19,96.5,14,88.3
31,32,30,Australian National University,Australia,VH,Public,97.9,37,82.6,96,40.9,495,91.7,93,100.0,49,99.0,68,93.1,123,91.8,48,87.4
32,32,36,The Chinese University of Hong Kong,"Hong Kong SAR, China",VH,Public,94.2,48,67.3,157,75.9,191,95.0,71,100.0,50,93.3,143,68.2,563,84.1,123,87.4
33,34,27,University of Edinburgh,United Kingdom,VH,Public,99.6,24,98.2,33,77.3,179,54.3,338,99.7,105,99.9,42,99.5,5,98.3,7=,87.2
34,35,34,The University of Manchester,United Kingdom,VH,Public,98.6,31,98.8,26,58.2,310,56.8,308,95.3,176,99.5,56,99.4,7,98.2,9=,86.4
35,36,37,Monash University,Australia,VH,Public,95.7,45,87.5,81,11.3,801+,93.0,88,100.0,61,100.0,24,94.7,87,91.7,49=,85.8
36,36,32,The University of Tokyo,Japan,VH,Public,100.0,7,99.9,10,92.4,94,69.9,217,15.9,777,44.0,457,88.8,193,92.3,44,85.8
37,38,34,Columbia University,United States of America,VH,Private not for Profit,99.9,13,99.9,11,100.0,19,44.5,418,48.5,445,98.1,88,98.4,18,77.9,198=,85.6
38,38,31,Seoul National University,Republic of Korea,VH,Public,99.7,20,99.1,24,85.6,130,81.2,150,13.2,801+,27.5,622,77.6,391,90.8,57,85.6
39,40,38,University of British Columbia,Canada,VH,Public,99.6,23,96.5,41,34.7,568,70.9,210,98.5,135,79.8,222,96.6,48,98.5,5=,85.5
40,41,46,Institut Polytechnique de Paris,France,VH,Public,58.1,185,99.8,14,94.8,76,97.3,52,99.9,99,99.2,61,93.0,125,77.9,198=,85.4
41,42,50,Northwestern University,United States of America,VH,Private not for Profit,92.2,59,89.4,74,99.1,44,71.2,205,57.7,399,67.2,295,86.5,229,74.4,250=,85.1
42,42,40,The University of Queensland,Australia,VH,Public,94.3,46,79.5,105,26.5,705,94.2,79,100.0,60,100.0,28,97.0,36,92.5,41,85.1
43,44,47,The Hong Kong University of Science and Technology,"Hong Kong SAR, China",VH,Public,89.4,69,69.7,149,67.5,247,100.0,12,100.0,23,99.3,59,49.5,801+,79.7,175=,84.8
44,45,44,University of Michigan-Ann Arbor,United States of America,VH,Public,99.3,26,98.5,30,85.7,127,54.5,334,73.9,320,56.1,372,96.0,59,77.2,210=,84.7
45,46,42,"University of California, Los Angeles (UCLA)",United States of America,VH,Public,100.0,8,100.0,8,43.6,456,84.3,127,50.8,437,31.8,571,93.5,117,78.0,195=,84.4
46,47,49,Delft University of Technology,Netherlands,VH,Public,86.2,76,90.4,71,49.1,392,84.6,126,100.0,68,94.8,128,93.8,102,96.3,15=,84.3
