university_name,normalized_name,country,year,source
Massachusetts Institute of Technology (MIT) ,massachusetts institute of technology,United States,2017,QS
Stanford University,stanford university,United States,2017,QS
Harvard University,harvard university,United States,2017,QS
University of Cambridge,university of cambridge,United Kingdom,2017,QS
California Institute of Technology (Caltech),california institute of technology,United States,2017,QS
University of Oxford,university of oxford,United Kingdom,2017,QS
UCL,ucl,United Kingdom,2017,QS
ETH Zurich - Swiss Federal Institute of Technology,eth zurich swiss federal institute of technology,Switzerland,2017,QS
Imperial College London,imperial college london,United Kingdom,2017,QS
University of Chicago,university of chicago,United States,2017,QS
Princeton University,princeton university,United States,2017,QS
National University of Singapore (NUS),national university of singapore,Singapore,2017,QS
"Nanyang Technological University, Singapore (NTU)",nanyang technological university singapore,Singapore,2017,QS
EPFL,epfl,Switzerland,2017,QS
Yale University,yale university,United States,2017,QS
Cornell University,cornell university,United States,2017,QS
Johns Hopkins University,johns hopkins university,United States,2017,QS
University of Pennsylvania,university of pennsylvania,United States,2017,QS
The University of Edinburgh,the university of edinburgh,United Kingdom,2017,QS
Columbia University,columbia university,United States,2017,QS
King's College London,king s college london,United Kingdom,2017,QS
The Australian National University,the australian national university,Australia,2017,QS
University of Michigan-Ann Arbor,university of michigan ann arbor,United States,2017,QS
Tsinghua University,tsinghua university,China (Mainland),2017,QS
Duke University,duke university,United States,2017,QS
Northwestern University,northwestern university,United States,2017,QS
The University of Hong Kong,the university of hong kong,Hong Kong SAR,2017,QS
"University of California, Berkeley (UCB)",university of california berkeley,United States,2017,QS
The University of Manchester,the university of manchester,United Kingdom,2017,QS
McGill University,mcgill university,Canada,2017,QS
"University of California, Los Angeles (UCLA)",university of california los angeles,United States,2017,QS
University of Toronto,university of toronto,Canada,2017,QS
"Ecole normale supérieure, Paris",ecole normale superieure paris,France,2017,QS
The University of Tokyo,the university of tokyo,Japan,2017,QS
Seoul National University,seoul national university,South Korea,2017,QS
The Hong Kong University of Science and Technology,the hong kong university of science and technology,Hong Kong SAR,2017,QS
Kyoto University,kyoto university,Japan,2017,QS
The London School of Economics and Political Science (LSE),the london school of economics and political science,United Kingdom,2017,QS
Peking University,peking university,China (Mainland),2017,QS
"University of California, San Diego (UCSD)",university of california san diego,United States,2017,QS
University of Bristol,university of bristol,United Kingdom,2017,QS
The University of Melbourne,the university of melbourne,Australia,2017,QS
Fudan University,fudan university,China (Mainland),2017,QS
The Chinese University of Hong Kong (CUHK),the chinese university of hong kong,Hong Kong SAR,2017,QS
University of British Columbia,university of british columbia,Canada,2017,QS
The University of Sydney,the university of sydney,Australia,2017,QS
New York University (NYU),new york university,United States,2017,QS
KAIST - Korea Advanced Institute of Science & Technology,kaist korea advanced institute of science and technology,South Korea,2017,QS
The University of New South Wales (UNSW Sydney),the university of new south wales,Australia,2017,QS
Brown University,brown university,United States,2017,QS
The University of Queensland,the university of queensland,Australia,2017,QS
The University of Warwick,the university of warwick,United Kingdom,2017,QS
University of Wisconsin-Madison,university of wisconsin madison,United States,2017,QS
Ecole Polytechnique,ecole polytechnique,France,2017,QS
City University of Hong Kong,city university of hong kong,Hong Kong SAR,2017,QS
Tokyo Institute of Technology (Tokyo Tech),tokyo institute of technology,Japan,2017,QS
University of Amsterdam,university of amsterdam,Netherlands,2017,QS
Carnegie Mellon University,carnegie mellon university,United States,2017,QS
University of Washington,university of washington,United States,2017,QS
Technical University of Munich,technical university of munich,Germany,2017,QS
Shanghai Jiao Tong University,shanghai jiao tong university,China (Mainland),2017,QS
Delft University of Technology,delft university of technology,Netherlands,2017,QS
Osaka University,osaka university,Japan,2017,QS
University of Glasgow,university of glasgow,United Kingdom,2017,QS
Monash University,monash university,Australia,2017,QS
University of Illinois at Urbana-Champaign,university of illinois at urbana champaign,United States,2017,QS
University of Texas at Austin,university of texas at austin,United States,2017,QS
Ludwig-Maximilians-Universität München,ludwig maximilians universitat munchen,Germany,2017,QS
National Taiwan University (NTU),national taiwan university,Taiwan,2017,QS
University of Copenhagen,university of copenhagen,Denmark,2017,QS
Georgia Institute of Technology,georgia institute of technology,United States,2017,QS
Ruprecht-Karls-Universität Heidelberg,ruprecht karls universitat heidelberg,Germany,2017,QS
Lund University,lund university,Sweden,2017,QS
Durham University,durham university,United Kingdom,2017,QS
Tohoku University,tohoku university,Japan,2017,QS
University of Nottingham,university of nottingham,United Kingdom,2017,QS
University of St Andrews,university of st andrews,United Kingdom,2017,QS
"University of North Carolina, Chapel Hill",university of north carolina chapel hill,United States,2017,QS
KU Leuven,ku leuven,Belgium,2017,QS
University of Zurich,university of zurich,Switzerland,2017,QS
The University of Auckland,the university of auckland,New Zealand,2017,QS
University of Birmingham,university of birmingham,United Kingdom,2017,QS
Pohang University of Science And Technology (POSTECH),pohang university of science and technology,South Korea,2017,QS
The University of Sheffield,the university of sheffield,United Kingdom,2017,QS
Universidad de Buenos Aires (UBA),universidad de buenos aires,Argentina,2017,QS
"University of California, Davis",university of california davis,United States,2017,QS
University of Southampton,university of southampton,United Kingdom,2017,QS
The Ohio State University,the ohio state university,United States,2017,QS
Boston University,boston university,United States,2017,QS
Rice University,rice university,United States,2017,QS
University of Helsinki,university of helsinki,Finland,2017,QS
Purdue University,purdue university,United States,2017,QS
University of Leeds,university of leeds,United Kingdom,2017,QS
University of Alberta,university of alberta,Canada,2017,QS
Pennsylvania State University,pennsylvania state university,United States,2017,QS
University of Geneva,university of geneva,Switzerland,2017,QS
KTH Royal Institute of Technology ,kth royal institute of technology,Sweden,2017,QS
Uppsala University,uppsala university,Sweden,2017,QS
Korea University,korea university,South Korea,2017,QS
"Trinity College Dublin, The University of Dublin",trinity college dublin the university of dublin,Ireland,2017,QS
"KIT, Karlsruhe Institute of Technology",kit karlsruhe institute of technology,Germany,2017,QS
Leiden University,leiden university,Netherlands,2017,QS
The University of Western Australia,the university of western australia,Australia,2017,QS
