university_id,university_name,country,alias,normalized_alias
U000001,Aalborg University,Denmark,Aalborg University,aalborg university
U000002,Aalto University,Finland,Aalto University,aalto university
U000003,Aarhus University,Denmark,Aarhus University,aarhus university
U000004,Abai Kazakh National Pedagogical University,Kazakhstan,Abai Kazakh National Pedagogical University,abai kazakh national pedagogical university
U000005,Abbes Laghrour University of Khenchala,Algeria,Abbes Laghrour University of Khenchala,abbes laghrour university of khenchala
U000006,Abbottabad University of Science and Technology,Pakistan,Abbottabad University of Science and Technology,abbottabad university of science and technology
U000007,Abdelhafid Boussouf University Center of Mila,Algeria,Abdelhafid Boussouf University Center of Mila,abdelhafid boussouf university center of mila
U000008,Abdelmalek Essaâdi University,Morocco,Abdelmalek Essaâdi University,abdelmalek essadi university
U000009,Abdul Wali Khan University Mardan,Pakistan,Abdul Wali Khan University Mardan,abdul wali khan university mardan
U000010,Abdullah Gül University,Turkey,Abdullah Gül University,abdullah gl university
U000011,Abertay University,United Kingdom,Abertay University,abertay university
U000012,Aberystwyth University,United Kingdom,Aberystwyth University,aberystwyth university
U000013,Abia State University,Nigeria,Abia State University,abia state university
U000014,Abo Akademi University,Finland,Abo Akademi University,abo akademi university
U000015,Abrar University,Somalia,Abrar University,abrar university
U000016,Abu Dhabi University,United Arab Emirates,Abu Dhabi University,abu dhabi university
U000017,Academician Y.A. Buketov Karaganda University,Kazakhstan,Academician Y.A. Buketov Karaganda University,academician ya buketov karaganda university
U000018,Academy of Economic Studies of Moldova,Moldova,Academy of Economic Studies of Moldova,academy of economic studies of moldova
U000019,Acıbadem University,Turkey,Acıbadem University,acbadem university
U000020,Acharya Nagarjuna University,India,Acharya Nagarjuna University,acharya nagarjuna university
U000021,Ada Kent University,Northern Cyprus,Ada Kent University,ada kent university
U000022,"Adam Mickiewicz University, Poznań",Poland,Adam Mickiewicz University Poznań,adam mickiewicz university pozna
U000022,"Adam Mickiewicz University, Poznań",Poland,"Adam Mickiewicz University, Poznań",adam mickiewicz university pozna
U000023,"Adamawa State University, Mubi",Nigeria,Adamawa State University Mubi,adamawa state university mubi
U000023,"Adamawa State University, Mubi",Nigeria,"Adamawa State University, Mubi",adamawa state university mubi
U000024,Addis Ababa University,Ethiopia,Addis Ababa University,addis ababa university
U000025,Adelphi University,United States,Adelphi University,adelphi university
U000026,Adolfo Ibáñez University,Chile,Adolfo Ibáñez University,adolfo ibez university
U000027,Adventist University of Central Africa,Rwanda,Adventist University of Central Africa,adventist university of central africa
U000028,AECC University College,United Kingdom,AECC University College,aecc university college
U000029,Afe Babalola University,Nigeria,Afe Babalola University,afe babalola university
U000030,African School of Economics,Benin,African School of Economics,african school of economics
U000031,Aga Khan University,Pakistan,Aga Khan University,aga khan university
U000032,AGH University of Krakow,Poland,AGH University of Krakow,agh university of krakow
U000033,AGH University of Science and Technology,Poland,AGH University of Science and Technology,agh university of science and technology
U000034,Ahl Al Bayt University,Iraq,Ahl Al Bayt University,ahl al bayt university
U000035,Ahlia University,Bahrain,Ahlia University,ahlia university
U000036,Ahvaz Jundishapur University of Medical Sciences (AJUMS),Iran,Ahvaz Jundishapur University of Medical Sciences,ahvaz jundishapur university of medical sciences
U000036,Ahvaz Jundishapur University of Medical Sciences (AJUMS),Iran,Ahvaz Jundishapur University of Medical Sciences (AJUMS),ahvaz jundishapur university of medical sciences ajums
U000037,Aichi Institute of Technology,Japan,Aichi Institute of Technology,aichi institute of technology
U000038,Aichi Medical University,Japan,Aichi Medical University,aichi medical university
U000039,Aichi Prefectural University,Japan,Aichi Prefectural University,aichi prefectural university
U000040,Ain Shams University ,Egypt,Ain Shams University,ain shams university
U000041,Air University,Pakistan,Air University,air university
U000042,Airlangga University,Indonesia,Airlangga University,airlangga university
U000043,Aix-Marseille University,France,Aix Marseille University,aix marseille university
U000043,Aix-Marseille University,France,Aix-Marseille University,aixmarseille university
U000044,Ajeenkya DY Patil University,India,Ajeenkya DY Patil University,ajeenkya dy patil university
U000045,Ajman University,United Arab Emirates,Ajman University,ajman university
U000046,Ajou University ,South Korea,Ajou University,ajou university
U000047,Akdeniz Üniversitesi,Turkey,Akdeniz Üniversitesi,akdeniz niversitesi
U000048,Akdeniz University,Turkey,Akdeniz University,akdeniz university
U000049,AKFA University,Uzbekistan,AKFA University,akfa university
U000050,Akhmet Yassawi University,Kazakhstan,Akhmet Yassawi University,akhmet yassawi university
U000051,Akita Prefectural University,Japan,Akita Prefectural University,akita prefectural university
U000052,Akita University,Japan,Akita University,akita university
U000053,Akli Mohand Oulhadj Bouira University,Algeria,Akli Mohand Oulhadj Bouira University,akli mohand oulhadj bouira university
U000054,Aksaray University,Turkey,Aksaray University,aksaray university
U000055,Akwa Ibom State University,Nigeria,Akwa Ibom State University,akwa ibom state university
U000056,Al-Ahliyya Amman University,Jordan,Al Ahliyya Amman University,al ahliyya amman university
U000056,Al-Ahliyya Amman University,Jordan,Al-Ahliyya Amman University,alahliyya amman university
U000057,Al Ain University,United Arab Emirates,Al Ain University,al ain university
U000058,Al Akhawayn University,Morocco,Al Akhawayn University,al akhawayn university
U000059,Al Akhawayn University Ifrane,Morocco,Al Akhawayn University Ifrane,al akhawayn university ifrane
U000060,Al al-Bayt University,Jordan,Al al Bayt University,al al bayt university
U000060,Al al-Bayt University,Jordan,Al al-Bayt University,al albayt university
U000061,Al-Ayen University,Iraq,Al Ayen University,al ayen university
U000061,Al-Ayen University,Iraq,Al-Ayen University,alayen university
U000062,Al-Azhar University,Egypt,Al Azhar University,al azhar university
U000062,Al-Azhar University,Egypt,Al-Azhar University,alazhar university
U000063,Al-Baha University,Saudi Arabia,Al Baha University,al baha university
U000063,Al-Baha University,Saudi Arabia,Al-Baha University,albaha university
U000064,Al-Balqa Applied University,Jordan,Al Balqa Applied University,al balqa applied university
U000064,Al-Balqa Applied University,Jordan,Al-Balqa Applied University,albalqa applied university
U000065,Al-Bayan University,Iraq,Al Bayan University,al bayan university
U000065,Al-Bayan University,Iraq,Al-Bayan University,albayan university
U000066,Al-Esraa University College,Iraq,Al Esraa University College,al esraa university college
U000066,Al-Esraa University College,Iraq,Al-Esraa University College,alesraa university college
U000067,Al-Farabi Kazakh National University,Kazakhstan,Al Farabi Kazakh National University,al farabi kazakh national university
U000067,Al-Farabi Kazakh National University,Kazakhstan,Al-Farabi Kazakh National University,alfarabi kazakh national university
U000068,Al-Farabi University College,Iraq,Al Farabi University College,al farabi university college
U000068,Al-Farabi University College,Iraq,Al-Farabi University College,alfarabi university college
U000069,Al-Farahidi University,Iraq,Al Farahidi University,al farahidi university
U000069,Al-Farahidi University,Iraq,Al-Farahidi University,alfarahidi university
U000070,Al-Furat Al-Awsat Technical University,Iraq,Al Furat Al Awsat Technical University,al furat al awsat technical university
U000070,Al-Furat Al-Awsat Technical University,Iraq,Al-Furat Al-Awsat Technical University,alfurat alawsat technical university
U000071,Al-Hussein Bin Talal University,Jordan,Al Hussein Bin Talal University,al hussein bin talal university
U000071,Al-Hussein Bin Talal University,Jordan,Al-Hussein Bin Talal University,alhussein bin talal university
U000072,Al Imam Mohammad Ibn Saud Islamic University,Saudi Arabia,Al Imam Mohammad Ibn Saud Islamic University,al imam mohammad ibn saud islamic university
U000073,Al-Janad University for Science and Technology,Yemen,Al Janad University for Science and Technology,al janad university for science and technology
U000073,Al-Janad University for Science and Technology,Yemen,Al-Janad University for Science and Technology,aljanad university for science and technology
U000074,Al-Karkh University of Science,Iraq,Al Karkh University of Science,al karkh university of science
U000074,Al-Karkh University of Science,Iraq,Al-Karkh University of Science,alkarkh university of science
U000075,Al-Kitab University,Iraq,Al Kitab University,al kitab university
U000075,Al-Kitab University,Iraq,Al-Kitab University,alkitab university
U000076,Al-Maarif University College,Iraq,Al Maarif University College,al maarif university college
U000076,Al-Maarif University College,Iraq,Al-Maarif University College,almaarif university college
U000077,Al-Manara College for Medical Sciences,Iraq,Al Manara College for Medical Sciences,al manara college for medical sciences
U000077,Al-Manara College for Medical Sciences,Iraq,Al-Manara College for Medical Sciences,almanara college for medical sciences
U000078,Al-Mustaqbal University,Iraq,Al Mustaqbal University,al mustaqbal university
U000078,Al-Mustaqbal University,Iraq,Al-Mustaqbal University,almustaqbal university
U000079,Al-Mustaqbal University College,Iraq,Al Mustaqbal University College,al mustaqbal university college
U000079,Al-Mustaqbal University College,Iraq,Al-Mustaqbal University College,almustaqbal university college
U000080,Al-Muthanna University,Iraq,Al Muthanna University,al muthanna university
U000080,Al-Muthanna University,Iraq,Al-Muthanna University,almuthanna university
U000081,Al-Nahrain University,Iraq,Al Nahrain University,al nahrain university
U000081,Al-Nahrain University,Iraq,Al-Nahrain University,alnahrain university
U000082,Al-Nisour University College,Iraq,Al Nisour University College,al nisour university college
U000082,Al-Nisour University College,Iraq,Al-Nisour University College,alnisour university college
U000083,Al-Noor University College,Iraq,Al Noor University College,al noor university college
U000083,Al-Noor University College,Iraq,Al-Noor University College,alnoor university college
U000084,Al-Qalam University College,Iraq,Al Qalam University College,al qalam university college
U000084,Al-Qalam University College,Iraq,Al-Qalam University College,alqalam university college
U000085,Al-Qasim Green University,Iraq,Al Qasim Green University,al qasim green university
U000085,Al-Qasim Green University,Iraq,Al-Qasim Green University,alqasim green university
U000086,Al-Quds University,Palestine,Al Quds University,al quds university
U000086,Al-Quds University,Palestine,Al-Quds University,alquds university
U000087,Al Quds University The Arab University in Jerusalem,"Palestinian Territory, Occupied",Al Quds University The Arab University in Jerusalem,al quds university the arab university in jerusalem
U000088,Al-Rafidain University College,Iraq,Al Rafidain University College,al rafidain university college
U000088,Al-Rafidain University College,Iraq,Al-Rafidain University College,alrafidain university college
U000089,Al Safwa University College,Iraq,Al Safwa University College,al safwa university college
U000090,Al Turath University,Iraq,Al Turath University,al turath university
U000091,Al-Zaytoonah University of Jordan,Jordan,Al Zaytoonah University of Jordan,al zaytoonah university of jordan
U000091,Al-Zaytoonah University of Jordan,Jordan,Al-Zaytoonah University of Jordan,alzaytoonah university of jordan
U000092,Alagappa University,India,Alagappa University,alagappa university
U000093,Albaydha University,Yemen,Albaydha University,albaydha university
U000094,Albert-Ludwigs-Universitaet Freiburg,Germany,Albert Ludwigs Universitaet Freiburg,albert ludwigs universitaet freiburg
U000094,Albert-Ludwigs-Universitaet Freiburg,Germany,Albert-Ludwigs-Universitaet Freiburg,albertludwigsuniversitaet freiburg
U000095,Alex Ekwueme Federal University Ndufu-Alike,Nigeria,Alex Ekwueme Federal University Ndufu Alike,alex ekwueme federal university ndufu alike
U000095,Alex Ekwueme Federal University Ndufu-Alike,Nigeria,Alex Ekwueme Federal University Ndufu-Alike,alex ekwueme federal university ndufualike
U000096,Alexandria University ,Egypt,Alexandria University,alexandria university
U000097,Alexandru Ioan Cuza University,Romania,Alexandru Ioan Cuza University,alexandru ioan cuza university
U000098,Alfaisal University,Saudi Arabia,Alfaisal University,alfaisal university
U000099,Algiers 2 University,Algeria,Algiers 2 University,algiers 2 university
U000100,Aligarh Muslim University,India,Aligarh Muslim University,aligarh muslim university
U000101,Alisher Navo’i Tashkent State University of Uzbek Language and Literature,Uzbekistan,Alisher Navo’i Tashkent State University of Uzbek Language and Literature,alisher navoi tashkent state university of uzbek language and literature
U000102,Allameh Tabataba ’i University,Iran,Allameh Tabataba ’i University,allameh tabataba i university
U000103,Alma Mater Studiorum - University of Bologna,Italy,Alma Mater Studiorum - University of Bologna,alma mater studiorum university of bologna
U000103,Alma Mater Studiorum - University of Bologna,Italy,Alma Mater Studiorum University of Bologna,alma mater studiorum university of bologna
U000104,AlMaarefa University,Saudi Arabia,AlMaarefa University,almaarefa university
U000105,Almaty Technological University,Kazakhstan,Almaty Technological University,almaty technological university
U000106,Almazov National Medical Research Centre,Russian Federation,Almazov National Medical Research Centre,almazov national medical research centre
U000107,Altai State University,Russia,Altai State University,altai state university
U000108,Altınbaş University,Turkey,Altınbaş University,altnba university
U000109,Altoosi University College,Iraq,Altoosi University College,altoosi university college
U000110,Alzahra University,Iran,Alzahra University,alzahra university
U000111,Amedeo Avogadro University of Eastern Piedmont,Italy,Amedeo Avogadro University of Eastern Piedmont,amedeo avogadro university of eastern piedmont
U000112,American International University – Bangladesh,Bangladesh,American International University – Bangladesh,american international university bangladesh
U000113,American University,United States,American University,american university
U000114,American University in Cairo,Egypt,American University in Cairo,american university in cairo
U000115,American University in Dubai,United Arab Emirates,American University in Dubai,american university in dubai
U000116,American University in the Emirates (AUE),United Arab Emirates,American University in the Emirates,american university in the emirates
U000116,American University in the Emirates (AUE),United Arab Emirates,American University in the Emirates (AUE),american university in the emirates aue
U000117,American University of Beirut (AUB),Lebanon,American University of Beirut,american university of beirut
U000117,American University of Beirut (AUB),Lebanon,American University of Beirut (AUB),american university of beirut aub
U000118,American University of Madaba,Jordan,American University of Madaba,american university of madaba
U000119,American University of Nigeria,Nigeria,American University of Nigeria,american university of nigeria
U000120,American University of Ras Al Khaimah,United Arab Emirates,American University of Ras Al Khaimah,american university of ras al khaimah
U000121,American University of Sharjah,United Arab Emirates,American University of Sharjah,american university of sharjah
U000122,American University of the Middle East,Kuwait,American University of the Middle East,american university of the middle east
U000123,Amirkabir University of Technology,"Iran, Islamic Republic of",Amirkabir University of Technology,amirkabir university of technology
U000124,Amity University,India,Amity University,amity university
U000125,"Amity University, Chhattisgarh",India,Amity University Chhattisgarh,amity university chhattisgarh
U000125,"Amity University, Chhattisgarh",India,"Amity University, Chhattisgarh",amity university chhattisgarh
U000126,"Amity University, Gurugram",India,Amity University Gurugram,amity university gurugram
U000126,"Amity University, Gurugram",India,"Amity University, Gurugram",amity university gurugram
U000127,"Amity University, Gwalior",India,Amity University Gwalior,amity university gwalior
U000127,"Amity University, Gwalior",India,"Amity University, Gwalior",amity university gwalior
U000128,"Amity University, Mumbai",India,Amity University Mumbai,amity university mumbai
U000128,"Amity University, Mumbai",India,"Amity University, Mumbai",amity university mumbai
U000129,"Amity University Rajasthan, Jaipur",India,Amity University Rajasthan Jaipur,amity university rajasthan jaipur
U000129,"Amity University Rajasthan, Jaipur",India,"Amity University Rajasthan, Jaipur",amity university rajasthan jaipur
U000130,Amrita Vishwa Vidyapeetham,India,Amrita Vishwa Vidyapeetham,amrita vishwa vidyapeetham
U000131,An-Najah National University,"Palestinian Territory, Occupied",An Najah National University,an najah national university
U000131,An-Najah National University,"Palestinian Territory, Occupied",An-Najah National University,annajah national university
U000132,Anadolu University,Turkey,Anadolu University,anadolu university
U000133,Anáhuac University,Mexico,Anáhuac University,anhuac university
U000134,Andhra University,India,Andhra University,andhra university
U000135,Andijan Machine-Building Institute,Uzbekistan,Andijan Machine Building Institute,andijan machine building institute
U000135,Andijan Machine-Building Institute,Uzbekistan,Andijan Machine-Building Institute,andijan machinebuilding institute
U000136,Andijan State Medical Institute,Uzbekistan,Andijan State Medical Institute,andijan state medical institute
U000137,Andijan State Pedagogical Institute (ASPI),Uzbekistan,Andijan State Pedagogical Institute,andijan state pedagogical institute
U000137,Andijan State Pedagogical Institute (ASPI),Uzbekistan,Andijan State Pedagogical Institute (ASPI),andijan state pedagogical institute aspi
U000138,Andijan State University,Uzbekistan,Andijan State University,andijan state university
U000139,Andrés Bello Catholic University (UCAB),Venezuela,Andrés Bello Catholic University,andrs bello catholic university
U000139,Andrés Bello Catholic University (UCAB),Venezuela,Andrés Bello Catholic University (UCAB),andrs bello catholic university ucab
U000140,Anglia Ruskin University (ARU),United Kingdom,Anglia Ruskin University,anglia ruskin university
U000140,Anglia Ruskin University (ARU),United Kingdom,Anglia Ruskin University (ARU),anglia ruskin university aru
U000141,Anglo-American University,Czech Republic,Anglo American University,anglo american university
U000141,Anglo-American University,Czech Republic,Anglo-American University,angloamerican university
U000142,Ankara Science University,Turkey,Ankara Science University,ankara science university
U000143,Ankara Üniversitesi,Turkey,Ankara Üniversitesi,ankara niversitesi
U000144,Ankara University,Turkey,Ankara University,ankara university
U000145,Ankara Yildirim Beyazit University,Turkey,Ankara Yildirim Beyazit University,ankara yildirim beyazit university
U000146,Anna University,India,Anna University,anna university
U000147,Annamalai University,India,Annamalai University,annamalai university
U000148,Antonio Nariño University,Colombia,Antonio Nariño University,antonio nario university
U000149,Aoyama Gakuin University,Japan,Aoyama Gakuin University,aoyama gakuin university
