university_id,university_name,country,source,year
U001311,Massachusetts Institute of Technology (MIT) ,United States,QS,2017
U002013,Stanford University,United States,QS,2017
U000800,Harvard University,United States,QS,2017
U002819,University of Cambridge,United Kingdom,QS,2017
U000329,California Institute of Technology (Caltech),United States,QS,2017
U003149,University of Oxford,United Kingdom,QS,2017
U002280,UCL,United Kingdom,QS,2017
U000624,ETH Zurich - Swiss Federal Institute of Technology,Switzerland,QS,2017
U000879,Imperial College London,United Kingdom,QS,2017
U002840,University of Chicago,United States,QS,2017
U001728,Princeton University,United States,QS,2017
U001500,National University of Singapore (NUS),Singapore,QS,2017
U001423,"Nanyang Technological University, Singapore (NTU)",Singapore,QS,2017
U000605,EPFL,Switzerland,QS,2017
U003517,Yale University,United States,QS,2017
U000462,Cornell University,United States,QS,2017
U001039,Johns Hopkins University,United States,QS,2017
U003161,University of Pennsylvania,United States,QS,2017
U002184,The University of Edinburgh,United Kingdom,QS,2017
U000451,Columbia University,United States,QS,2017
U001139,King's College London,United Kingdom,QS,2017
U002147,The Australian National University,Australia,QS,2017
U003072,University of Michigan-Ann Arbor,United States,QS,2017
U002261,Tsinghua University,China (Mainland),QS,2017
U000534,Duke University,United States,QS,2017
U001562,Northwestern University,United States,QS,2017
U002188,The University of Hong Kong,Hong Kong SAR,QS,2017
U002809,"University of California, Berkeley (UCB)",United States,QS,2017
U002191,The University of Manchester,United Kingdom,QS,2017
U001316,McGill University,Canada,QS,2017
U002812,"University of California, Los Angeles (UCLA)",United States,QS,2017
U003321,University of Toronto,Canada,QS,2017
U000575,"Ecole normale supérieure, Paris",France,QS,2017
U002205,The University of Tokyo,Japan,QS,2017
U001893,Seoul National University,South Korea,QS,2017
U002160,The Hong Kong University of Science and Technology,Hong Kong SAR,QS,2017
U001204,Kyoto University,Japan,QS,2017
U002168,The London School of Economics and Political Science (LSE),United Kingdom,QS,2017
U001656,Peking University,China (Mainland),QS,2017
U002815,"University of California, San Diego (UCSD)",United States,QS,2017
U002799,University of Bristol,United Kingdom,QS,2017
U002192,The University of Melbourne,Australia,QS,2017
U000699,Fudan University,China (Mainland),QS,2017
U002152,The Chinese University of Hong Kong (CUHK),Hong Kong SAR,QS,2017
U002800,University of British Columbia,Canada,QS,2017
U002200,The University of Sydney,Australia,QS,2017
U001519,New York University (NYU),United States,QS,2017
U001055,KAIST - Korea Advanced Institute of Science & Technology,South Korea,QS,2017
U002193,The University of New South Wales (UNSW Sydney),Australia,QS,2017
U000311,Brown University,United States,QS,2017
U002197,The University of Queensland,Australia,QS,2017
U002207,The University of Warwick,United Kingdom,QS,2017
U003375,University of Wisconsin-Madison,United States,QS,2017
U000577,Ecole Polytechnique,France,QS,2017
U000433,City University of Hong Kong,Hong Kong SAR,QS,2017
U002228,Tokyo Institute of Technology (Tokyo Tech),Japan,QS,2017
U002746,University of Amsterdam,Netherlands,QS,2017
U000346,Carnegie Mellon University,United States,QS,2017
U003366,University of Washington,United States,QS,2017
U002108,Technical University of Munich,Germany,QS,2017
U001915,Shanghai Jiao Tong University,China (Mainland),QS,2017
U000500,Delft University of Technology,Netherlands,QS,2017
U001623,Osaka University,Japan,QS,2017
U002925,University of Glasgow,United Kingdom,QS,2017
U001369,Monash University,Australia,QS,2017
U002966,University of Illinois at Urbana-Champaign,United States,QS,2017
U003289,University of Texas at Austin,United States,QS,2017
U001267,Ludwig-Maximilians-Universität München,Germany,QS,2017
U001470,National Taiwan University (NTU),Taiwan,QS,2017
U002858,University of Copenhagen,Denmark,QS,2017
