university_id,university_name,country,openalex_name,institution_id,works_count,cited_by_count,h_index,i10_index,2yr_mean_citedness
U000001,Aalborg University,Denmark,Aalborg University,https://openalex.org/I891191580,113379,4495056,547,72656,3.1219474640470546
U000002,Aalto University,Finland,Aalto University,https://openalex.org/I9927081,64001,3460037,489,57139,3.753421299889701
U000003,Aarhus University,Denmark,Aarhus University,https://openalex.org/I204337017,224008,12730428,859,176847,3.158725654200024
U000004,Abai Kazakh National Pedagogical University,Kazakhstan,Abai Kazakh National Pedagogical University,https://openalex.org/I4210128045,4477,23181,46,573,1.0805880751429349
U000006,Abbottabad University of Science and Technology,Pakistan,Abbottabad University of Science and Technology,https://openalex.org/I3131573596,5883,169344,128,4307,4.038451997023072
U000008,Abdelmalek Essaâdi University,Morocco,Abdelmalek Essaâdi University,https://openalex.org/I240042149,16610,286437,134,6946,2.204301075268817
U000009,Abdul Wali Khan University Mardan,Pakistan,Abdul Wali Khan University Mardan,https://openalex.org/I181063083,14254,437076,181,9620,4.18820956150401
U000010,Abdullah Gül University,Turkey,Abdullah Gül University,https://openalex.org/I95293974,2622,73435,110,1355,3.5251215559157214
U000011,Abertay University,United Kingdom,Abertay University,https://openalex.org/I877506347,5047,168115,155,3352,1.835075493612079
U000012,Aberystwyth University,United Kingdom,Aberystwyth University,https://openalex.org/I16038530,27867,1645752,389,24190,2.8049547778214707
U000013,Abia State University,Nigeria,Abia State University,https://openalex.org/I100352790,4970,43062,77,994,0.7721814543028686
U000015,Abrar University,Somalia,Abrar University,https://openalex.org/I4210140896,463,4439,33,130,1.48828125
U000016,Abu Dhabi University,United Arab Emirates,Abu Dhabi University,https://openalex.org/I117222138,8622,177943,154,3789,4.081851727608186
U000018,Academy of Economic Studies of Moldova,Moldova,Academy of Economic Studies of Moldova,https://openalex.org/I150702061,1839,2988,23,57,0.2179974651457541
U000019,Acıbadem University,Turkey,Acıbadem University,https://openalex.org/I322491407,7291,160329,133,3684,1.9491679273827531
U000020,Acharya Nagarjuna University,India,Acharya Nagarjuna University,https://openalex.org/I177001074,7653,160174,105,4306,1.891185647425897
U000024,Addis Ababa University,Ethiopia,Addis Ababa University,https://openalex.org/I4537092,43589,1272378,286,23428,2.459915811379653
U000025,Adelphi University,United States,Adelphi University,https://openalex.org/I71965598,8050,217419,166,4393,1.773371104815864
U000026,Adolfo Ibáñez University,Chile,Adolfo Ibáñez University,https://openalex.org/I21067949,11496,161899,131,3626,1.7318601583113455
U000027,Adventist University of Central Africa,Rwanda,Adventist University of Central Africa,https://openalex.org/I3132105718,204,1192,14,17,0.9572649572649572
U000029,Afe Babalola University,Nigeria,Afe Babalola University,https://openalex.org/I29787537,7299,87402,83,2339,1.6217344257226771
U000031,Aga Khan University,Pakistan,Aga Khan University,https://openalex.org/I4210129917,2698,61678,106,1256,1.2833836858006042
U000032,AGH University of Krakow,Poland,AGH University of Krakow,https://openalex.org/I686019,77926,4965093,512,83987,3.3456440768151694
U000034,Ahl Al Bayt University,Iraq,Ahl Al Bayt University,https://openalex.org/I2955852263,1156,5320,34,148,3.311639549436796
U000035,Ahlia University,Bahrain,Ahlia University,https://openalex.org/I119050109,2031,32386,80,701,3.948294829482948
U000036,Ahvaz Jundishapur University of Medical Sciences (AJUMS),Iran,Ahvaz Jundishapur University of Medical Sciences,https://openalex.org/I119939603,18447,625304,192,15321,3.0167032967032967
U000037,Aichi Institute of Technology,Japan,Aichi Institute of Technology,https://openalex.org/I190508380,6503,115725,117,2583,1.0042149631190729
U000038,Aichi Medical University,Japan,Aichi Medical University,https://openalex.org/I16528096,13409,666196,215,14707,1.820736050652948
U000039,Aichi Prefectural University,Japan,Aichi Prefectural University,https://openalex.org/I45205469,2080,27739,71,603,0.7345360824742269
U000040,Ain Shams University ,Egypt,Ain Shams University,https://openalex.org/I107720978,89031,1937046,286,45841,2.116138162841095
U000041,Air University,Pakistan,Air University,https://openalex.org/I899713450,5473,156164,142,3384,4.787081339712919
U000042,Airlangga University,Indonesia,Airlangga University,https://openalex.org/I205133468,60532,662717,161,16195,1.0444036475145255
U000044,Ajeenkya DY Patil University,India,Ajeenkya DY Patil University,https://openalex.org/I4403386594,460,3512,27,65,1.343137254901961
U000045,Ajman University,United Arab Emirates,Ajman University,https://openalex.org/I182000528,9105,197309,157,4174,5.999674690956408
U000046,Ajou University ,South Korea,Ajou University,https://openalex.org/I57664883,43295,2176568,332,45057,3.4326759827608724
U000048,Akdeniz University,Turkey,Akdeniz University,https://openalex.org/I197907453,26356,806845,242,18388,2.054927463731866
U000051,Akita Prefectural University,Japan,Akita Prefectural University,https://openalex.org/I5467274,5981,185947,158,3747,2.148181818181818
U000052,Akita University,Japan,Akita University,https://openalex.org/I203765153,21975,1026233,265,22513,1.6454513399153738
U000054,Aksaray University,Turkey,Aksaray University,https://openalex.org/I121596126,10350,153920,129,3622,2.146096366915744
U000055,Akwa Ibom State University,Nigeria,Akwa Ibom State University,https://openalex.org/I127206278,5797,35526,64,874,0.8332115454877603
U000056,Al-Ahliyya Amman University,Jordan,Al-Ahliyya Amman University,https://openalex.org/I104941359,7271,134449,125,3063,8.37704918032787
U000057,Al Ain University,United Arab Emirates,Al Ain University,https://openalex.org/I161913731,7336,133067,122,2707,3.608108108108108
U000058,Al Akhawayn University,Morocco,Al Akhawayn University,https://openalex.org/I47844,2299,44006,88,909,2.286463798530955
U000060,Al al-Bayt University,Jordan,Al al-Bayt University,https://openalex.org/I31079310,5477,102013,107,2464,7.491221374045802
U000062,Al-Azhar University,Egypt,Al Azhar University,https://openalex.org/I4210161182,3341,17130,44,454,0.9318455971049456
U000063,Al-Baha University,Saudi Arabia,Al Baha University,https://openalex.org/I52207611,8587,115429,103,2874,2.9432971014492755
