university_id,normalized_name,university_name,country
U000005,abbes laghrour university of khenchala,Abbes Laghrour University of Khenchala,Algeria
U000007,abdelhafid boussouf university center of mila,Abdelhafid Boussouf University Center of Mila,Algeria
U000014,abo akademi university,Abo Akademi University,Finland
U000017,academician y a buketov karaganda university,Academician Y.A. Buketov Karaganda University,Kazakhstan
U000021,ada kent university,Ada Kent University,Northern Cyprus
U000022,adam mickiewicz university poznan,"Adam Mickiewicz University, Poznań",Poland
U000023,adamawa state university mubi,"Adamawa State University, Mubi",Nigeria
U000028,aecc university college,AECC University College,United Kingdom
U000030,african school of economics,African School of Economics,Benin
U000033,agh university of science and technology,AGH University of Science and Technology,Poland
U000043,aix marseille university,Aix-Marseille University,France
U000047,akdeniz universitesi,Akdeniz Üniversitesi,Turkey
U000049,akfa university,AKFA University,Uzbekistan
U000050,akhmet yassawi university,Akhmet Yassawi University,Kazakhstan
U000053,akli mohand oulhadj bouira university,Akli Mohand Oulhadj Bouira University,Algeria
U000059,al akhawayn university ifrane,Al Akhawayn University Ifrane,Morocco
U000061,al ayen university,Al-Ayen University,Iraq
U000066,al esraa university college,Al-Esraa University College,Iraq
U000072,al imam mohammad ibn saud islamic university,Al Imam Mohammad Ibn Saud Islamic University,Saudi Arabia
U000073,al janad university for science and technology,Al-Janad University for Science and Technology,Yemen
U000074,al karkh university of science,Al-Karkh University of Science,Iraq
U000075,al kitab university,Al-Kitab University,Iraq
U000076,al maarif university college,Al-Maarif University College,Iraq
U000077,al manara college for medical sciences,Al-Manara College for Medical Sciences,Iraq
U000079,al mustaqbal university college,Al-Mustaqbal University College,Iraq
U000081,al nahrain university,Al-Nahrain University,Iraq
U000084,al qalam university college,Al-Qalam University College,Iraq
U000087,al quds university the arab university in jerusalem,Al Quds University The Arab University in Jerusalem,"Palestinian Territory, Occupied"
U000088,al rafidain university college,Al-Rafidain University College,Iraq
U000089,al safwa university college,Al Safwa University College,Iraq
U000094,albert ludwigs universitaet freiburg,Albert-Ludwigs-Universitaet Freiburg,Germany
U000103,alma mater studiorum university of bologna,Alma Mater Studiorum - University of Bologna,Italy
U000106,almazov national medical research centre,Almazov National Medical Research Centre,Russian Federation
U000111,amedeo avogadro university of eastern piedmont,Amedeo Avogadro University of Eastern Piedmont,Italy
U000125,amity university chhattisgarh,"Amity University, Chhattisgarh",India
U000127,amity university gwalior,"Amity University, Gwalior",India
U000129,amity university rajasthan jaipur,"Amity University Rajasthan, Jaipur",India
U000133,anahuac university,Anáhuac University,Mexico
U000136,andijan state medical institute,Andijan State Medical Institute,Uzbekistan
U000137,andijan state pedagogical institute,Andijan State Pedagogical Institute (ASPI),Uzbekistan
U000139,andres bello catholic university,Andrés Bello Catholic University (UCAB),Venezuela
U000142,ankara science university,Ankara Science University,Turkey
U000143,ankara universitesi,Ankara Üniversitesi,Turkey
U000145,ankara yildirim beyazit university,Ankara Yildirim Beyazit University,Turkey
U000146,anna university,Anna University,India
U000148,antonio narino university,Antonio Nariño University,Colombia
U000151,applied science university bahrain,Applied Science University - Bahrain,Bahrain
U000155,arab open university kuwait,Arab Open University – Kuwait,Kuwait
U000156,arab open university lebanon,Arab Open University Lebanon,Lebanon
U000163,arkin university of creative arts and design,Arkin University of Creative Arts and Design (ARUCAD),Northern Cyprus
U000164,armenian state pedagogical university,Armenian State Pedagogical University,Armenia
U000171,asfendiyarov kazakh national medical university,Asfendiyarov Kazakh National Medical University,Kazakhstan
U000173,ashur university,Ashur University,Iraq
U000174,ashur university college,Ashur University College,Iraq
U000175,asia pacific university of technology and innovation,Asia Pacific University of Technology and Innovation (APU),Malaysia
U000176,asia university taiwan,Asia University Taiwan,Taiwan
U000180,ataturk university,Ataturk University,Turkey
U000183,atlm university,Atılım University,Turkey
U000184,atma jaya catholic university jakarta,Atma Jaya Catholic University Jakarta,Indonesia
U000185,atyrau university,Atyrau University,Kazakhstan
U000188,audencia,Audencia,France
U000189,auezov south kazakhstan university,Auezov South Kazakhstan University (SKU),Kazakhstan
U000190,augustine university,Augustine University,Nigeria
U000195,autonomous university of baja california,Autonomous University of Baja California,Mexico
U000196,autonomous university of barcelona,Autonomous University of Barcelona,Spain
U000197,autonomous university of chiapas,Autonomous University of Chiapas,Mexico
U000198,autonomous university of madrid,Autonomous University of Madrid,Spain
U000199,autonomous university of san luis potosi,Autonomous University of San Luis Potosi,Mexico
U000200,autonomous university of sinaloa,Autonomous University of Sinaloa,Mexico
U000205,b s abdur rahman crescent institute of science and technology,B. S. Abdur Rahman Crescent Institute of Science and Technology,India
U000207,babes bolyai university,Babes-Bolyai University,Romania
U000210,bacha khan university charsadda,"Bacha Khan University, Charsadda",Pakistan
U000211,badji mokhtar university annaba,Badji Mokhtar University – Annaba,Algeria
U000219,balochistan university of engineering and technology khuzdar,"Balochistan University of Engineering and Technology, Khuzdar",Pakistan
U000221,bamidele olumilua university of education science and technology ikere ikiti,"Bamidele Olumilua University of Education, Science and Technology, Ikere-Ikiti",Nigeria
U000224,bandirma onyedi eylul university,Bandirma Onyedi Eylül University,Turkey
U000226,bangabandhu sheikh mujibur rahman agricultural university,Bangabandhu Sheikh Mujibur Rahman Agricultural University,Bangladesh
U000232,barawa international university,Barawa International University,Somalia
U000241,bayero university,Bayero University,Nigeria
U000260,belgorod state national research university,Belgorod State National Research University,Russian Federation
U000267,bernardo ohiggins university,Bernardo O’Higgins University,Chile
U000269,bezmialem vakif university,Bezmiâlem Vakif University,Turkey
U000270,bharath institute of higher education and research,Bharath Institute of Higher Education and Research,India
U000272,bharati vidyapeeth university,Bharati Vidyapeeth University,India
U000277,bilecik seyh edebali university,Bilecik Şeyh Edebali University,Turkey
U000279,bina nusantara university,Bina Nusantara University (BINUS),Indonesia
U000280,binghamton university suny,Binghamton University SUNY,United States
U000285,birmingham newman university,Birmingham Newman University,United Kingdom
U000289,blida 1 university,Blida 1 University,Algeria
U000291,bogazici universitesi,Bogaziçi Üniversitesi,Turkey
U000293,bogor agricultural university,Bogor Agricultural University,Indonesia
U000294,bohdan khmelnytsky national university of cherkasy,Bohdan Khmelnytsky National University of Cherkasy,Ukraine
U000295,bolu abant izzet baysal university,Bolu Abant Izzet Baysal University,Turkey
U000303,bozok university,Bozok University,Turkey
U000312,brunel university london,Brunel University London,United Kingdom
U000317,bukhara engineering technological institute,Bukhara Engineering Technological Institute,Uzbekistan
U000318,bukhara state medical institute,Bukhara State Medical Institute,Uzbekistan
U000324,bursa uludag university,Bursa Uludağ University,Turkey
U000333,campus bio medico university of rome,Campus Bio-Medico University of Rome,Italy
U000334,canadian international college cairo,Canadian International College (CIC) – Cairo,Egypt
U000335,canadian university dubai,Canadian University Dubai,United Arab Emirates
U000336,cankaya university,Cankaya University,Turkey
U000341,capital university of science and technology islamabad,"Capital University of Science and Technology, Islamabad",Pakistan
U000345,carlos iii university of madrid,Carlos III University of Madrid,Spain
U000348,catania university,Catania University,Italy
U000351,catholic university of brasilia,Catholic University of Brasília,Brazil
U000352,catholic university of portugal,Catholic University of Portugal,Portugal
U000353,catholic university of the north,Catholic University of the North,Chile
U000354,catholic university of the sacred heart,Catholic University of the Sacred Heart,Italy
U000355,catolica de cordoba,Católica de Córdoba,Argentina
