university,year,rank_display,score,link,country,city,region,logo,type,research_output,student_faculty_ratio,international_students,size,faculty_count,normalized_name,university_id,2024 RANK,2023 RANK,Institution Name,Country Code,Country,SIZE,FOCUS,RES.,AGE,STATUS,Academic Reputation Score,Academic Reputation Rank,Employer Reputation Score,Employer Reputation Rank,Faculty Student Score,Faculty Student Rank,Citations per Faculty Score,Citations per Faculty Rank,International Faculty Score,International Faculty Rank,International Students Score,International Students Rank,International Research Network Score,International Research Network Rank,Employment Outcomes Score,Employment Outcomes Rank,Sustainability Score,Sustainability Rank,Overall SCORE
Massachusetts Institute of Technology (MIT) ,2017.0,1,100.0,https://www.topuniversities.com/universities/massachusetts-institute-technology-mit,United States,Cambridge,North America,https://www.topuniversities.com/sites/default/files/massachusetts-institute-of-technology-mit_410_small.jpg,Private,Very High,4.0,"3,730",M,"3,065",massachusetts institute of technology,U001311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stanford University,2017.0,2,98.7,https://www.topuniversities.com/universities/stanford-university,United States,Stanford,North America,https://www.topuniversities.com/sites/default/files/stanford-university_573_small.jpg,Private,Very High,3.0,"3,879",L,"4,725",stanford university,U002013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harvard University,2017.0,3,98.3,https://www.topuniversities.com/universities/harvard-university,United States,Cambridge,North America,https://www.topuniversities.com/sites/default/files/harvard-university_253_small.jpg,Private,Very High,5.0,"5,877",L,"4,646",harvard university,U000800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Cambridge,2017.0,4,97.2,https://www.topuniversities.com/universities/university-cambridge,United Kingdom,Cambridge,Europe,https://www.topuniversities.com/sites/default/files/university-of-cambridge_95_small.jpg,Public,Very high,4.0,"7,925",L,"5,800",university of cambridge,U002819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California Institute of Technology (Caltech),2017.0,5,96.9,https://www.topuniversities.com/universities/california-institute-technology-caltech,United States,Pasadena,North America,https://www.topuniversities.com/sites/default/files/california-institute-of-technology-caltech_94_small.jpg,Private,Very High,2.0,692,S,968,california institute of technology,U000329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Oxford,2017.0,6,96.8,https://www.topuniversities.com/universities/university-oxford,United Kingdom,Oxford,Europe,https://www.topuniversities.com/sites/default/files/university-of-oxford_478_small.jpg,Public,Very High,3.0,"8,442",L,"6,708",university of oxford,U003149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCL,2017.0,7,95.6,https://www.topuniversities.com/universities/ucl,United Kingdom,London,Europe,https://www.topuniversities.com/sites/default/files/ucl_592560cf2aeae70239af4bf1_small.jpg,Public,Very High,5.0,"21,824",XL,"7,195",ucl,U002280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETH Zurich - Swiss Federal Institute of Technology,2017.0,8,94.2,https://www.topuniversities.com/universities/eth-zurich-swiss-federal-institute-technology,Switzerland,Zürich,Europe,https://www.topuniversities.com/sites/default/files/eth-zurich-swiss-federal-institute-of-technology_201_small.jpg,Public,Very High,7.0,"7,733",L,"2,719",eth zurich swiss federal institute of technology,U000624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imperial College London,2017.0,9,94.1,https://www.topuniversities.com/universities/imperial-college-london,United Kingdom,London,Europe,https://www.topuniversities.com/sites/default/files/imperial-college-london_592560cf2aeae70239af4be8_small.jpg,Public,Very High,5.0,"11,143",L,"8,000",imperial college london,U000879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Chicago,2017.0,10,93.0,https://www.topuniversities.com/universities/university-chicago,United States,Chicago,North America,https://www.topuniversities.com/sites/default/files/university-of-chicago_120_small.jpg,Private,Very High,6.0,"4,696",L,"2,703",university of chicago,U002840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Princeton University,2017.0,11,92.8,https://www.topuniversities.com/universities/princeton-university,United States,Princeton,North America,https://www.topuniversities.com/sites/default/files/princeton-university_508_small.jpg,Private,Very High,8.0,"1,912",M,"1,050",princeton university,U001728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National University of Singapore (NUS),2017.0,12,91.5,https://www.topuniversities.com/universities/national-university-singapore-nus,Singapore,Singapore,Asia,https://www.topuniversities.com/sites/default/files/national-university-of-singapore-nus_443_small.jpg,Public,Very High,7.0,"7,551",XL,"4,288",national university of singapore,U001500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nanyang Technological University, Singapore (NTU)",2017.0,13,91.4,https://www.topuniversities.com/universities/nanyang-technological-university-singapore-ntu,Singapore,Singapore,Asia,https://www.topuniversities.com/sites/default/files/nanyang-technological-university-singapore-ntu_592560cf2aeae70239af4c32_small.jpg,Public,Very High,6.0,"6,091",L,"3,812",nanyang technological university singapore,U001423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPFL,2017.0,14,91.1,https://www.topuniversities.com/universities/epfl,Switzerland,Lausanne,Europe,https://www.topuniversities.com/sites/default/files/epfl-ecole-polytechnique-federale-de-lausanne_592560cf2aeae70239af4b34_small.jpg,Public,Very High,6.0,"6,426",M,"1,767",epfl,U000605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yale University,2017.0,15,90.9,https://www.topuniversities.com/universities/yale-university,United States,New Haven,North America,https://www.topuniversities.com/sites/default/files/yale-university_684_small.jpg,Private,Very High,2.0,"2,537",M,"5,391",yale university,U003517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornell University,2017.0,16,90.1,https://www.topuniversities.com/universities/cornell-university,United States,Ithaca,North America,https://www.topuniversities.com/sites/default/files/cornell-university_143_small.jpg,Private,Very High,8.0,"5,675",L,"2,843",cornell university,U000462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johns Hopkins University,2017.0,17,89.3,https://www.topuniversities.com/universities/johns-hopkins-university,United States,Baltimore,North America,https://www.topuniversities.com/sites/default/files/johns-hopkins-university_305_small.jpg,Private,Very High,3.0,"5,070",L,"4,855",johns hopkins university,U001039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Pennsylvania,2017.0,18,89.0,https://www.topuniversities.com/universities/university-pennsylvania,United States,Philadelphia,North America,https://www.topuniversities.com/sites/default/files/university-of-pennsylvania_495_small.jpg,Private,Very High,4.0,"4,636",L,"5,154",university of pennsylvania,U003161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The University of Edinburgh,2017.0,19,88.9,https://www.topuniversities.com/universities/university-edinburgh,United Kingdom,Edinburgh,Europe,https://www.topuniversities.com/sites/default/files/the-university-of-edinburgh_180_small.jpg,Public,Very High,7.0,"14,637",XL,"4,832",the university of edinburgh,U002184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columbia University,2017.0,20,88.6,https://www.topuniversities.com/universities/columbia-university,United States,New York City,North America,https://www.topuniversities.com/sites/default/files/columbia-university_138_small.jpg,Private,Very High,4.0,"11,252",L,"7,087",columbia university,U000451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
King's College London,2017.0,21,87.7,https://www.topuniversities.com/universities/kings-college-london,United Kingdom,London,Europe,https://www.topuniversities.com/sites/default/files/kings-college-london_357_small.jpg,Public,Very High,7.0,"15,075",L,"4,216",king s college london,U001139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Australian National University,2017.0,22,87.3,https://www.topuniversities.com/universities/australian-national-university,Australia,Canberra,Oceania,https://www.topuniversities.com/sites/default/files/the-australian-national-university_40_small.jpg,Public,Very High,9.0,"6,496",L,"1,763",the australian national university,U002147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Michigan-Ann Arbor,2017.0,23,86.4,https://www.topuniversities.com/universities/university-michigan-ann-arbor,United States,Ann Arbor,North America,https://www.topuniversities.com/sites/default/files/university-of-michigan_403_small.jpg,Public,Very High,6.0,"7,341",XL,"7,132",university of michigan ann arbor,U003072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tsinghua University,2017.0,24,86.0,https://www.topuniversities.com/universities/tsinghua-university,China (Mainland),Beijing,Asia,https://www.topuniversities.com/sites/default/files/tsinghua-university_626_small.jpg,Public,Very High,6.0,"5,420",XL,"6,174",tsinghua university,U002261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke University,2017.0,24,86.0,https://www.topuniversities.com/universities/duke-university,United States,Durham,North America,https://www.topuniversities.com/sites/default/files/duke-university_168_small.jpg,Private,Very High,3.0,"3,445",L,"5,673",duke university,U000534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northwestern University,2017.0,26,85.7,https://www.topuniversities.com/universities/northwestern-university,United States,Evanston,North America,https://www.topuniversities.com/sites/default/files/northwestern-university_592560cf2aeae70239af4c50_small.jpg,Private,Very High,5.0,"3,846",L,"3,652",northwestern university,U001562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The University of Hong Kong,2017.0,27,85.4,https://www.topuniversities.com/universities/university-hong-kong,Hong Kong SAR,Hong Kong,Asia,https://www.topuniversities.com/sites/default/files/the-university-of-hong-kong_268_small.jpg,Public,Very High,7.0,"8,311",L,"2,944",the university of hong kong,U002188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"University of California, Berkeley (UCB)",2017.0,28,85.2,https://www.topuniversities.com/universities/university-california-berkeley-ucb,United States,Berkeley,North America,https://www.topuniversities.com/sites/default/files/university-of-california-berkeley-ucb_84_small.jpg,Public,Very High,11.0,"9,428",XL,"3,701",university of california berkeley,U002809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The University of Manchester,2017.0,29,84.8,https://www.topuniversities.com/universities/university-manchester,United Kingdom,Manchester,Europe,https://www.topuniversities.com/sites/default/files/the-university-of-manchester_389_small.jpg,Public,Very High,8.0,"16,079",XL,"4,889",the university of manchester,U002191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McGill University,2017.0,30,84.1,https://www.topuniversities.com/universities/mcgill-university,Canada,Montreal,North America,https://www.topuniversities.com/sites/default/files/mcgill-university_592560cf2aeae70239af4c10_small.jpg,Public,Very High,7.0,"10,827",L,"3,876",mcgill university,U001316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"University of California, Los Angeles (UCLA)",2017.0,31,84.0,https://www.topuniversities.com/universities/university-california-los-angeles-ucla,United States,Los Angeles,North America,https://www.topuniversities.com/sites/default/files/university-of-california-los-angeles-ucla_87_small.jpg,Public,Very High,10.0,"6,140",XL,"4,487",university of california los angeles,U002812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Toronto,2017.0,32,83.8,https://www.topuniversities.com/universities/university-toronto,Canada,Toronto,North America,https://www.topuniversities.com/sites/default/files/university-of-toronto_619_small.jpg,Public,Very high,8.0,"27,536",XL,"9,881",university of toronto,U003321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ecole normale supérieure, Paris",2017.0,33,79.9,https://www.topuniversities.com/universities/ecole-normale-superieure-paris,France,Paris,Europe,https://www.topuniversities.com/sites/default/files/ecole-normale-suprieure-paris_176_small.jpg,Public,Very High,11.0,374,S,178,ecole normale superieure paris,U000575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The University of Tokyo,2017.0,34,82.6,https://www.topuniversities.com/universities/university-tokyo,Japan,Tokyo,Asia,https://www.topuniversities.com/sites/default/files/the-university-of-tokyo_615_small.jpg,Public,Very High,6.0,"3,983",L,"4,473",the university of tokyo,U002205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seoul National University,2017.0,35,82.1,https://www.topuniversities.com/universities/seoul-national-university,South Korea,Seoul,Asia,https://www.topuniversities.com/sites/default/files/graduate-school-of-business-seoul-national-university_553_small.jpg,Public,Very High,7.0,"1,914",L,"3,859",seoul national university,U001893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hong Kong University of Science and Technology,2017.0,36,81.8,https://www.topuniversities.com/universities/hong-kong-university-science-technology,Hong Kong SAR,Hong Kong,Asia,https://www.topuniversities.com/sites/default/files/the-hong-kong-university-of-science-and-technology_269_small.jpg,Public,Very High,8.0,"3,033",M,697,the hong kong university of science and technology,U002160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyoto University,2017.0,37,81.7,https://www.topuniversities.com/universities/kyoto-university,Japan,Kyoto,Asia,https://www.topuniversities.com/sites/default/files/kyoto-university_328_small.jpg,Public,Very High,6.0,"2,863",L,"3,911",kyoto university,U001204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The London School of Economics and Political Science (LSE),2017.0,37,81.7,https://www.topuniversities.com/universities/london-school-economics-political-science-lse,United Kingdom,London,Europe,https://www.topuniversities.com/sites/default/files/london-school-of-economics-and-political-science-lse_362_small.jpg,Public,Very High,10.0,"8,274",M,"1,172",the london school of economics and political science,U002168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peking University,2017.0,39,81.3,https://www.topuniversities.com/universities/peking-university,China (Mainland),Beijing,Asia,https://www.topuniversities.com/sites/default/files/peking-university_50_small.jpg,Public,Very High,6.0,"5,436",XL,"5,302",peking university,U001656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"University of California, San Diego (UCSD)",2017.0,40,80.6,https://www.topuniversities.com/universities/university-california-san-diego-ucsd,United States,San Diego,North America,https://www.topuniversities.com/sites/default/files/university-of-california-san-diego-ucsd_89_small.jpg,Public,Very High,8.0,"8,567",XL,"4,545",university of california san diego,U002815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Bristol,2017.0,41,79.6,https://www.topuniversities.com/universities/university-bristol,United Kingdom,Bristol,Europe,https://www.topuniversities.com/sites/default/files/university-of-bristol_69_small.jpg,Public,Very High,8.0,"7,483",L,"20,311",university of bristol,U002799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The University of Melbourne,2017.0,42,79.5,https://www.topuniversities.com/universities/university-melbourne,Australia,Parkville,Oceania,https://www.topuniversities.com/sites/default/files/the-university-of-melbourne_399_small.jpg,Public,Very high,19.0,"21,406",S,"4,835",the university of melbourne,U002192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fudan University,2017.0,43,79.4,https://www.topuniversities.com/universities/fudan-university,China (Mainland),Shanghai,Asia,https://www.topuniversities.com/sites/default/files/fudan-university_218_small.jpg,Public,Very High,6.0,"5,322",L,"4,526",fudan university,U000699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Chinese University of Hong Kong (CUHK),2017.0,44,78.1,https://www.topuniversities.com/universities/chinese-university-hong-kong-cuhk,Hong Kong SAR,Hong Kong,Asia,https://www.topuniversities.com/sites/default/files/the-chinese-university-of-hong-kong-cuhk_123_small.jpg,Public,Very High,8.0,"6,062",L,"2,201",the chinese university of hong kong,U002152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of British Columbia,2017.0,45,78.0,https://www.topuniversities.com/universities/university-british-columbia,Canada,Vancouver,North America,https://www.topuniversities.com/sites/default/files/university-of-british-columbia_70_small.jpg,Public,Very High,9.0,"15,399",XL,"6,201",university of british columbia,U002800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The University of Sydney,2017.0,46,77.9,https://www.topuniversities.com/universities/university-sydney,Australia,Sydney,Oceania,https://www.topuniversities.com/sites/default/files/the-university-of-sydney_592560cf2aeae70239af4cd0_small.jpg,Public,Very High,13.0,"25,940",XL,"3,571",the university of sydney,U002200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York University (NYU),2017.0,46,77.9,https://www.topuniversities.com/universities/new-york-university-nyu,United States,New York City,North America,https://www.topuniversities.com/sites/default/files/new-york-university-nyu_448_small.jpg,Private,Very High,6.0,"16,218",XL,"7,874",new york university,U001519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAIST - Korea Advanced Institute of Science & Technology,2017.0,46,77.9,https://www.topuniversities.com/universities/kaist-korea-advanced-institute-science-technology,South Korea,Daejeon,Asia,https://www.topuniversities.com/sites/default/files/kaist-korea-advanced-institute-of-science-technology_324_small.jpg,Public,Very High,8.0,869,M,"1,307",kaist korea advanced institute of science and technology,U001055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The University of New South Wales (UNSW Sydney),2017.0,49,77.8,https://www.topuniversities.com/universities/university-new-south-wales-unsw-sydney,Australia,Sydney,Oceania,https://www.topuniversities.com/sites/default/files/the-university-of-new-south-wales-unsw-sydney_447_small.jpg,Public,Very High,14.0,"21,603",XL,"3,219",the university of new south wales,U002193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown University,2017.0,49,77.8,https://www.topuniversities.com/universities/brown-university,United States,Providence,North America,https://www.topuniversities.com/sites/default/files/brown-university_72_small.jpg,Private,Very High,7.0,"2,002",M,"1,389",brown university,U000311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The University of Queensland,2017.0,51,77.6,https://www.topuniversities.com/universities/university-queensland,Australia,Brisbane,Oceania,https://www.topuniversities.com/sites/default/files/the-university-of-queensland_515_small.jpg,Public,Very High,12.0,"22,241",XL,"3,513",the university of queensland,U002197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The University of Warwick,2017.0,51,77.6,https://www.topuniversities.com/universities/university-warwick,United Kingdom,Coventry,Europe,https://www.topuniversities.com/sites/default/files/the-university-of-warwick_664_small.jpg,Public,Very High,9.0,"10,459",L,"2,634",the university of warwick,U002207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Wisconsin-Madison,2017.0,53,75.7,https://www.topuniversities.com/universities/university-wisconsin-madison,United States,Madison,North America,https://www.topuniversities.com/sites/default/files/university-of-wisconsin-madison_678_small.jpg,Public,Very High,8.0,"5,737",XL,"5,166",university of wisconsin madison,U003375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecole Polytechnique,2017.0,53,69.9,https://www.topuniversities.com/universities/ecole-polytechnique,France,Palaiseau,Europe,https://www.topuniversities.com/sites/default/files/ecole-polytechnique_592560cf2aeae70239af4b36_small.jpg,Public,Very High,5.0,"1,248",S,633,ecole polytechnique,U000577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City University of Hong Kong,2017.0,55,75.4,https://www.topuniversities.com/universities/city-university-hong-kong,Hong Kong SAR,Hong Kong,Asia,https://www.topuniversities.com/sites/default/files/city-university-of-hong-kong_592560cf2aeae70239af4b05_small.jpg,Public,Very High,6.0,"5,331",M,"1,483",city university of hong kong,U000433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tokyo Institute of Technology (Tokyo Tech),2017.0,56,74.9,https://www.topuniversities.com/universities/tokyo-institute-technology-tokyo-tech,Japan,Tokyo,Asia,https://www.topuniversities.com/sites/default/files/tokyo-institute-of-technology_592560cf2aeae70239af4ceb_small.jpg,Public,Very High,7.0,"1,622",M,"1,492",tokyo institute of technology,U002228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Amsterdam,2017.0,57,74.3,https://www.topuniversities.com/universities/university-amsterdam,Netherlands,Amsterdam,Europe,https://www.topuniversities.com/sites/default/files/university-of-amsterdam_18_small.jpg,Public,Very High,11.0,"7,969",XL,"6,000",university of amsterdam,U002746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
