year,country,region,country_avg_rank,universities_ranked_count,best_university_rank,country_avg_overall_score,country_avg_academic_reputation,country_avg_citations,country_avg_international_ratio
2018,Argentina,Latin America,652.65,17,75.0,33.63,33.37,34.59,83.01
2023,Taiwan,Asia,1041.45,47,77.0,26.27,20.02,19.55,8.87
2026,United Kingdom,Europe,614.48,126,2.0,46.87,35.82,38.92,35.29
2023,Turkey,Asia,1264.96,73,460.0,24.69,17.31,16.31,8.88
2016,Finland,Europe,352.89,9,76.0,38.96,38.59,40.11,9.0
2018,Germany,Europe,313.21,81,35.0,49.57,49.65,48.83,12.95
2023,Bangladesh,Asia,1067.5,6,809.0,30.79,17.08,10.04,4.52
2026,Japan,Asia,1349.57,120,36.0,29.01,25.61,22.27,5.48
2024,Iran,Asia,1064.04,67,519.0,31.55,31.63,30.65,3.13
2026,Indonesia,Asia,1323.15,44,189.0,26.65,23.15,10.65,6.33
2023,Jordan,Asia,946.6,10,578.0,41.95,14.82,10.93,19.22
2022,Mexico,Latin America,1064.0,35,105.0,30.36,30.33,30.45,241.41
2023,India,Asia,920.08,96,156.0,33.15,21.84,33.12,6.8
2019,Germany,Europe,323.32,83,33.0,47.82,49.72,47.79,14.22
2018,Japan,Asia,754.28,93,28.0,24.76,24.87,24.47,45.89
2023,Denmark,Europe,299.43,7,82.0,45.57,39.93,47.15,17.14
2017,United States,North America,378.68,209,1.0,45.95,44.98,45.21,139.8
2023,United States,North America,646.76,264,1.0,44.35,28.72,37.03,16.54
2020,United States,North America,458.79,229,1.0,45.59,45.51,45.31,81.75
2021,United States,North America,492.25,237,1.0,44.73,44.34,44.76,78.92
2023,Australia,Oceania,384.89,44,30.0,48.7,34.07,59.03,29.75
2022,United Kingdom,Europe,503.59,117,2.0,45.11,44.69,45.1,21.23
2020,Canada,North America,446.05,32,29.0,40.55,40.36,39.48,13.23
2026,Turkey,Asia,1633.16,98,351.0,24.68,24.91,23.94,9.43
2021,Ireland,Europe,371.77,11,101.0,42.16,38.96,39.02,19.51
2024,China,Asia,986.71,45,358.0,33.36,33.62,34.06,3.22
2026,Republic Of Korea,Asia,682.03,43,38.0,36.74,22.69,33.0,15.2
2023,Saudi Arabia,Asia,627.19,26,106.0,40.06,23.96,22.85,10.94
2025,Morocco,Africa,1438.58,13,414.0,27.9,24.62,24.23,3.12
2023,Mexico,Latin America,1150.91,45,105.0,28.03,14.59,6.96,11.93
2023,China,Asia,1006.08,49,453.0,29.5,30.04,29.55,3.16
2026,Romania,Europe,1450.67,28,765.5,28.48,20.26,20.5,13.13
2018,Russia,Europe,508.12,24,95.0,32.85,34.37,31.32,15.95
2023,Canada,North America,551.78,36,31.0,42.2,28.51,40.74,22.06
2020,France,Europe,576.3,72,46.0,40.31,40.83,40.35,19.68
2026,Mexico,Latin America,1402.96,37,136.0,29.34,21.31,8.96,11.19
2020,Malta,Europe,783.0,1,783.0,28.82,32.86,26.17,9.0
2023,Thailand,Asia,1128.0,20,224.0,23.75,22.14,10.72,4.46
2019,United States,Americas,431.42,229,1.0,44.48,45.06,44.04,88.07
2016,United Kingdom,Europe,329.32,78,2.0,43.92,43.23,42.78,28.22
2018,Singapore,Asia,157.17,3,11.0,80.77,80.59,81.48,16.2
2020,Ireland,Europe,363.23,11,108.0,42.27,43.28,42.01,19.32
2025,Iraq,Asia,1576.8,22,825.5,21.63,17.44,16.44,1.25
2020,Finland,Europe,387.95,10,107.0,37.6,38.44,36.85,8.61
2019,South Korea,Asia,461.24,35,36.0,37.06,38.41,36.91,132.89
2024,Italy,Europe,632.63,78,123.0,42.24,31.14,41.55,10.98
2016,Sweden,Europe,189.64,11,28.0,51.56,51.66,51.91,11.27
2019,Jordan,Asia,830.07,7,389.0,32.03,33.78,36.11,12.4
2026,France,Europe,858.67,75,28.0,41.76,33.89,35.92,20.8
2025,Chile,Americas,1334.84,50,93.0,27.98,20.3,13.86,10.12
2024,Germany,Europe,374.69,89,37.0,46.89,40.85,41.89,19.5
2023,Spain,Europe,835.17,78,178.0,35.3,28.29,25.92,15.9
2025,Argentina,Americas,1153.91,32,71.0,33.83,16.08,5.32,19.31
2022,Brazil,Latin America,1169.52,80,121.0,25.65,25.99,25.62,89.52
2025,Switzerland,Europe,366.64,18,7.0,54.63,45.07,58.74,31.77
2025,Russia,Europe,936.89,47,94.0,29.78,11.88,2.91,19.71
2026,United States Of America,Americas,647.61,192,1.0,48.68,29.74,38.11,19.26
2026,Argentina,Americas,1252.79,26,84.0,34.3,22.35,7.25,17.02
2023,Kazakhstan,Asia,691.12,16,150.0,46.86,13.38,1.28,20.0
2020,Russian Federation,Europe,1170.52,21,548.0,18.13,18.78,19.06,11.05
2021,China,Asia,911.77,48,518.0,27.52,27.15,25.64,3.9
2021,Mexico,Latin America,991.32,34,100.0,31.09,30.53,32.11,248.64
2021,Germany,Europe,360.49,85,32.0,47.98,48.61,48.93,14.82
2022,Pakistan,Asia,905.94,24,358.0,27.53,28.36,28.04,210.6
2024,United States,North America,629.21,256,1.0,44.21,29.31,36.0,15.65
2019,Spain,Europe,599.65,57,137.0,33.61,33.66,33.55,95.81
2016,United States,North America,268.1,147,1.0,48.97,48.75,49.63,12.14
2018,Sweden,Europe,322.5,14,38.0,45.63,47.22,45.93,18.03
2024,Spain,Europe,812.01,82,149.0,36.24,30.03,26.82,14.68
2021,Japan,Asia,951.49,117,24.0,24.78,25.02,24.49,4.04
2026,Qatar,Asia,178.0,2,112.0,58.7,28.8,86.65,33.77
2024,Latvia,Europe,1149.9,5,755.5,30.56,13.41,9.62,18.4
2025,United States,Americas,664.44,260,1.0,45.11,29.52,34.2,16.34
2020,South Korea,Asia,506.23,37,37.0,36.42,36.87,37.31,125.95
2017,Philippines,Asia,575.38,4,374.0,33.72,38.15,37.04,833.89
2018,United States,North America,422.67,219,1.0,46.41,46.44,45.96,112.72
2026,Lebanon,Asia,818.7,10,237.0,37.17,19.26,10.22,20.4
2023,Italy,Europe,680.0,77,139.0,40.84,29.1,39.63,11.89
2024,India,Asia,1005.42,118,149.0,33.09,24.1,32.62,6.94
2020,China (Mainland),Asia,469.33,42,16.0,39.14,39.24,38.94,110.64
2021,Algeria,Other,1256.4,10,533.0,19.23,20.06,20.37,1.0
2024,Austria,Europe,439.0,17,130.0,45.47,37.52,37.55,28.36
2020,Chile,Latin America,875.53,30,127.0,30.02,29.99,29.43,238.33
2025,Egypt,Africa,1118.86,37,350.0,31.11,25.2,18.67,4.17
2020,Italy,Europe,551.54,63,149.0,41.26,41.11,40.54,51.51
2017,Costa Rica,Latin America,684.62,4,475.5,31.21,33.9,33.66,15.99
2021,France,Europe,585.76,75,46.0,38.82,39.11,39.82,19.07
2025,France,Europe,797.38,74,24.0,41.63,30.69,34.12,20.09
2026,Finland,Europe,384.82,11,114.0,43.57,36.49,55.81,13.23
2022,Argentina,Latin America,915.75,28,69.0,36.73,36.44,36.57,55.25
2024,Colombia,Latin America,1223.43,43,198.0,26.35,18.19,9.47,11.4
2023,Croatia,Europe,1169.25,4,996.0,26.76,7.48,3.72,7.81
2022,Thailand,Asia,1055.18,19,215.0,23.52,23.88,23.26,2.23
2025,United Arab Emirates,Asia,470.42,13,202.0,38.6,19.69,21.64,37.29
2026,India,Asia,1100.42,163,123.0,34.76,27.22,36.06,6.8
2018,Israel,Asia,429.0,10,145.0,38.01,39.84,35.83,412.67
2021,Brazil,Latin America,1066.01,69,115.0,25.56,25.93,25.47,103.15
2024,Japan,Asia,1185.91,124,28.0,27.19,22.28,20.27,5.07
2016,Serbia,Europe,737.0,1,737.0,17.71,20.34,19.7,4.0
2025,Turkey,Asia,1430.32,104,285.0,26.25,21.12,20.42,10.37
2023,Russia,Europe,732.0,48,75.0,30.51,11.22,3.34,18.29
2025,Hong Kong Sar,Asia,169.5,7,17.0,70.7,60.31,78.04,41.7
2024,Russia,Europe,892.0,48,87.0,28.84,12.17,3.19,19.47
2026,Türkiye,Asia,913.31,26,269.0,35.8,18.27,15.63,16.42
2018,India,Asia,798.04,47,172.0,23.37,23.1,23.36,2.38
2024,Poland,Europe,1155.03,48,262.0,30.75,20.29,16.11,11.29
2017,South Africa,Africa,532.17,12,186.0,32.23,31.61,32.58,141.19
2022,China (Mainland),Asia,545.59,58,17.0,41.15,41.21,41.62,351.71
2023,Mozambique,Other,654.0,1,654.0,37.54,58.89,40.76,0.0
2026,Algeria,Other,1933.32,28,1428.0,18.97,19.11,19.11,0.64
2022,Japan,Asia,1043.91,120,23.0,24.82,24.45,24.95,4.19
2025,Vietnam,Asia,1000.65,10,495.0,32.28,19.66,25.68,3.34
2025,Italy,Europe,644.97,77,111.0,43.65,31.91,40.56,11.84
2020,Slovakia,Europe,1001.5,5,775.5,20.93,18.62,21.85,2.78
2022,Russian Federation,Europe,1361.97,31,349.0,19.12,18.66,18.91,11.9
2023,United Arab Emirates,Asia,556.75,12,181.0,50.45,16.27,14.11,33.41
2025,South Korea,Asia,758.47,50,31.0,39.83,22.06,27.98,13.78
2023,United Kingdom,Europe,532.05,119,2.0,45.62,30.96,36.67,30.4
2024,Argentina,Latin America,1009.48,27,95.0,33.04,14.54,3.1,19.2
2017,Australia,Oceania,345.58,42,22.0,46.05,47.16,45.24,20.54
2021,Spain,Europe,716.78,72,154.0,34.37,33.72,34.18,79.95
2020,Azerbaijan,Asia,950.75,2,900.5,31.9,33.36,34.33,1.83
2020,Latvia,Europe,961.38,4,725.5,23.6,24.51,23.27,2.02
2022,China,Asia,941.56,52,451.0,28.87,29.54,30.01,3.46
2025,Austria,Europe,428.85,17,137.0,48.21,36.07,34.85,29.59
2019,Latvia,Europe,858.83,3,775.5,23.6,22.77,21.64,1.93
2019,Ukraine,Europe,788.31,8,481.0,26.96,30.16,28.28,10.41
2018,Denmark,Europe,367.29,7,73.0,53.24,56.3,56.94,13.76
2020,Israel,Asia,461.6,10,162.0,38.35,37.16,39.03,416.09
2017,Colombia,Latin America,568.08,13,269.0,34.84,34.52,36.62,426.69
2026,China,Asia,1019.68,53,228.0,35.93,36.87,34.94,3.11
2023,Bosnia And Herzegovina,Europe,1389.0,1,1389.0,22.8,4.8,2.1,20.34
2026,United States,North America,755.8,56,15.0,43.69,42.15,43.47,9.93
2023,Chile,Latin America,1159.95,43,121.0,30.28,19.7,13.14,11.83
2024,Saudi Arabia,Asia,706.8,27,143.0,39.88,25.58,23.62,10.23
2025,Panama,Americas,1200.5,2,1100.5,42.6,7.2,1.1,32.17
2026,Belarus,Europe,661.25,3,447.0,31.87,18.6,1.37,17.68
2024,Australia,Oceania,326.52,44,14.0,48.54,35.94,60.11,26.72
2020,Kenya,Africa,1001.0,1,1001.0,26.32,29.01,24.02,1.0
2017,Greece,Europe,590.86,7,395.0,31.14,27.72,34.31,3.4
2018,Algeria,Other,987.0,1,987.0,16.01,17.63,14.78,1.0
2023,Brazil,Latin America,1290.91,90,115.0,24.95,18.21,15.32,7.33
2025,Bahrain,Asia,684.25,4,507.0,46.9,23.63,11.41,38.21
2026,Chile,Americas,1388.78,46,116.0,30.1,24.89,17.44,9.38
2020,Romania,Europe,1089.92,12,884.0,20.65,19.52,20.48,5.72
2024,France,Europe,729.4,69,24.0,40.8,31.89,35.12,21.43
2020,Lithuania,Europe,682.38,4,458.0,24.1,20.57,26.8,8.06
2016,Australia,Oceania,302.42,31,33.0,43.76,41.52,46.37,25.48
2018,Thailand,Asia,724.83,12,245.0,24.08,24.51,24.59,120.32
2021,Turkey,Asia,1118.52,50,428.0,24.01,23.87,24.2,4.11
2017,Belgium,Europe,241.12,12,79.0,49.01,47.67,47.28,18.87
2023,South Korea,Asia,662.53,47,29.0,36.36,22.05,23.51,13.06
2021,United Kingdom,Europe,475.65,119,5.0,42.34,42.32,43.13,22.23
2026,Spain,Europe,906.25,86,160.0,39.01,32.27,29.18,17.1
2022,United States,North America,563.63,249,1.0,44.6,44.17,44.61,75.31
2026,Iran,Asia,1160.26,80,387.0,33.04,33.05,33.16,5.26
