university_id,year,university_name,country,region,city,world_rank,citations_score,publications_count,citations_count,citations_per_faculty,h_index,research_output_score,research_productivity_index,subject_field
1534,2018,Pontificia Universidad Católica Argentina,Argentina,Latin America,Buenos Aires,364.0,33.12655744,14526,105384,27.69618424,315,31.0,3.82,Social Sciences & Management
1269,2023,National Chi Nan University,Taiwan,Asia,Taiwan,1642.0,19.83075101,1590,4996,12.77637225,72,18.1,4.07,Natural Sciences
299,2026,Canterbury Christ Church University,United Kingdom,Europe,Bexleyheath,1300.5,6.8,3852,9099,6.800609108,90,6.8,2.88,Arts & Humanities
600,2023,Gazi University,Turkey,Asia,Turkey,1226.0,30.88854092,6785,110404,36.67897417,390,26.6,2.25,Arts & Humanities
2878,2016,University of Oulu,Finland,Europe,Oulu,399.0,38.80466726,2934,15643,22.67122598,137,41.2,4.25,Arts & Humanities
477,2018,EBS Business School,Germany,Europe,Wiesbaden,725.5,1.0,661,326,1.0,18,1.0,2.03,Arts & Humanities
2601,2023,University of Dhaka,Bangladesh,Asia,Dhaka,960.0,2.4,66325,23284,1.337418229,156,10.9,3.81,Social Sciences & Management
1445,2026,Osaka Institute of Technology,Japan,Asia,Japan,2089.0,19.47130172,2789,13807,18.36085589,139,17.4,3.71,Engineering & Technology
1716,2024,Semnan University,Iran,Asia,Iran,1097.0,28.35439592,4801,41620,33.43001125,179,31.7,3.86,Social Sciences & Management
1830,2026,State Islamic University of Sunan Gunung Djati Bandung,Indonesia,Asia,Indonesia,2103.0,20.15182324,4490,21137,12.31033575,137,16.8,2.62,Engineering & Technology
1232,2023,Mutah University,Jordan,Asia,Mu'tah,1073.0,1.6,3862,1753,1.457150093,41,3.7,3.21,Social Sciences & Management
2125,2022,Universidad Autónoma de Querétaro,Mexico,Latin America,Querétaro,1201.0,13.35108737,4498,12163,11.51814393,121,14.7,4.26,Social Sciences & Management
1101,2023,Lovely Professional University,India,Asia,India,896.0,36.40079324,4067,36778,20.28584624,171,32.0,2.24,Engineering & Technology
441,2026,De Montfort University,United Kingdom,Europe,Leicester,825.5,16.7,8434,26902,14.44798547,158,11.6,4.53,Life Sciences & Medicine
2629,2019,University of Freiburg,Germany,Europe,Germany,76.0,65.87221319,10714,169899,65.17017233,380,66.4,4.11,Life Sciences & Medicine
1757,2018,Shizuoka University,Japan,Asia,Japan,999.0,17.18108016,2648,10432,17.59222078,83,15.2,4.47,Life Sciences & Medicine
409,2023,Copenhagen Business School,Denmark,Europe,Frederiksberg,251.0,45.39462335,2778,19884,30.45023423,124,42.3,4.25,Social Sciences & Management
2782,2017,"University of Maryland, College Park",United States,North America,College Park,131.0,61.51076058,23504,177622,46.76721802,411,54.0,6.19,Natural Sciences
1158,2023,Massachusetts Institute of Technology,United States,North America,Cambridge,1.0,100.0,6396,74371,51.2903683,250,100.0,4.41,Arts & Humanities
2982,2020,University of Southern California,United States,North America,Los Angeles,129.0,47.92008121,14950,59553,19.11197078,258,45.2,4.8,Social Sciences & Management
787,2021,Indiana University,United States,North America,United States,140.0,71.91369321,18142,178086,39.92072747,420,73.1,4.07,Natural Sciences
2460,2023,University of Adelaide,Australia,Oceania,Australia,88.0,70.53160345,10092,75321,41.38493462,225,62.8,5.55,Arts & Humanities
499,2022,Edinburgh Napier University,United Kingdom,Europe,Edinburgh,900.5,49.48586879,3667,29337,47.8573623,151,52.8,5.98,Social Sciences & Management
2773,2020,University of Manitoba,Canada,North America,Winnipeg,625.5,43.1188419,316,2145,42.90119602,36,39.7,6.32,Natural Sciences
852,2026,Istanbul Medeniyet University,Turkey,Asia,Turkey,1470.0,27.60686651,3154,25704,24.93124635,166,30.0,3.06,Life Sciences & Medicine
2747,2021,University of Limerick,Ireland,Europe,Limerick,515.5,27.51660498,3820,15726,16.51909475,141,32.6,4.01,Social Sciences & Management
1246,2024,Nanjing Forestry University,China,Asia,China,672.0,36.04480289,8801,60425,26.87937679,255,37.4,3.92,Engineering & Technology
1025,2026,Korea University,Republic Of Korea,Asia,Seoul,61.0,68.2,11428,73242,55.36025387,222,78.7,8.64,Arts & Humanities
996,2023,King Faisal University,Saudi Arabia,Asia,Hofuf,854.0,2.2,10237,6302,1.664516991,84,7.7,2.7,Arts & Humanities
1225,2025,Moulay Ismail University,Morocco,Africa,Morocco,1511.0,26.43747131,16870,110486,24.24537979,374,23.8,3.7,Life Sciences & Medicine
813,2023,Instituto Tecnológico Autónomo de México,Mexico,Latin America,Mexico City,766.0,2.0,1807,1055,2.288743066,29,8.1,3.92,Social Sciences & Management
354,2023,China Pharmaceutical University,China,Asia,China,1153.0,26.25188511,3906,61306,23.19566548,204,24.4,1.48,Life Sciences & Medicine
1454,2026,Ovidius University of Constanța,Romania,Europe,Romania,2085.0,18.00365512,5093,26658,19.01456967,174,15.9,3.63,Life Sciences & Medicine
1218,2018,Moscow Institute of Physics and Technology,Russia,Europe,Dolgoprudny,355.0,22.43638778,3493,16125,14.52743616,104,23.8,3.15,Natural Sciences
2468,2023,University of Alberta,Canada,North America,Edmonton,110.0,53.9,8631,119940,52.93028138,350,54.5,3.81,Social Sciences & Management
2994,2020,University of Strasbourg,France,Europe,France,467.0,35.12125327,4855,121611,42.49144823,303,42.9,1.7,Natural Sciences
160,2026,Autonomous University of Sinaloa,Mexico,Latin America,Mexico,1479.0,26.97918788,12695,115609,30.28780664,360,29.9,3.33,Social Sciences & Management
2769,2020,University of Malta,Malta,Europe,Msida,783.0,26.17166504,1958,25108,28.14757428,167,29.5,2.2,Engineering & Technology
1132,2023,Mahidol University,Thailand,Asia,Nakhon Pathom,725.5,5.2,9365,8438,4.098291108,106,22.8,4.55,Life Sciences & Medicine
2686,2019,University of Idaho,United States,Americas,United States,558.0,32.86646856,2332,16773,21.78269521,128,32.8,3.03,Life Sciences & Medicine
270,2016,Brunel University London,United Kingdom,Europe,United Kingdom,422.0,38.39607496,3783,16661,21.01063592,121,37.9,4.77,Engineering & Technology
748,2023,Illinois Institute of Technology,United States,North America,Chicago,446.0,52.9,2056,26160,36.53595046,165,33.8,2.87,Natural Sciences
1339,2018,National University of Singapore,Singapore,Asia,Singapore,15.0,82.10238187,30773,261777,61.0486832,512,83.8,7.18,Natural Sciences
467,2020,Dublin City University,Ireland,Europe,Dublin,429.0,22.56468004,150,871,17.42480587,34,26.5,3.0,Social Sciences & Management
2714,2025,University of Kerbala,Iraq,Asia,Iraq,2051.0,15.15831074,3917,15305,9.964462103,135,13.1,2.55,Natural Sciences
1190,2019,Michigan Technological University,United States,North America,Houghton,595.5,47.75169879,1497,26098,46.43736654,158,51.9,2.66,Engineering & Technology
3398,2020,Åbo Akademi University,Finland,Europe,Finland,702.0,24.42304329,957,9142,26.7300942,95,26.6,2.8,Life Sciences & Medicine
1622,2026,Ritsumeikan University,Japan,Asia,Kyoto,680.0,5.0,3030,8427,4.141158166,80,15.4,1.49,Arts & Humanities
1575,2019,Pusan National University,South Korea,Asia,Busan,505.5,34.1232488,180,1405,28.09490442,41,31.1,3.6,Engineering & Technology
2856,2023,University of North Carolina Wilmington,United States,North America,United States,1366.0,22.53812757,4011,27081,21.75150685,149,23.6,3.22,Life Sciences & Medicine
2798,2024,University of Messina,Italy,Europe,Messina,875.5,29.4,4342,29078,28.4239007,183,18.8,4.24,Social Sciences & Management
1082,2016,Linköping University,Sweden,Europe,Linköping,290.0,45.46999031,6632,68335,42.13021684,257,47.3,4.09,Natural Sciences
908,2019,Jordan University of Science and Technology,Jordan,Asia,Jordan,389.0,52.06127195,4908,61549,35.84696341,212,48.7,2.86,Life Sciences & Medicine
3207,2026,Université Paul-Valéry Montpellier 3,France,Europe,France,1300.5,8.7,4228,16344,11.10352717,127,11.8,2.87,Life Sciences & Medicine
2239,2025,Universidad de Chile,Chile,Americas,Santiago,139.0,11.2,13524,25989,9.291778674,145,47.0,4.84,Social Sciences & Management
113,2023,Annamalai University,India,Asia,India,1573.0,14.04477174,2911,14969,15.10457719,137,15.7,2.94,Arts & Humanities
3050,2024,University of Tübingen,Germany,Europe,Germany,96.0,61.86999132,9777,120524,76.18428814,330,55.4,6.18,Social Sciences & Management
2835,2023,University of Navarra,Spain,Europe,Pamplona,254.0,15.1,1946,8289,10.18317748,82,22.2,2.39,Arts & Humanities
2195,2025,Universidad Nacional de Tucumán,Argentina,Americas,Argentina,725.5,1.6,5053,3581,1.395159765,63,4.5,1.97,Social Sciences & Management
2327,2022,Universidade Federal de Ouro Preto,Brazil,Latin America,Brazil,1462.0,13.05182508,1491,7118,7.695622234,76,15.2,1.61,Arts & Humanities
2840,2025,University of Neuchâtel,Switzerland,Europe,Switzerland,561.0,42.19983701,1718,9107,23.4727098,105,42.7,4.43,Social Sciences & Management
966,2025,Kazan Federal University,Russia,Europe,Kazan,401.0,2.4,4046,2384,1.60525158,43,13.0,2.72,Life Sciences & Medicine
2543,2026,"University of California, Santa Cruz",United States Of America,Americas,Santa Cruz,458.0,62.4,2483,40549,42.23852197,208,43.6,2.59,Natural Sciences
2233,2026,Universidad de Belgrano,Argentina,Americas,Buenos Aires,975.5,1.0,453,388,1.0,25,6.1,1.17,Social Sciences & Management
1698,2023,Satbayev University,Kazakhstan,Asia,Almaty,405.0,1.3,1076,512,1.0,24,10.0,2.1,Natural Sciences
1825,2020,St Petersburg Electrotechnical University,Russian Federation,Europe,Russian Federation,1094.0,26.09254013,1808,17342,17.80472422,146,23.0,1.86,Natural Sciences
2810,2020,"University of Missouri, Columbia",United States,North America,Columbia,555.5,49.94257482,157,2039,40.77341248,50,54.7,3.14,Social Sciences & Management
1384,2021,NorthWest A&F University,China,Asia,China,894.0,28.28551964,22311,135870,28.27083613,385,25.8,4.64,Natural Sciences
2124,2021,Universidad Autónoma de Nuevo León,Mexico,Latin America,San Nicolás de los Garza,1001.0,12.51626493,14281,46344,10.18107553,197,12.8,3.14,Life Sciences & Medicine
493,2021,Eberhard Karls Universität Tübingen,Germany,Europe,Tübingen,175.0,37.49174844,13084,149134,33.01615278,365,39.0,2.9,Natural Sciences
1961,2022,The Islamia University of Bahawalpur,Pakistan,Asia,Pakistan,1093.0,27.30072263,5609,68661,31.18123403,250,24.2,2.55,Arts & Humanities
2582,2017,University of Connecticut,United States,North America,Storrs,425.5,39.81752766,124,932,18.63215444,29,37.6,2.48,Natural Sciences
3256,2024,Utah State University,United States,North America,Logan,1100.5,24.4,20014,70138,23.30931976,265,15.5,6.65,Social Sciences & Management
2360,2019,Universidade de Vigo,Spain,Europe,Spain,900.5,24.41726355,2717,26514,21.34748519,182,27.1,2.19,Engineering & Technology
1359,2016,New York University,United States,North America,New York City,30.0,74.53439259,16321,173641,65.25413475,466,73.8,6.13,Natural Sciences
1108,2018,Lund University,Sweden,Europe,Lund,78.0,68.01164718,10349,106369,34.98981408,364,67.9,3.4,Life Sciences & Medicine
405,2024,Complutense University of Madrid,Spain,Europe,Madrid,171.0,7.0,11599,18197,5.569999057,129,37.6,3.55,Social Sciences & Management
1322,2018,National University of Córdoba,Argentina,Latin America,Argentina,972.0,12.30125237,12987,65716,11.63932122,264,14.7,2.3,Life Sciences & Medicine
3353,2021,Yamagata University,Japan,Asia,Japan,1254.0,19.56983941,525,7297,14.39308817,52,19.0,1.04,Engineering & Technology
1578,2026,Qatar University,Qatar,Asia,Doha,112.0,73.3,3104,68749,93.40944629,301,58.3,4.22,Social Sciences & Management
1039,2018,Kyoto University,Japan,Asia,Kyoto,36.0,76.81471711,36243,215692,55.15011583,477,78.8,9.27,Engineering & Technology
1618,2024,Riga Technical University,Latvia,Europe,Riga,755.5,2.9,2194,1470,1.946439871,37,7.2,2.91,Engineering & Technology
1865,2025,Syracuse University,United States,Americas,Syracuse,825.5,10.6,4947,13272,9.84596252,89,11.8,3.67,Natural Sciences
1731,2024,Shahrood University of Technology,Iran,Asia,Iran,1016.0,21.27680877,2418,8292,13.82008609,94,23.8,4.03,Life Sciences & Medicine
380,2020,Chungnam National University,South Korea,Asia,Daejeon,725.5,19.18636975,219,717,14.33811309,25,17.9,4.38,Engineering & Technology
3326,2024,Western Michigan University,United States,North America,Kalamazoo,1100.5,5.8,5301,4837,3.5780247,71,5.6,3.92,Social Sciences & Management
140,2017,Ateneo de Manila University,Philippines,Asia,Quezon City,525.5,49.91086055,208,1885,37.69395093,43,56.4,4.16,Arts & Humanities
1624,2018,Rochester Institute of Technology,United States,North America,Rochester,668.0,19.89559359,3396,8909,8.069708221,89,21.4,3.08,Life Sciences & Medicine
842,2026,Islamic University of Lebanon,Lebanon,Asia,Lebanon,1100.5,1.2,1264,755,1.069446212,27,5.9,1.79,Arts & Humanities
3138,2023,Università degli Studi di Udine,Italy,Europe,Udine,1145.0,22.4,4568,22063,16.6010139,157,14.4,3.44,Engineering & Technology
1758,2024,Shoolini University of Biotechnology and Management Sciences,India,Asia,India,775.5,42.4,690,6596,35.08648944,82,25.4,3.67,Engineering & Technology
286,2023,Ca' Foscari University of Venice,Italy,Europe,Venice,817.0,14.5,2144,11930,8.619995753,108,16.2,1.55,Life Sciences & Medicine
286,2024,Ca' Foscari University of Venice,Italy,Europe,Venice,665.5,14.2,11311,15781,7.950112676,135,16.5,5.7,Arts & Humanities
1765,2020,Sichuan University,China (Mainland),Asia,Chengdu,625.5,27.04624711,62,883,17.65450901,30,31.1,1.24,Social Sciences & Management
2509,2021,University of Biskra,Algeria,Other,Algeria,1418.0,15.6860335,6512,26337,13.17494944,168,17.5,3.26,Social Sciences & Management
2692,2024,University of Innsbruck,Austria,Europe,Austria,347.0,58.13626248,6713,55710,41.9820151,233,57.6,5.06,Engineering & Technology
2956,2026,University of Seoul,Republic Of Korea,Asia,Seoul,875.5,16.5,2503,12127,15.29224684,115,17.0,3.16,Life Sciences & Medicine
1334,2025,National University of San Martín,Argentina,Latin America,Argentina,1783.0,21.58585223,3757,22233,16.99755131,161,21.6,2.87,Arts & Humanities
152,2020,Austral University of Chile,Chile,Latin America,Chile,1087.0,18.98961902,4646,36841,18.31982944,204,19.9,2.31,Natural Sciences
504,2025,Egypt-Japan University of Science and Technology,Egypt,Africa,Egypt,571.0,41.13782779,471,6436,32.17978225,91,41.8,2.36,Engineering & Technology
1512,2020,Politecnico di Bari,Italy,Europe,Bari,900.5,46.04536388,948,11780,46.93419464,97,41.7,3.78,Engineering & Technology
71,2024,Albert-Ludwigs-Universitaet Freiburg,Germany,Europe,Freiburg im Breisgau,192.0,63.3,3360,52233,35.55681259,243,54.7,2.29,Social Sciences & Management
2584,2017,University of Costa Rica,Costa Rica,Latin America,Costa Rica,861.0,18.38366275,10358,49952,16.8757105,222,17.1,3.5,Life Sciences & Medicine
615,2023,Georgia Southern University,United States,North America,United States,1258.0,22.71765312,2659,27557,18.02274515,199,23.2,1.74,Life Sciences & Medicine
41,2021,Aix-Marseille University,France,Europe,Marseille,515.5,44.36859974,223,2361,47.21901418,49,46.8,4.46,Engineering & Technology
1256,2025,Nantes Université,France,Europe,France,655.0,50.0481719,9402,150655,54.46668011,454,45.0,3.4,Social Sciences & Management
2024,2018,Tokushima University,Japan,Asia,Tokushima City,848.0,19.82649157,1869,8155,15.30090312,97,21.3,3.51,Life Sciences & Medicine
2878,2026,University of Oulu,Finland,Europe,Oulu,342.0,74.5,3357,34397,43.98530249,190,48.8,4.29,Natural Sciences
2185,2022,Universidad Nacional de Córdoba - UNC,Argentina,Latin America,Córdoba,900.5,34.75690049,29,1458,29.15838678,41,40.5,0.58,Natural Sciences
2161,2024,Universidad ICESI,Colombia,Latin America,Cali,925.5,1.7,4106,1333,1.0,35,3.6,3.08,Arts & Humanities
2925,2023,University of Rijeka,Croatia,Europe,Croatia,1184.0,3.9,2692,3195,4.299729375,60,4.6,3.62,Social Sciences & Management
275,2022,Burapha University,Thailand,Asia,Thailand,1632.0,14.42284962,6130,40797,17.9405367,176,14.3,2.7,Natural Sciences
90,2025,American University in Dubai,United Arab Emirates,Asia,Dubai,625.5,1.9,1603,1084,2.253356,32,6.1,3.33,Natural Sciences
3334,2023,Worcester Polytechnic Institute,United States,North America,Worcester,1002.0,26.4,3478,14944,23.27773232,128,15.0,5.42,Natural Sciences
2957,2023,University of Seville,Spain,Europe,Spain,1031.0,24.28853092,9831,56146,19.50869821,245,27.8,3.42,Social Sciences & Management
428,2026,DIT University,India,Asia,India,1305.0,32.77221612,768,10283,36.59478409,112,28.2,2.73,Engineering & Technology
