country_name,country_iso3code,year,indicator_value
Africa Eastern and Southern,AFE,2024,73.6999969482422
Africa Eastern and Southern,AFE,2023,73.370002746582
Africa Eastern and Southern,AFE,2022,73.0599975585938
Africa Eastern and Southern,AFE,2021,72.7200012207031
Africa Eastern and Southern,AFE,2020,72.9800033569336
Africa Eastern and Southern,AFE,2019,72.8000030517578
Africa Eastern and Southern,AFE,2018,71.6699981689453
Africa Eastern and Southern,AFE,2017,70.879997253418
Africa Eastern and Southern,AFE,2016,70.9599990844727
Africa Eastern and Southern,AFE,2015,70.2399978637695
Africa Eastern and Southern,AFE,2014,69.8300018310547
Africa Eastern and Southern,AFE,2013,69.370002746582
Africa Eastern and Southern,AFE,2012,68.5199966430664
Africa Eastern and Southern,AFE,2011,66.8300018310547
Africa Eastern and Southern,AFE,2010,64.7099990844727
Africa Eastern and Southern,AFE,2009,63.9599990844727
Africa Eastern and Southern,AFE,2008,63.2299995422363
Africa Eastern and Southern,AFE,2007,62.9700012207031
Africa Eastern and Southern,AFE,2006,61.9500007629395
Africa Eastern and Southern,AFE,2005,63.939998626709
Africa Eastern and Southern,AFE,2004,64.5699996948242
Africa Eastern and Southern,AFE,2003,64.3300018310547
Africa Eastern and Southern,AFE,2002,63.8400001525879
Africa Eastern and Southern,AFE,2001,63.1599998474121
Africa Eastern and Southern,AFE,2000,62.6699981689453
Africa Eastern and Southern,AFE,1999,62.1500015258789
Africa Eastern and Southern,AFE,1998,61.2700004577637
Africa Eastern and Southern,AFE,1997,61.060001373291
Africa Eastern and Southern,AFE,1996,60.3600006103516
Africa Eastern and Southern,AFE,1995,59.8699989318848
Africa Eastern and Southern,AFE,1994,59.3400001525879
Africa Eastern and Southern,AFE,1993,58.8800010681152
Africa Eastern and Southern,AFE,1992,58.4599990844727
Africa Eastern and Southern,AFE,1991,58.1800003051758
Africa Eastern and Southern,AFE,1990,58.1500015258789
Africa Eastern and Southern,AFE,1989,57.5999984741211
Africa Eastern and Southern,AFE,1988,57.25
Africa Eastern and Southern,AFE,1987,56.8499984741211
Africa Western and Central,AFW,2024,61.1699981689453
Africa Western and Central,AFW,2023,61.0299987792969
Africa Western and Central,AFW,2022,60.7799987792969
Africa Western and Central,AFW,2021,60.5099983215332
Africa Western and Central,AFW,2020,60.25
Africa Western and Central,AFW,2019,60.1399993896484
Africa Western and Central,AFW,2018,60.3499984741211
Africa Western and Central,AFW,2017,56.8800010681152
Africa Western and Central,AFW,2016,55.8699989318848
Africa Western and Central,AFW,2015,55.4099998474121
Africa Western and Central,AFW,2014,54.5400009155273
Africa Western and Central,AFW,2013,53.8400001525879
Africa Western and Central,AFW,2012,53
Africa Western and Central,AFW,2011,52.439998626709
Africa Western and Central,AFW,2010,51.3899993896484
Africa Western and Central,AFW,2009,50.8499984741211
