uni_id,yr,Total_Students,Intl_Students_Count,Intl_Student_Ratio_pct,Faculty_Count,Faculty_Student_Ratio,Gender_Ratio,Female_Pct,Male_Pct,Degree_Level,UG_Count,PG_Count,Country_Avg_Rank,Univ_Ranked_Count,Best_Univ_Rank,Country_Avg_Score,Country_Avg_Acad_Rep,Country_Avg_Citations,Country_Avg_Intl_Ratio
543,2026,49025.0,0.0,0.0,5277.0,9.290316468,55:45:00,55.0,45.0,Undergraduate & Postgraduate,34473,14552,1458.35,77,108.0,27.66,25.22,19.51,6.34
2165,2023,29094.0,8172.0,28.08975246,1615.0,18.01486068,45:55:00,45.29109301,54.70890699, Undergraduate & Postgraduate,18596,10498,1132.64,39,220.0,31.32,17.49,9.26,14.96
248,2019,12555.0,1942.0,15.46794106,837.0,15.0, 50:50:00,49.7704609,50.2295391,Undergraduate & Postgraduate  ,8565,3990,504.07,59,155.0,40.49,38.79,39.26,54.27
2876,2024,19350.0,3096.0,16.0,1260.0,15.35714286,61:39:00  ,61.0,39.0,UNDERGRADUATE & POSTGRADUATE,16836,2514,268.4,10,68.0,43.76,38.2,45.75,26.03
2999,2016,12065.0,4585.0,38.0,633.0,19.0600316,55:45:00,55.0,45.0, Undergraduate & Postgraduate,7808,4257,329.32,78,2.0,43.92,43.23,42.78,28.22
2026,2018,9400.0,188.0,2.0,1880.0,5.0,45:55:00,45.43887262,54.56112738,UNDERGRADUATE & POSTGRADUATE,7553,1847,754.28,93,28.0,24.76,24.87,24.47,45.89
802,2026,20850.0,1460.0,7.0,3011.0,6.924609764, 41:59:00,41.0,59.0,Undergraduate & Postgraduate,15665,5185,1323.15,44,189.0,26.65,23.15,10.65,6.33
830,2023,8840.0,442.0,5.0,657.0,13.45509893, 57:43:00,57.0,43.0,Undergraduate & Postgraduate,6041,2799,949.98,59,362.0,31.0,31.21,31.21,2.61
550,2019,18258.0,365.0,2.0,928.0,19.67456897,49:51:00,49.0,51.0,Undergraduate & Postgraduate,11239,7019,871.82,53,118.0,25.65,25.98,26.01,134.5
2953,2024,20252.0,1013.0,5.0,1387.0,14.60129776,46:54:00,46.05739412,53.94260588, Undergraduate & Postgraduate,13046,7206,635.03,71,17.0,40.73,17.99,56.18,13.26
3342,2024,20173.0,5251.0,26.02860382,1692.0,11.92257683,53:47:00,53.25628169,46.74371831,Undergraduate & Postgraduate,11850,8323,635.03,71,17.0,40.73,17.99,56.18,13.26
3159,2023,26448.0,5715.0,21.60920917,2505.0,10.55808383,37 : 63,36.83764719,63.16235281, Undergraduate & Postgraduate  ,17339,9109,384.76,86,33.0,49.01,40.16,41.14,19.89
793,2026,23737.0,4889.0,20.59491365,1508.0,15.74071618,52:48:00,52.07232382,47.92767618,undergraduate & postgraduate  ,19373,4364,1091.56,10,482.0,32.25,16.54,18.73,12.02
2923,2019,27685.0,3045.0,11.0,1948.0,14.21201232,53:47:00,53.0,47.0, Undergraduate & Postgraduate,19119,8566,514.48,68,42.0,36.5,36.93,36.97,18.35
1617,2022,8083.0,2344.0,29.0,936.0,8.635683761,73:27:00,73.0,27.0,Undergraduate & Postgraduate  ,5984,2099,981.7,5,577.0,31.49,27.4,34.15,7.86
2100,2024,8147.0,1466.0,18.0,708.0,11.50706215, 74:26:00,74.0,26.0,UNDERGRADUATE & POSTGRADUATE,5605,2542,505.17,12,230.0,40.9,18.91,15.37,31.09
2541,2018,4482.0,125.0,2.788933512,4482.0,1.0,43:57:00  ,43.44841661,56.55158339, Undergraduate & Postgraduate  ,2566,1916,422.67,219,1.0,46.41,46.44,45.96,112.72
242,2017,12292.0,0.0,0.0,866.0,14.19399538,40 : 60,39.81818333,60.18181667,UNDERGRADUATE & POSTGRADUATE,9287,3005,677.98,34,152.0,23.24,22.28,22.84,2.49
3081,2026,14932.0,5376.0,36.0,1381.0,10.81245474, 50:50:00,50.19753753,49.80246247,Undergraduate & Postgraduate,8468,6464,559.59,39,27.0,46.68,36.42,48.16,22.85
2478,2016,12346.0,1975.0,16.0,1369.0,9.018261505,56:44:00,56.0,44.0,Undergraduate & Postgraduate,9999,2347,211.0,7,35.0,50.18,45.84,51.9,19.0
299,2023,10740.0,1504.0,14.0,1222.0,8.788870704,69:31:00,69.0,31.0,Undergraduate & Postgraduate,7683,3057,532.05,119,2.0,45.62,30.96,36.67,30.4
2790,2024,8167.0,82.0,1.0,551.0,14.82214156,54:46:00,54.0,46.0,undergraduate & postgraduate,5872,2295,1270.0,1,1270.0,26.94,25.1,30.35,1.0
1321,2020,46096.0,922.0,2.0,3228.0,14.28004957,61:39:00,61.0,39.0, Undergraduate & Postgraduate,32042,14054,758.42,19,74.0,35.45,33.07,35.75,74.74
1659,2022,1480.0,163.0,11.0,136.0,10.88235294,56:44:00  ,56.0,44.0,UNDERGRADUATE & POSTGRADUATE,935,545,503.59,117,2.0,45.11,44.69,45.1,21.23
275,2026,26526.0,531.0,2.0,2460.0,10.78292683,68:32:00,68.0,32.0,Undergraduate & Postgraduate,16068,10458,1257.07,23,221.0,29.75,27.35,13.88,3.81
940,2026,45899.0,11934.0,26.0,2677.0,17.14568547,43:57:00,43.0,57.0,UNDERGRADUATE & POSTGRADUATE  ,32868,13031,1633.16,98,351.0,24.68,24.91,23.94,9.43
2439,2020,12871.0,3.219,0.025009712,50.0,10.0,65:35:00,65.0,35.0,UNDERGRADUATE & POSTGRADUATE,8572,4299,616.31,24,70.0,38.35,38.8,38.29,52.07
966,2016,23321.0,1399.0,6.0,1205.0,19.35352697,69:31:00,69.0,31.0, Undergraduate & Postgraduate,13666,9655,475.31,13,161.0,31.72,29.46,33.28,9.62
1527,2022,15149.0,151.0,1.0,1330.0,11.39022556,42:58:00  ,42.0,58.0,UNDERGRADUATE & POSTGRADUATE,9193,5956,1169.52,80,121.0,25.65,25.99,25.62,89.52
