Univ_ID,Year,University_Name,World Rank,Natl_Rank,Overall_Score,Country,Region,City,Univ_Type,Academic_Rep_Score,Employer_Rep_Score,Citations_Score,Publications,Citations,Citations_Per_Faculty,H_Index,Research_Output_Score,Research_Productivity_Index,Subject_Field
1534,2018,Pontificia Universidad Católica Argentina,364.0,4.0,33.0,Argentina,Latin America,Buenos Aires,PRIVATE,28.81809833,33.42106692,33.12655744,14526,105384,27.69618424,315,31.0,3.82,Social Sciences & Management
1269,2023,National Chi Nan University,1642.0,42.0,15.7275,TAIWAN  ,Asia,Taiwan,Private  ,16.4175975,17.96185414,19.83075101,1590,4996,12.77637225,72,18.1,4.07,Natural Sciences
299,2026,Canterbury Christ Church University,1300.5,113.0,29.4325,United Kingdom,Europe,Bexleyheath, Public,6.8,4.7,6.8,3852,9099,6.800609108,90,6.8,2.88, Arts & Humanities
600,2023,Gazi University,1226.0,28.0,23.745,TURKEY, Asia,Turkey,Private,22.23203503,24.42424631,30.88854092,6785,110404,36.67897417,390,26.6,2.25,Arts & Humanities
2878,2016,University of Oulu,399.0,6.0,35.43,Finland, Europe,Oulu, Public  ,43.57788604,37.34354017,38.80466726,2934,15643,22.67122598,137,41.2,4.25,Arts & Humanities
477,2018,EBS Business School,,,1.0,Germany  ,europe,Wiesbaden,private,1.0,1.001670134,1.0,661,326,1.0,18,1.0,2.03,ARTS & HUMANITIES
2601,2023,University of Dhaka,960.0,2.0,37.075,bangladesh,Asia,Dhaka,Public,19.4,34.2,2.4,66325,23284,1.337418229,156,10.9,3.81,Social Sciences & Management
1445,2026,Osaka Institute of Technology,2089.0,109.0,15.7755, Japan  , asia,Japan,Public,15.41716931,16.90937886,19.47130172,2789,13807,18.36085589,139,17.4,3.71,Engineering & Technology
1716,2024,Semnan University,1097.0,35.0,30.3945,Iran,Asia  ,Iran,Private  ,35.08397333,31.24552882,28.35439592,4801,41620,33.43001125,179,31.7,3.86,Social Sciences & Management
1830,2026,State Islamic University of Sunan Gunung Djati Bandung,2103.0,37.0,15.376,Indonesia,asia,Indonesia,Public,13.35499591,14.08717269,20.15182324,4490,21137,12.31033575,137,16.8,2.62,ENGINEERING & TECHNOLOGY
1232,2023,Mutah University,1073.0,7.0,40.4,jordan,asia,Mu'tah,Public  ,5.8,5.1,1.6,3862,1753,1.457150093,41,3.7,3.21, Social Sciences & Management
2125,2022,Universidad Autónoma de Querétaro,1201.0,20.0,16.12,Mexico, latin america,Querétaro,PUBLIC,16.07283365,15.74849008,13.35108737,4498,12163,11.51814393,121,14.7,4.26,Social Sciences & Management
1101,2023,Lovely Professional University,896.0,44.0,31.8,India,Asia,India,Private not for Profit,27.55207993,39.46886945,36.40079324,4067,36778,20.28584624,171,32.0,2.24,Engineering & Technology
441,2026,De Montfort University,825.5,80.0,40.111,United Kingdom,Europe,Leicester, Public  ,6.4,9.5,16.7,8434,26902,14.44798547,158,11.6,4.53,life sciences & medicine
2629,2019,University of Freiburg,76.0,7.0,64.69,Germany, europe  ,Germany,private  ,66.89215479,55.60505458,65.87221319,10714,169899,65.17017233,380,66.4,4.11,Life Sciences & Medicine
1757,2018,Shizuoka University,999.0,75.0,15.625, JAPAN,ASIA,Japan,Public,13.16009047,13.75497721,17.18108016,2648,10432,17.59222078,83,15.2,4.47,LIFE SCIENCES & MEDICINE
409,2023,Copenhagen Business School,251.0,4.0,51.1375,denmark,Europe  ,Frederiksberg,Public,39.11316429,52.3248852,45.39462335,2778,19884,30.45023423,124,42.3,4.25,Social Sciences & Management
2782,2017,"University of Maryland, College Park",131.0,43.0,57.6,united states,North America,College Park,PUBLIC,46.42182833,51.8338019,61.51076058,23504,177622,46.76721802,411,54.0,6.19,Natural Sciences
1158,2023,Massachusetts Institute of Technology,1.0,1.0,100.0,United States  ,North America,Cambridge,Private,100.0,100.0,100.0,6396,74371,51.2903683,250,100.0,4.41,Arts & Humanities
2982,2020,University of Southern California,129.0,43.0,53.1,United States, NORTH AMERICA,Los Angeles,Private,42.49961129,51.33935702,47.92008121,14950,59553,19.11197078,258,45.2,4.8, Social Sciences & Management  
787,2021,Indiana University,140.0,44.0,58.2325,United States,North America,United States,PUBLIC,74.2686982,54.70019832,71.91369321,18142,178086,39.92072747,420,73.1,4.07,Natural Sciences
2460,2023,University of Adelaide,88.0,10.0,64.6625, Australia, Oceania,Australia,Private,55.0805757,61.93146368,70.53160345,10092,75321,41.38493462,225,62.8,5.55,Arts & Humanities
499,2022,Edinburgh Napier University,900.5,87.0,38.9125,United Kingdom  ,Europe,Edinburgh,Public,56.16231517,32.70894157,49.48586879,3667,29337,47.8573623,151,52.8,5.98,SOCIAL SCIENCES & MANAGEMENT
2773,2020,University of Manitoba,625.5,22.0,43.5275, Canada,NORTH AMERICA,Winnipeg,public,36.28004798,56.3574011,43.1188419,316,2145,42.90119602,36,39.7,6.32,natural sciences
852,2026,Istanbul Medeniyet University,1470.0,29.0,27.745,Turkey,Asia,Turkey,public,32.44383804,30.5307819,27.60686651,3154,25704,24.93124635,166,30.0,3.06,LIFE SCIENCES & MEDICINE
2747,2021,University of Limerick,515.5,9.0,36.955,Ireland  ,Europe  ,Limerick,Public,37.77825398,37.66466873,27.51660498,3820,15726,16.51909475,141,32.6,4.01,Social Sciences & Management  
1246,2024,Nanjing Forestry University,672.0,8.0,39.883,China,Asia  ,China, Public,38.81865317,42.87942699,36.04480289,8801,60425,26.87937679,255,37.4,3.92,Engineering & Technology
1025,2026,Korea University,61.0,3.0,79.6,Republic of Korea,Asia,Seoul,Private not for Profit,89.2,95.4,68.2,11428,73242,55.36025387,222,78.7,8.64,Arts & Humanities
996,2023,King Faisal University,854.0,21.0,31.5925,Saudi Arabia,Asia,Hofuf,Public,13.2,4.8,2.2,10237,6302,1.664516991,84,7.7,2.7,Arts & Humanities
1225,2025,Moulay Ismail University,1511.0,6.0,25.0045,MOROCCO,Africa  ,Morocco,Private  ,21.22566271,28.89711421,26.43747131,16870,110486,24.24537979,374,23.8,3.7,LIFE SCIENCES & MEDICINE
813,2023,Instituto Tecnológico Autónomo de México,766.0,8.0,57.4,mexico, Latin America,Mexico City,Private,14.2,47.4,2.0,1807,1055,2.288743066,29,8.1,3.92,Social Sciences & Management
354,2023,China Pharmaceutical University,1153.0,36.0,25.7675,CHINA,Asia,China,Public  ,22.62606064,29.20773863,26.25188511,3906,61306,23.19566548,204,24.4,1.48,Life Sciences & Medicine
1454,2026,Ovidius University of Constanța,2085.0,27.0,15.8325,Romania,europe,Romania,PUBLIC,13.69922498,17.12600023,18.00365512,5093,26658,19.01456967,174,15.9,3.63,Life Sciences & Medicine
1218,2018,Moscow Institute of Physics and Technology,355.0,6.0,33.4,Russia,Europe  ,Dolgoprudny,Public,25.07453707,28.12917527,22.43638778,3493,16125,14.52743616,104,23.8,3.15,Natural Sciences
2468,2023,University of Alberta,110.0,4.0,56.9,Canada,north america,Edmonton,Public,55.1,48.9,53.9,8631,119940,52.93028138,350,54.5,3.81, Social Sciences & Management
2994,2020,University of Strasbourg,467.0,28.0,39.965,France  ,Europe,France,Public,50.62013922,42.06106377,35.12125327,4855,121611,42.49144823,303,42.9,1.7,Natural Sciences
160,2026,Autonomous University of Sinaloa,1479.0,22.0,27.538, Mexico,Latin America,Mexico,Public,32.82786821,26.33712241,26.97918788,12695,115609,30.28780664,360,29.9,3.33,social sciences & management  
2769,2020,University of Malta,783.0,1.0,28.82,Malta,EUROPE  ,Msida,Public,32.8556643,26.30611502,26.17166504,1958,25108,28.14757428,167,29.5,2.2,Engineering & Technology
1132,2023,Mahidol University,,2.0,38.1,Thailand  ,Asia,Nakhon Pathom,public,40.5,,5.2,9365,8438,4.098291108,106,22.8,4.55,
2686,2019,University of Idaho,558.0,151.0,35.055,United States  ,Americas,United States,Public,32.72294817,30.81029458,32.86646856,2332,16773,21.78269521,128,32.8,3.03, Life Sciences & Medicine
270,2016,Brunel University London,422.0,48.0,34.0325,UNITED KINGDOM, Europe,United Kingdom,Public,37.38484911,35.93771061,38.39607496,3783,16661,21.01063592,121,37.9,4.77,Engineering & Technology
748,2023,Illinois Institute of Technology,446.0,101.0,26.3,United States,North America,Chicago,PRIVATE  ,14.8,8.2,52.9,2056,26160,36.53595046,165,33.8,2.87,Natural Sciences
1339,2018,National University of Singapore,15.0,2.0,90.5,Singapore,ASIA,Singapore,Public,85.5134942,52.26394176,82.10238187,30773,261777,61.0486832,512,83.8,7.18,natural sciences
467,2020,Dublin City University,429.0,8.0,27.0,IRELAND, Europe  ,Dublin,public,30.44875985,30.18503966,22.56468004,150,871,17.42480587,34,26.5,3.0,Social Sciences & Management
2714,2025,University of Kerbala,2051.0,20.0,13.9055,Iraq  ,Asia,Iraq, Public,11.13051522,14.3985612,15.15831074,3917,15305,9.964462103,135,13.1,2.55,natural sciences  
1190,2019,Michigan Technological University,595.5,158.0,52.7,United States, North America,Houghton,Public,55.97106391,55.08528806,47.75169879,1497,26098,46.43736654,158,51.9,2.66,Engineering & Technology
3398,2020,Åbo Akademi University,702.0,10.0,31.45,Finland,Europe,Finland,Public,28.75670812,32.17176647,24.42304329,957,9142,26.7300942,95,26.6,2.8,Life Sciences & Medicine
1622,2026,Ritsumeikan University,680.0,17.0,25.9,Japan, ASIA,Kyoto,Private not for Profit,25.7,61.5,5.0,3030,8427,4.141158166,80,15.4,1.49,ARTS & HUMANITIES
1575,2019,Pusan National University,505.5,19.0,29.5475,South Korea,Asia,Busan,Public,28.17423939,33.99162989,34.1232488,180,1405,28.09490442,41,31.1,3.6, engineering & technology
2856,2023,University of North Carolina Wilmington,1366.0,255.0,20.8825, United States,North America,United States,private  ,24.62903837,18.68586216,22.53812757,4011,27081,21.75150685,149,23.6,3.22,life sciences & medicine  
2798,2024,University of Messina,875.5,61.0,45.002,Italy,EUROPE,Messina,Public,8.3,2.5,29.4,4342,29078,28.4239007,183,18.8,4.24,Social Sciences & Management
1082,2016,Linköping University,290.0,9.0,41.35,Sweden, Europe,Linköping,Public,49.18391023,38.16142644,45.46999031,6632,68335,42.13021684,257,47.3,4.09,Natural Sciences
908,2019,Jordan University of Science and Technology,389.0,1.0,42.0825,Jordan, asia  ,Jordan,Public  ,45.3707659,31.4648676,52.06127195,4908,61549,35.84696341,212,48.7,2.86,LIFE SCIENCES & MEDICINE
3207,2026,Université Paul-Valéry Montpellier 3,1300.5,58.0,40.6,France,europe,France,Public,14.9,6.1,8.7,4228,16344,11.10352717,127,11.8,2.87,Life Sciences & Medicine
2239,2025,Universidad de Chile,139.0,2.0,53.7,CHILE,Americas,Santiago,PUBLIC,82.8,90.0,11.2,13524,25989,9.291778674,145,47.0,4.84,social sciences & management
113,2023,Annamalai University,1573.0,93.0,17.04,India  ,Asia,India,Private,17.36204099,17.75974707,14.04477174,2911,14969,15.10457719,137,15.7,2.94,Arts & Humanities
3050,2024,University of Tübingen,96.0,9.0,66.9615,Germany, Europe,Germany,Private,48.88957782,66.9642366,61.86999132,9777,120524,76.18428814,330,55.4,6.18,social sciences & management  
2835,2023,University of Navarra,254.0,9.0,38.3,SPAIN  ,Europe,Pamplona,private,29.4,66.4,15.1,1946,8289,10.18317748,82,22.2,2.39,Arts & Humanities
2195,2025,Universidad Nacional de Tucumán,,,1.0,argentina,AMERICAS,Argentina,Public,7.4,2.1,1.6,5053,3581,1.395159765,63,4.5,1.97,Social Sciences & Management
2327,2022,Universidade Federal de Ouro Preto,1462.0,62.0,17.1675,Brazil,Latin America,Brazil,Public,17.3407381,19.47177751,13.05182508,1491,7118,7.695622234,76,15.2,1.61,ARTS & HUMANITIES
2840,2025,University of Neuchâtel,561.0,15.0,44.3065,switzerland, EUROPE,Switzerland,Private  ,43.27360505,40.84649095,42.19983701,1718,9107,23.4727098,105,42.7,4.43,social sciences & management
966,2025,Kazan Federal University,401.0,5.0,29.6,Russia,europe,Kazan,Public,23.6,11.4,2.4,4046,2384,1.60525158,43,13.0,2.72,Life Sciences & Medicine
2543,2026,"University of California, Santa Cruz",458.0,69.0,34.0,united states of america  , Americas,Santa Cruz, Public,24.7,13.6,62.4,2483,40549,42.23852197,208,43.6,2.59,Natural Sciences
2233,2026,Universidad de Belgrano,975.5,7.0,55.5,Argentina,Americas,Buenos Aires,Private not for Profit,11.2,15.3,1.0,453,388,1.0,25,6.1,1.17, SOCIAL SCIENCES & MANAGEMENT
1698,2023,Satbayev University,405.0,3.0,28.1,Kazakhstan,asia,Almaty,PUBLIC,18.7,28.9,1.3,1076,512,1.0,24,10.0,2.1, Natural Sciences
1825,2020,St Petersburg Electrotechnical University,1094.0,6.0,19.8025,Russian Federation,Europe,Russian Federation,Private,19.84624401,17.08839975,26.09254013,1808,17342,17.80472422,146,23.0,1.86,Natural Sciences  
2810,2020,"University of Missouri, Columbia",555.5,133.0,60.2,United States,north america,Columbia,Public,59.40764088,72.14519853,49.94257482,157,2039,40.77341248,50,54.7,3.14,Social Sciences & Management
1384,2021,NorthWest A&F University,894.0,25.0,27.6925,China,Asia,China,PRIVATE,23.37569394,25.11724781,28.28551964,22311,135870,28.27083613,385,25.8,4.64, natural sciences
2124,2021,Universidad Autónoma de Nuevo León,1001.0,16.0,12.9925,Mexico,latin america,San Nicolás de los Garza, Public,12.98685569,10.63052081,12.51626493,14281,46344,10.18107553,197,12.8,3.14,life sciences & medicine
493,2021,Eberhard Karls Universität Tübingen,175.0,24.0,45.8,germany,Europe,Tübingen,Public,40.43705248,43.67584678,37.49174844,13084,149134,33.01615278,365,39.0,2.9,Natural Sciences
1961,2022,The Islamia University of Bahawalpur,1093.0,15.0,24.8325, pakistan,Asia,Pakistan,Public,21.07373121,24.36370585,27.30072263,5609,68661,31.18123403,250,24.2,2.55,Arts & Humanities
2582,2017,University of Connecticut,425.5,116.0,42.2325,United States,North America,Storrs,public,35.46576241,33.20731953,39.81752766,124,932,18.63215444,29,37.6,2.48,Natural Sciences
3256,2024,Utah State University,1100.5,190.0,42.2,United States,North America,Logan,Public,6.6,3.2,24.4,20014,70138,23.30931976,265,15.5,6.65,Social Sciences & Management
2360,2019,Universidade de Vigo,900.5,48.0,28.4,Spain,Europe,Spain,PUBLIC,29.87534031,33.1776984,24.41726355,2717,26514,21.34748519,182,27.1,2.19,Engineering & Technology
1359,2016,New York University,30.0,18.0,77.2,UNITED STATES,North America,New York City,PRIVATE,73.04767395,89.79335589,74.53439259,16321,173641,65.25413475,466,73.8,6.13,natural sciences  
1108,2018,Lund University,78.0,2.0,68.5,sweden,Europe,Lund,Public,67.78017931,72.08611669,68.01164718,10349,106369,34.98981408,364,67.9,3.4, Life Sciences & Medicine
405,2024,Complutense University of Madrid,171.0,4.0,48.8,SPAIN, Europe  ,Madrid,Public,68.2,69.3,7.0,11599,18197,5.569999057,129,37.6,3.55,SOCIAL SCIENCES & MANAGEMENT
1322,2018,National University of Córdoba,972.0,17.0,16.5725, argentina,LATIN AMERICA,Argentina,public,17.10252477,14.0011935,12.30125237,12987,65716,11.63932122,264,14.7,2.3,Life Sciences & Medicine
3353,2021,Yamagata University,1254.0,84.0,18.44,JAPAN,Asia  ,Japan,Public,18.33135227,13.89923318,19.56983941,525,7297,14.39308817,52,19.0,1.04,Engineering & Technology
1578,2026,Qatar University,112.0,1.0,66.5,qatar, Asia,Doha,Public,43.3,56.5,73.3,3104,68749,93.40944629,301,58.3,4.22,Social Sciences & Management
1039,2018,Kyoto University,36.0,2.0,81.5,japan, Asia,Kyoto,Public,80.83883714,78.59879813,76.81471711,36243,215692,55.15011583,477,78.8,9.27,Engineering & Technology
