university_id,year,university_name,world_rank,national_rank,overall_score,country,region,city,university_type,academic_reputation_score,employer_reputation_score,citations_score,publications_count,citations_count,citations_per_faculty,h_index,research_output_score,research_productivity_index,subject_field,total_students,international_students_count,international_student_ratio,faculty_count,faculty_to_student_ratio,gender_ratio,female_percentage,male_percentage,degree_level,undergraduate_count,postgraduate_count,country_avg_rank,universities_ranked_count,best_university_rank,country_avg_overall_score,country_avg_academic_reputation,country_avg_citations,country_avg_international_ratio
1534,2018,Pontificia Universidad Católica Argentina,364.0,4.0,33.0,Argentina,Latin America,Buenos Aires,PRIVATE,28.81809833,33.42106692,33.12655744,14526,105384,27.69618424,315,31.0,3.82,Social Sciences & Management,15220.0,1063.0,6.984231275,3805.0,4.0,34 : 66,33.9915448,66.0084552,UNDERGRADUATE & POSTGRADUATE,9560,5660,652.65,17,75.0,33.63,33.37,34.59,83.01
1269,2023,National Chi Nan University,1642.0,42.0,15.7275,TAIWAN  ,Asia,Taiwan,Private  ,16.4175975,17.96185414,19.83075101,1590,4996,12.77637225,72,18.1,4.07,Natural Sciences,5773.0,635.0,11.0,391.0,14.76470588,54:46:00,54.0,46.0,Undergraduate & Postgraduate,3452,2321,1041.45,47,77.0,26.27,20.02,19.55,8.87
299,2026,Canterbury Christ Church University,1300.5,113.0,29.4325,United Kingdom,Europe,Bexleyheath, Public,6.8,4.7,6.8,3852,9099,6.800609108,90,6.8,2.88, Arts & Humanities,23395.0,12867.0,55.0,1338.0,17.48505232,57:43:00,57.0,43.0,Undergraduate & Postgraduate,15183,8212,614.48,126,2.0,46.87,35.82,38.92,35.29
600,2023,Gazi University,1226.0,28.0,23.745,TURKEY, Asia,Turkey,Private,22.23203503,24.42424631,30.88854092,6785,110404,36.67897417,390,26.6,2.25,Arts & Humanities,41358.0,1241.0,3.0,3010.0,13.74019934,50:50:00,50.0,50.0,Undergraduate & Postgraduate,28683,12675,1264.96,73,460.0,24.69,17.31,16.31,8.88
2878,2016,University of Oulu,399.0,6.0,35.43,Finland, Europe,Oulu, Public  ,43.57788604,37.34354017,38.80466726,2934,15643,22.67122598,137,41.2,4.25,Arts & Humanities,14056.0,843.0,6.0,690.0,20.37101449, 49:51:00,49.0,51.0,Undergraduate & Postgraduate  ,9480,4576,352.89,9,76.0,38.96,38.59,40.11,9.0
477,2018,EBS Business School,,,1.0,Germany  ,europe,Wiesbaden,private,1.0,1.001670134,1.0,661,326,1.0,18,1.0,2.03,ARTS & HUMANITIES,5325.0,453.0,11.41609816,326.0,44.0,51:49:00,50.89122007,49.10877993, Undergraduate & Postgraduate,4274,1051,313.21,81,35.0,49.57,49.65,48.83,12.95
2601,2023,University of Dhaka,960.0,2.0,37.075,bangladesh,Asia,Dhaka,Public,19.4,34.2,2.4,66325,23284,1.337418229,156,10.9,3.81,Social Sciences & Management,211424.0,6343.0,3.0,17410.0,12.14382539,48:52:00,48.0,52.0,Undergraduate & Postgraduate,135717,75707,1067.5,6,809.0,30.79,17.08,10.04,4.52
1445,2026,Osaka Institute of Technology,2089.0,109.0,15.7755, Japan  , asia,Japan,Public,15.41716931,16.90937886,19.47130172,2789,13807,18.36085589,139,17.4,3.71,Engineering & Technology,7956.0,80.0,1.0,752.0,10.57978723,46:54:00,45.90967379,54.09032621,UNDERGRADUATE & POSTGRADUATE,6159,1797,1349.57,120,36.0,29.01,25.61,22.27,5.48
1716,2024,Semnan University,1097.0,35.0,30.3945,Iran,Asia  ,Iran,Private  ,35.08397333,31.24552882,28.35439592,4801,41620,33.43001125,179,31.7,3.86,Social Sciences & Management,14404.0,144.0,1.0,1245.0,11.56947791,55:45:00,55.0,45.0,Undergraduate & Postgraduate,8031,6373,1064.04,67,519.0,31.55,31.63,30.65,3.13
1830,2026,State Islamic University of Sunan Gunung Djati Bandung,2103.0,37.0,15.376,Indonesia,asia,Indonesia,Public,13.35499591,14.08717269,20.15182324,4490,21137,12.31033575,137,16.8,2.62,ENGINEERING & TECHNOLOGY,31937.0,0.0,0.0,1717.0,18.60046593,67:33:00,67.0,33.0,Undergraduate & Postgraduate  ,14582,17355,1323.15,44,189.0,26.65,23.15,10.65,6.33
1232,2023,Mutah University,1073.0,7.0,40.4,jordan,asia,Mu'tah,Public  ,5.8,5.1,1.6,3862,1753,1.457150093,41,3.7,3.21, Social Sciences & Management,16910.0,4886.0,28.89451286,1203.0,14.05652535,62:38:00,62.34234669,37.65765331,UNDERGRADUATE & POSTGRADUATE,10653,6257,946.6,10,578.0,41.95,14.82,10.93,19.22
2125,2022,Universidad Autónoma de Querétaro,1201.0,20.0,16.12,Mexico, latin america,Querétaro,PUBLIC,16.07283365,15.74849008,13.35108737,4498,12163,11.51814393,121,14.7,4.26,Social Sciences & Management,23966.0,305.0,1.272636235,1056.0,24.0,56:44:00,56.0,44.0,Undergraduate & Postgraduate,17588,6378,1064.0,35,105.0,30.36,30.33,30.45,241.41
1101,2023,Lovely Professional University,896.0,44.0,31.8,India,Asia,India,Private not for Profit,27.55207993,39.46886945,36.40079324,4067,36778,20.28584624,171,32.0,2.24,Engineering & Technology,33469.0,2008.0,6.0,1813.0,18.4605626,24 : 76  ,24.0,76.0, UNDERGRADUATE & POSTGRADUATE,25714,7755,920.08,96,156.0,33.15,21.84,33.12,6.8
441,2026,De Montfort University,825.5,80.0,40.111,United Kingdom,Europe,Leicester, Public  ,6.4,9.5,16.7,8434,26902,14.44798547,158,11.6,4.53,life sciences & medicine,23655.0,11118.0,47.0,1862.0,12.70408163,48:52:00,48.0,52.0, Undergraduate & Postgraduate  ,16823,6832,614.48,126,2.0,46.87,35.82,38.92,35.29
2629,2019,University of Freiburg,76.0,7.0,64.69,Germany, europe  ,Germany,private  ,66.89215479,55.60505458,65.87221319,10714,169899,65.17017233,380,66.4,4.11,Life Sciences & Medicine,22005.0,4841.0,22.0,2607.0,8.440736479,55:45:00,55.0,45.0,undergraduate & postgraduate,15328,6677,323.32,83,33.0,47.82,49.72,47.79,14.22
1757,2018,Shizuoka University,999.0,75.0,15.625, JAPAN,ASIA,Japan,Public,13.16009047,13.75497721,17.18108016,2648,10432,17.59222078,83,15.2,4.47,LIFE SCIENCES & MEDICINE,10032.0,301.0,3.0,593.0,16.91736931, 29 : 71  ,29.0,71.0,UNDERGRADUATE & POSTGRADUATE  ,8956,1076,754.28,93,28.0,24.76,24.87,24.47,45.89
409,2023,Copenhagen Business School,251.0,4.0,51.1375,denmark,Europe  ,Frederiksberg,Public,39.11316429,52.3248852,45.39462335,2778,19884,30.45023423,124,42.3,4.25,Social Sciences & Management,16547.0,3971.0,24.0,653.0,25.33996937,48:52:00,48.0,52.0,Undergraduate & Postgraduate,10150,6397,299.43,7,82.0,45.57,39.93,47.15,17.14
2782,2017,"University of Maryland, College Park",131.0,43.0,57.6,united states,North America,College Park,PUBLIC,46.42182833,51.8338019,61.51076058,23504,177622,46.76721802,411,54.0,6.19,Natural Sciences,31353.0,4659.0,14.85982203,3798.0,10.0,48:52:00  ,48.0,52.0,UNDERGRADUATE & POSTGRADUATE,21955,9398,378.68,209,1.0,45.95,44.98,45.21,139.8
1158,2023,Massachusetts Institute of Technology,1.0,1.0,100.0,United States  ,North America,Cambridge,Private,100.0,100.0,100.0,6396,74371,51.2903683,250,100.0,4.41,Arts & Humanities,11415.0,3767.0,33.0,1450.0,7.872413793,40 : 60,40.0,60.0,Undergraduate & Postgraduate,8857,2558,646.76,264,1.0,44.35,28.72,37.03,16.54
2982,2020,University of Southern California,129.0,43.0,53.1,United States, NORTH AMERICA,Los Angeles,Private,42.49961129,51.33935702,47.92008121,14950,59553,19.11197078,258,45.2,4.8, Social Sciences & Management  ,36929.0,9107.0,24.66083566,3116.0,10.0,53:47:00  ,53.0,47.0,UNDERGRADUATE & POSTGRADUATE,24053,12876,458.79,229,1.0,45.59,45.51,45.31,81.75
787,2021,Indiana University,140.0,44.0,58.2325,United States,North America,United States,PUBLIC,74.2686982,54.70019832,71.91369321,18142,178086,39.92072747,420,73.1,4.07,Natural Sciences,67054.0,10058.0,15.0,4461.0,15.03115893,51:49:00,51.0,49.0,Undergraduate & Postgraduate,44907,22147,492.25,237,1.0,44.73,44.34,44.76,78.92
2460,2023,University of Adelaide,88.0,10.0,64.6625, Australia, Oceania,Australia,Private,55.0805757,61.93146368,70.53160345,10092,75321,41.38493462,225,62.8,5.55,Arts & Humanities,23102.0,7393.0,32.0,1820.0,12.69340659,49:51:00,49.0,51.0,Undergraduate & Postgraduate,11795,11307,384.89,44,30.0,48.7,34.07,59.03,29.75
499,2022,Edinburgh Napier University,900.5,87.0,38.9125,United Kingdom  ,Europe,Edinburgh,Public,56.16231517,32.70894157,49.48586879,3667,29337,47.8573623,151,52.8,5.98,SOCIAL SCIENCES & MANAGEMENT,10810.0,3.992,0.03692877,613.0,21.0,54:46:00,54.0,46.0,Undergraduate & Postgraduate  ,5784,5026,503.59,117,2.0,45.11,44.69,45.1,21.23
2773,2020,University of Manitoba,625.5,22.0,43.5275, Canada,NORTH AMERICA,Winnipeg,public,36.28004798,56.3574011,43.1188419,316,2145,42.90119602,36,39.7,6.32,natural sciences,29311.0,4.77,0.016273754,50.0,10.0,53:47:00,53.0,47.0,Undergraduate & Postgraduate,19579,9732,446.05,32,29.0,40.55,40.36,39.48,13.23
852,2026,Istanbul Medeniyet University,1470.0,29.0,27.745,Turkey,Asia,Turkey,public,32.44383804,30.5307819,27.60686651,3154,25704,24.93124635,166,30.0,3.06,LIFE SCIENCES & MEDICINE,14298.0,429.0,3.0,1031.0,13.86808923,52:48:00,52.0,48.0,Undergraduate & Postgraduate  ,11898,2400,1633.16,98,351.0,24.68,24.91,23.94,9.43
