university_name,year,rank_display,score,link,country,city,region_x,logo,type,research_output,student_faculty_ratio,international_students,size,faculty_count,region_y,university_type,qs_rank_2026,the_rank_2026,arwu_rank_2025,qs_score,the_score,arwu_score,qs_academic_rep,qs_employer_rep,qs_faculty_student,qs_citations,qs_intl_faculty,qs_intl_students,the_teaching,the_research_env,the_research_quality,the_industry,the_intl_outlook,founded,total_students,intl_students_pct,nobel_laureates,fields_medalists,ranked_in_all_3,avg_rank_all3,university_age_2026,data_sources
 Don State Technical University,2022,1201,,https://www.topuniversities.com/universities/don-state-technical-university,Russia,Rostov-on-Don,Europe,https://www.topuniversities.com/sites/default/files/-don-state-technical-university_592560cf2aeae70239af5995_small.jpg,Public,High,14,"2,627",L,"1,860",,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ULACIT - Universidad Latinoamericana de Ciencia y Tecnología, Costa Rica",2017,701,,https://www.topuniversities.com/universities/ulacit-universidad-latinoamericana-de-ciencia-y-tecnologia-costa-rica,Costa Rica,San José,Latin America,https://www.topuniversities.com/sites/default/files/-ulacit-universidad-latinoamericana-de-ciencia-y-tecnologa-costa-rica_592560cf2aeae70239af4dbb_small.jpg,Private,Low,14,,S,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ULACIT - Universidad Latinoamericana de Ciencia y Tecnología, Costa Rica",2019,801-1000,,https://www.topuniversities.com/universities/ulacit-universidad-latinoamericana-de-ciencia-y-tecnologia-costa-rica,Costa Rica,San José,Latin America,https://www.topuniversities.com/sites/default/files/-ulacit-universidad-latinoamericana-de-ciencia-y-tecnologa-costa-rica_592560cf2aeae70239af4dbb_small.jpg,Private,Low,14,,S,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 University of Dundee,2017,244,41.6,https://www.topuniversities.com/universities/university-dundee,United Kingdom,Dundee,Europe,https://www.topuniversities.com/sites/default/files/-university-of-dundee_592560cf2aeae70239af4b2c_small.jpg,Public,High,14,"3,025",L,953,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 University of Dundee,2018,267,40.1,https://www.topuniversities.com/universities/university-dundee,United Kingdom,Dundee,Europe,https://www.topuniversities.com/sites/default/files/-university-of-dundee_592560cf2aeae70239af4b2c_small.jpg,Public,High,14,"3,025",L,953,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 University of Dundee,2019,272,36.1,https://www.topuniversities.com/universities/university-dundee,United Kingdom,Dundee,Europe,https://www.topuniversities.com/sites/default/files/-university-of-dundee_592560cf2aeae70239af4b2c_small.jpg,Public,High,14,"3,025",L,953,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 University of Dundee,2020,302,34.3,https://www.topuniversities.com/universities/university-dundee,United Kingdom,Dundee,Europe,https://www.topuniversities.com/sites/default/files/-university-of-dundee_592560cf2aeae70239af4b2c_small.jpg,Public,High,14,"3,025",L,953,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 University of Dundee,2021,319,32.9,https://www.topuniversities.com/universities/university-dundee,United Kingdom,Dundee,Europe,https://www.topuniversities.com/sites/default/files/-university-of-dundee_592560cf2aeae70239af4b2c_small.jpg,Public,High,14,"3,025",L,953,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 University of Dundee,2022,322,32.9,https://www.topuniversities.com/universities/university-dundee,United Kingdom,Dundee,Europe,https://www.topuniversities.com/sites/default/files/-university-of-dundee_592560cf2aeae70239af4b2c_small.jpg,Public,High,14,"3,025",L,953,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Western Sydney University,2017,551-600,,https://www.topuniversities.com/universities/western-sydney-university,Australia,Milperra,Oceania,https://www.topuniversities.com/sites/default/files/western-sydney-university_848_small.jpg,Public,High,22,7.123,XL,1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Western Sydney University,2018,551-600,,https://www.topuniversities.com/universities/western-sydney-university,Australia,Milperra,Oceania,https://www.topuniversities.com/sites/default/files/western-sydney-university_848_small.jpg,Public,High,22,7.123,XL,1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,
