university_id,normalized_name,university_name,country
U000001,aalborg university,Aalborg University,Denmark
U000002,aalto university,Aalto University,Finland
U000003,aarhus university,Aarhus University,Denmark
U000004,abai kazakh national pedagogical university,Abai Kazakh National Pedagogical University,Kazakhstan
U000005,abbes laghrour university of khenchala,Abbes Laghrour University of Khenchala,Algeria
U000006,abbottabad university of science and technology,Abbottabad University of Science and Technology,Pakistan
U000007,abdelhafid boussouf university center of mila,Abdelhafid Boussouf University Center of Mila,Algeria
U000008,abdelmalek essaadi university,Abdelmalek Essaâdi University,Morocco
U000009,abdul wali khan university mardan,Abdul Wali Khan University Mardan,Pakistan
U000010,abdullah gul university,Abdullah Gül University,Turkey
U000011,abertay university,Abertay University,United Kingdom
U000012,aberystwyth university,Aberystwyth University,United Kingdom
U000013,abia state university,Abia State University,Nigeria
U000014,abo akademi university,Abo Akademi University,Finland
U000015,abrar university,Abrar University,Somalia
U000016,abu dhabi university,Abu Dhabi University,United Arab Emirates
U000017,academician y a buketov karaganda university,Academician Y.A. Buketov Karaganda University,Kazakhstan
U000018,academy of economic studies of moldova,Academy of Economic Studies of Moldova,Moldova
U000019,acbadem university,Acıbadem University,Turkey
U000020,acharya nagarjuna university,Acharya Nagarjuna University,India
U000021,ada kent university,Ada Kent University,Northern Cyprus
U000022,adam mickiewicz university poznan,"Adam Mickiewicz University, Poznań",Poland
U000023,adamawa state university mubi,"Adamawa State University, Mubi",Nigeria
U000024,addis ababa university,Addis Ababa University,Ethiopia
U000025,adelphi university,Adelphi University,United States
U000026,adolfo ibanez university,Adolfo Ibáñez University,Chile
U000027,adventist university of central africa,Adventist University of Central Africa,Rwanda
U000028,aecc university college,AECC University College,United Kingdom
U000029,afe babalola university,Afe Babalola University,Nigeria
U000030,african school of economics,African School of Economics,Benin
U000031,aga khan university,Aga Khan University,Pakistan
U000032,agh university of krakow,AGH University of Krakow,Poland
U000033,agh university of science and technology,AGH University of Science and Technology,Poland
U000034,ahl al bayt university,Ahl Al Bayt University,Iraq
U000035,ahlia university,Ahlia University,Bahrain
U000036,ahvaz jundishapur university of medical sciences,Ahvaz Jundishapur University of Medical Sciences (AJUMS),Iran
U000037,aichi institute of technology,Aichi Institute of Technology,Japan
U000038,aichi medical university,Aichi Medical University,Japan
U000039,aichi prefectural university,Aichi Prefectural University,Japan
U000040,ain shams university,Ain Shams University ,Egypt
U000041,air university,Air University,Pakistan
U000042,airlangga university,Airlangga University,Indonesia
U000043,aix marseille university,Aix-Marseille University,France
U000044,ajeenkya dy patil university,Ajeenkya DY Patil University,India
U000045,ajman university,Ajman University,United Arab Emirates
U000046,ajou university,Ajou University ,South Korea
U000047,akdeniz universitesi,Akdeniz Üniversitesi,Turkey
U000048,akdeniz university,Akdeniz University,Turkey
U000049,akfa university,AKFA University,Uzbekistan
U000050,akhmet yassawi university,Akhmet Yassawi University,Kazakhstan
U000051,akita prefectural university,Akita Prefectural University,Japan
U000052,akita university,Akita University,Japan
U000053,akli mohand oulhadj bouira university,Akli Mohand Oulhadj Bouira University,Algeria
U000054,aksaray university,Aksaray University,Turkey
U000055,akwa ibom state university,Akwa Ibom State University,Nigeria
U000056,al ahliyya amman university,Al-Ahliyya Amman University,Jordan
U000057,al ain university,Al Ain University,United Arab Emirates
U000058,al akhawayn university,Al Akhawayn University,Morocco
U000059,al akhawayn university ifrane,Al Akhawayn University Ifrane,Morocco
U000060,al al bayt university,Al al-Bayt University,Jordan
U000061,al ayen university,Al-Ayen University,Iraq
U000062,al azhar university,Al-Azhar University,Egypt
U000063,al baha university,Al-Baha University,Saudi Arabia
U000064,al balqa applied university,Al-Balqa Applied University,Jordan
U000065,al bayan university,Al-Bayan University,Iraq
U000066,al esraa university college,Al-Esraa University College,Iraq
U000067,al farabi kazakh national university,Al-Farabi Kazakh National University,Kazakhstan
U000068,al farabi university college,Al-Farabi University College,Iraq
U000069,al farahidi university,Al-Farahidi University,Iraq
U000070,al furat al awsat technical university,Al-Furat Al-Awsat Technical University,Iraq
U000071,al hussein bin talal university,Al-Hussein Bin Talal University,Jordan
U000072,al imam mohammad ibn saud islamic university,Al Imam Mohammad Ibn Saud Islamic University,Saudi Arabia
U000073,al janad university for science and technology,Al-Janad University for Science and Technology,Yemen
U000074,al karkh university of science,Al-Karkh University of Science,Iraq
U000075,al kitab university,Al-Kitab University,Iraq
U000076,al maarif university college,Al-Maarif University College,Iraq
U000077,al manara college for medical sciences,Al-Manara College for Medical Sciences,Iraq
U000078,al mustaqbal university,Al-Mustaqbal University,Iraq
U000079,al mustaqbal university college,Al-Mustaqbal University College,Iraq
U000080,al muthanna university,Al-Muthanna University,Iraq
U000081,al nahrain university,Al-Nahrain University,Iraq
U000082,al nisour university college,Al-Nisour University College,Iraq
U000083,al noor university college,Al-Noor University College,Iraq
U000084,al qalam university college,Al-Qalam University College,Iraq
U000085,al qasim green university,Al-Qasim Green University,Iraq
U000086,al quds university,Al-Quds University,Palestine
U000087,al quds university the arab university in jerusalem,Al Quds University The Arab University in Jerusalem,"Palestinian Territory, Occupied"
U000088,al rafidain university college,Al-Rafidain University College,Iraq
U000089,al safwa university college,Al Safwa University College,Iraq
U000090,al turath university,Al Turath University,Iraq
U000091,al zaytoonah university of jordan,Al-Zaytoonah University of Jordan,Jordan
U000092,alagappa university,Alagappa University,India
U000093,albaydha university,Albaydha University,Yemen
