country_code,country_name,year,gdp_per_capita_usd,education_expenditure_pct_gdp,tertiary_enrollment_ratio,population,literacy_rate_pct,data_source,download_timestamp_utc
AFG,Afghanistan,2020,510.787063366811,,10.85435962677,39068979.0,36.0149650316607,World Bank API,2026-07-13 06:56:42 UTC
AFG,Afghanistan,2021,356.496214115892,,,40000412.0,37.2700004577637,World Bank API,2026-07-13 06:56:42 UTC
AFG,Afghanistan,2022,357.261152798144,,,40578842.0,,World Bank API,2026-07-13 06:56:42 UTC
AFG,Afghanistan,2023,413.757894705303,,,41454761.0,,World Bank API,2026-07-13 06:56:42 UTC
AFG,Afghanistan,2024,416.871146273728,,,42647492.0,,World Bank API,2026-07-13 06:56:42 UTC
AFE,Africa Eastern and Southern,2020,1351.50316694933,4.0905654220699,8.71187019348145,694446100.0,72.9800033569336,World Bank API,2026-07-13 06:56:42 UTC
AFE,Africa Eastern and Southern,2021,1560.89462580275,4.36837948133246,8.66186046600342,713090928.0,72.7200012207031,World Bank API,2026-07-13 06:56:42 UTC
AFE,Africa Eastern and Southern,2022,1675.90252377611,3.69766802106406,,731821393.0,73.0599975585938,World Bank API,2026-07-13 06:56:42 UTC
AFE,Africa Eastern and Southern,2023,1571.13270407815,3.96229304413263,,750491370.0,73.370002746582,World Bank API,2026-07-13 06:56:42 UTC
AFE,Africa Eastern and Southern,2024,1628.22728900442,,,769280888.0,73.6999969482422,World Bank API,2026-07-13 06:56:42 UTC
AFW,Africa Western and Central,2020,2034.43793971923,3.3367600440979,9.93537998199463,473687685.0,60.25,World Bank API,2026-07-13 06:56:42 UTC
AFW,Africa Western and Central,2021,2116.9382941844,3.09692638090381,10.1902599334717,484978794.0,60.5099983215332,World Bank API,2026-07-13 06:56:42 UTC
AFW,Africa Western and Central,2022,2143.07209365676,2.89168744551701,,496366058.0,60.7799987792969,World Bank API,2026-07-13 06:56:42 UTC
AFW,Africa Western and Central,2023,1846.24681069313,3.21562023947166,,508318102.0,61.0299987792969,World Bank API,2026-07-13 06:56:42 UTC
AFW,Africa Western and Central,2024,1416.22841156776,,,520655398.0,61.1699981689453,World Bank API,2026-07-13 06:56:42 UTC
ALB,Albania,2020,6027.91350716348,3.32505011558533,61.5853024328899,2528480.0,,World Bank API,2026-07-13 06:56:42 UTC
ALB,Albania,2021,7242.45513146613,3.00555992126465,59.9698690125562,2489762.0,,World Bank API,2026-07-13 06:56:42 UTC
ALB,Albania,2022,7756.96188744253,2.72977995872498,62.647921513098,2451636.0,,World Bank API,2026-07-13 06:56:42 UTC
ALB,Albania,2023,9740.7023414631,3.09153008460998,64.7293520237257,2411658.0,97.6800003051758,World Bank API,2026-07-13 06:56:42 UTC
ALB,Albania,2024,11374.0085781236,,84.1496200561523,2377128.0,,World Bank API,2026-07-13 06:56:42 UTC
DZA,Algeria,2020,3743.5419522929,6.19391724496515,53.3752192208988,44042091.0,,World Bank API,2026-07-13 06:56:42 UTC
DZA,Algeria,2021,4160.55926736925,5.51403281769924,54.2222597146723,44761099.0,,World Bank API,2026-07-13 06:56:42 UTC
DZA,Algeria,2022,4960.30334332888,4.74924673000603,53.3875786756,45477389.0,,World Bank API,2026-07-13 06:56:42 UTC
DZA,Algeria,2023,5370.477235078,5.61015717726636,55.5320185816789,46164219.0,,World Bank API,2026-07-13 06:56:42 UTC
DZA,Algeria,2024,5752.99076651465,8.97772026062012,54.4283410150344,46814308.0,,World Bank API,2026-07-13 06:56:42 UTC
ASM,American Samoa,2020,14489.2586563775,,,49761.0,,World Bank API,2026-07-13 06:56:42 UTC
ASM,American Samoa,2021,15236.1604875571,,,49225.0,,World Bank API,2026-07-13 06:56:42 UTC
ASM,American Samoa,2022,18017.4589383973,,,48342.0,,World Bank API,2026-07-13 06:56:42 UTC
ASM,American Samoa,2023,,,,47521.0,,World Bank API,2026-07-13 06:56:42 UTC
ASM,American Samoa,2024,,,,46765.0,,World Bank API,2026-07-13 06:56:42 UTC
AND,Andorra,2020,37361.090067211,2.63213046553066,15.2605749006777,77380.0,,World Bank API,2026-07-13 06:56:42 UTC
