University_Name,Match_Type,clean_name,University_Name_qs,Country,Region,Year,QS_Rank,National_Rank,QS_Overall_Score,Academic_Reputation,Employer_Reputation,Faculty_Student_Ratio,Citations_Per_Faculty,International_Faculty_Ratio,International_Students_Ratio,International_Research_Network,Employment_Outcomes,Sustainability,Std_Country,Std_University_Name,University_Name_the,Country_the,Year_the,THE_Rank,Teaching_Score,Research_Score,Citation_Score,International_Outlook,Industry_Income,Total_Score,Std_Country_the,Std_University_Name_the,Base_Match_Score,University_Name_cwur,Country_cwur,Year_cwur,CWUR_Rank,Quality_of_Education,Alumni_Employment,Publications,Influence,Patents,Std_Country_cwur,Std_University_Name_cwur,Base_Match_Score_cwur,University_Name_the2023,Country_the2023,Year_the2023,THE2023_Rank,Total_Students,Faculty_Student_Ratio_2023,Faculty_Count,International_Student_Ratio_2023,International_Students_Count,Gender_Ratio,Female_Percentage,Male_Percentage,Teaching_Score_2023,Research_Score_2023,Citations_Score_2023,Industry_Income_Score_2023,International_Outlook_Score_2023,Overall_Score_2023,Std_Country_the2023,Std_University_Name_the2023,Base_Match_Score_the2023,Research_Excellence_Index,Innovation_Index,Student_Experience_Index,Global_Reputation_Index,Research_Productivity_Score,Internationalization_Score
aalborg university,Exact,aalborg university,Aalborg University,Denmark,Europe,2026.0,306.0,5.0,44.9,26.4,25.0,27.7,77.2,89.0,29.4,91.7,25.4,79.1,Denmark,Aalborg University,Aalborg University,Denmark,2016.0,201.0,25.1,28.4,73.8,71.0,43.7,,Denmark,Aalborg University,100.0,Aalborg University,Denmark,2015.0,565.0,367.0,439.0,596.0,660.0,401.0,Denmark,Aalborg University,100.0,Aalborg University,Denmark,2023.0,251.0,16818.0,14.7,1144.0816326530612,14.0,2355.0,,,,29.5,43.3,73.2,51.5,76.4,,Denmark,Aalborg University,100.0,218.7,1061.0,41.59,25.839999999999996,669.8,63.13333333333333
aalto university,Exact,aalto university,Aalto University,Finland,Europe,2026.0,114.0,1.0,66.3,57.5,56.1,35.1,79.6,97.2,60.0,80.9,97.1,88.3,Finland,Aalto University,Aalto University,Finland,2016.0,251.0,31.1,32.8,62.1,65.4,61.6,,Finland,Aalto University,100.0,Aalto University,Finland,2015.0,421.0,367.0,224.0,336.0,403.0,246.0,Finland,Aalto University,100.0,Aalto University,Finland,2023.0,201.0,13306.0,19.7,675.4314720812183,21.0,2794.0,38 : 62,38.0,62.0,38.3,40.4,67.5,53.2,81.9,,Finland,Aalto University,100.0,139.25,649.0,45.71,56.94,398.1,74.2
aarhus university,Exact,aarhus university,Aarhus University,Denmark,Europe,2026.0,131.0,3.0,64.3,68.3,41.7,42.4,74.1,96.7,25.5,96.3,79.4,73.2,Denmark,Aarhus University,Aarhus University,Denmark,2016.0,106.0,36.9,50.7,79.8,76.8,68.3,57.7,Denmark,Aarhus University,100.0,Aarhus University,Denmark,2015.0,122.0,310.0,165.0,91.0,81.0,154.0,Denmark,Aarhus University,100.0,Aarhus University,Denmark,2023.0,117.0,26475.0,13.5,1961.111111111111,10.0,2648.0,55 : 45,55.0,45.0,40.6,60.0,77.6,74.1,77.9,61.2,Denmark,Aarhus University,100.0,70.52,235.0,45.19,57.66,170.8,66.33333333333333
aberystwyth university,Exact,aberystwyth university,Aberystwyth University,United Kingdom,Europe,2026.0,741.0,63.0,,12.8,11.5,27.6,23.9,61.3,42.0,63.3,11.0,63.1,United Kingdom,Aberystwyth University,Aberystwyth University,United Kingdom,2016.0,301.0,21.6,18.9,67.2,72.2,31.3,,United Kingdom,Aberystwyth University,100.0,Aberystwyth University,United Kingdom,2015.0,814.0,367.0,567.0,842.0,552.0,607.0,United Kingdom,Aberystwyth University,100.0,Aberystwyth University,United Kingdom,2023.0,501.0,6180.0,16.3,379.1411042944785,24.0,1483.0,52 : 48,52.0,48.0,22.3,23.4,64.1,39.8,81.1,,United Kingdom,Aberystwyth University,100.0,251.32,1159.0,41.23,12.280000000000001,909.2,58.5
aixmarseille university,Exact,aixmarseille university,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,30.0,0.0,0.0,0.0
ajou university,Exact,ajou university,Ajou University,South Korea,Asia,2026.0,563.0,17.0,29.4,19.8,22.1,70.2,34.3,13.3,58.0,18.1,5.3,53.3,South Korea,Ajou University,Ajou University,South Korea,2016.0,601.0,19.5,11.9,23.9,20.0,45.7,,South Korea,Ajou University,100.0,Ajou University,South Korea,2015.0,433.0,367.0,426.0,646.0,729.0,89.0,South Korea,Ajou University,100.0,Ajou University,South Korea,2023.0,601.0,7574.0,14.2,533.3802816901409,17.0,1288.0,42 : 58,42.0,58.0,31.1,37.5,41.7,74.3,44.4,,South Korea,Ajou University,100.0,214.03000000000003,818.0,43.28,20.720000000000002,669.9,30.433333333333334
alexandria university,Exact,alexandria university,Alexandria University,Egypt,Africa,2026.0,781.0,4.0,,32.7,24.2,7.2,3.5,1.9,13.6,80.7,33.0,56.6,Egypt,Alexandria University,Alexandria University,Egypt,2016.0,601.0,20.3,8.2,14.1,33.7,29.7,,Egypt,Alexandria University,100.0,Alexandria University,Egypt,2015.0,997.0,236.0,566.0,997.0,908.0,871.0,Egypt,Alexandria University,100.0,Alexandria University,Egypt,2023.0,801.0,202206.0,28.2,7170.425531914894,4.0,8088.0,52 : 48,52.0,48.0,18.6,13.7,56.2,40.7,46.1,,Egypt,Alexandria University,100.0,297.71000000000004,1779.0,30.18,29.3,1011.1,16.400000000000002
amirkabir university of technology,Exact,amirkabir university of technology,Amirkabir University of Technology,Iran (Islamic Republic of),Asia,2026.0,456.0,3.0,34.1,8.5,26.7,7.4,100.0,41.7,5.7,67.2,5.4,35.5,Iran (Islamic Republic of),Amirkabir University of Technology,Amirkabir University of Technology,Iran,2016.0,501.0,24.5,25.7,34.8,7.7,55.7,,Iran,Amirkabir University of Technology,100.0,Amirkabir University of Technology,Iran,2015.0,958.0,367.0,567.0,725.0,962.0,871.0,Iran,Amirkabir University of Technology,100.0,Amirkabir University of Technology,Iran,2023.0,601.0,10673.0,21.2,503.44339622641513,2.0,213.0,35 : 65,35.0,65.0,30.1,31.9,54.9,64.9,31.7,,Iran,Amirkabir University of Technology,100.0,261.92,1833.0,36.28,15.78,759.8,18.36666666666667
aristotle university of thessaloniki,Exact,aristotle university of thessaloniki,Aristotle University of Thessaloniki,Greece,Europe,2026.0,485.0,3.0,32.9,38.2,35.9,6.4,28.4,2.1,8.1,90.9,48.3,66.4,Greece,Aristotle University of Thessaloniki,Aristotle University of Thessaloniki,Greece,2016.0,601.0,22.6,15.0,29.5,36.6,33.6,,Greece,Aristotle University of Thessaloniki,100.0,Aristotle University of Thessaloniki,Greece,2015.0,459.0,367.0,567.0,340.0,683.0,756.0,Greece,Aristotle University of Thessaloniki,100.0,Aristotle University of Thessaloniki,Greece,2023.0,801.0,49840.0,19.7,2529.9492385786803,5.0,2492.0,58 : 42,58.0,42.0,19.0,16.2,56.9,41.4,40.4,,Greece,Aristotle University of Thessaloniki,100.0,151.14999999999998,1439.0,33.19,37.28,369.5,15.6
arizona state university,Exact,arizona state university,Arizona State University,United States,Americas,2026.0,173.0,36.0,59.1,63.9,63.3,9.5,61.5,72.5,53.2,95.2,42.2,85.8,United States,Arizona State University,Arizona State University,United States,2016.0,189.0,32.4,38.1,84.6,31.9,32.0,49.7,United States,Arizona State University,100.0,Arizona State University,United States,2015.0,97.0,367.0,455.0,143.0,85.0,21.0,United States,Arizona State University,100.0,,,,,,,,,,,,,,,,,,,,,,77.72,106.0,30.0,63.66,227.6,52.53333333333333
