QS_Name,THE_Name,CWUR_Name,THE_Score,CWUR_Score
indian institute of technology madras iitm,indian institute of technology madras,indian institute of technology madras,93.67088607594935,100.0
universität bayreuth,bayreuth university,university of bayreuth,92.3076923076923,92.6829268292683
university of hawaii at mañoa,university of hawaii at mānoa,university of hawaii at manoa,93.10344827586206,96.55172413793105
the hong kong university of science and technology,hong kong university of science and technology,hong kong university of science and technology,95.83333333333334,100.0
université catholique de louvain ucl,université catholique de louvain,université catholique de louvain,94.11764705882352,100.0
the chinese university of hong kong,chinese university of hong kong,chinese university of hong kong,93.93939393939394,100.0
rovira i virgili university,university of rovira i virgili,rovira i virgili university,94.73684210526316,94.73684210526316
university of texas el paso,university of texas at el paso,university of texas at el paso,94.73684210526316,100.0
indian institute of technology bombay iitb,indian institute of technology bombay,indian institute of technology bombay,93.67088607594935,100.0
the university of newcastle,university of newcastle,university of newcastle,92.0,100.0
the university of melbourne,university of melbourne,university of melbourne,92.0,100.0
université libre de bruxelles ulb,université libre de bruxelles,université libre de bruxelles,93.5483870967742,100.0
ucl university college london,university college london,university college london,92.5925925925926,100.0
the university of queensland,the university of queensland,university of queensland,100.0,92.3076923076923
catania university,university of catania,university of catania,92.3076923076923,100.0
the university of amsterdam,university of amsterdam,university of amsterdam,92.0,100.0
universitat pompeu fabra,pompeu fabra university,pompeu fabra university,93.61702127659576,100.0
university of petra,university of pretoria,university of pretoria,92.6829268292683,100.0
american university of beirut aub,american university of beirut,american university of beirut,93.5483870967742,100.0
university of plymouth,plymouth university,plymouth university,92.6829268292683,100.0
université claude bernard lyon 1,claude bernard university lyon 1,claude bernard university lyon 1,96.875,100.0
gwangju institute of science and technology gist,gwangju institute of science and technology,gwangju institute of science and technology,94.5054945054945,100.0
hanoi university of science and technology,iran university of science and technology,iran university of science and technology,93.97590361445783,100.0
university of california san diego ucsd,university of california san diego,university of california san diego,93.15068493150685,100.0
university complutense madrid,complutense university of madrid,complutense university of madrid,95.08196721311477,100.0
university of north carolina chapel hill,university of north carolina at chapel hill,university of north carolina at chapel hill,96.3855421686747,100.0
the university of new south wales,university of new south wales,university of new south wales,93.5483870967742,100.0
babesbolyai university,babeşbolyai university,babeșbolyai university,95.45454545454544,95.45454545454544
city st georges university of london,st georges university of london,st georges university of london,92.53731343283582,100.0
adelaide university,university of adelaide,university of adelaide,92.6829268292683,100.0
jordan university of science technology,jordan university of science and technology,iran university of science and technology,95.1219512195122,95.23809523809524
rochester institute of technology rit,rochester institute of technology,rochester institute of technology,94.28571428571428,100.0
national cheng kung university ncku,national cheng kung university,national cheng kung university,92.3076923076923,100.0
the university of nottingham,university of nottingham,university of nottingham,92.3076923076923,100.0
university of tulsa,university of tulsa,university of ulsan,100.0,94.73684210526316
