university_id,2024 RANK,2023 RANK,University,Country Code,Country,SIZE,FOCUS,RES.,AGE,STATUS,Academic Reputation Score,Academic Reputation Rank,Employer Reputation Score,Employer Reputation Rank,Faculty Student Score,Faculty Student Rank,Citations per Faculty Score,Citations per Faculty Rank,International Faculty Score,International Faculty Rank,International Students Score,International Students Rank,International Research Network Score,International Research Network Rank,Employment Outcomes Score,Employment Outcomes Rank,Sustainability Score,Sustainability Rank,Student Population,International Students,Female to Male Ratio,Overall Score,Teaching,Research Environment,Research Quality,Industry Impact,International Outlook,Year,Quality of Education,Alumni Employment,Quality of Faculty,Quality_Publications,Influence,Citations_Count,Latitude,Longitude,type,universities_ranked_count_x,best_university_rank,Country_Avg_Overall_Score,Country_Avg_Academic_Reputation,Country_Avg_Rank,Country_Avg_Citations,female_percentage,male_percentage,Subject_Field,Citation_Score,Research_Output_Score,Enrollment,Undergrad_Students,Postgrad_Students,International_Students (%),Tuition_Fee_USD,Acceptance_Rate (%),Graduation_Rate (%),Employability_Rank,QS_Subject_Rank,QS_Rank,THE_Rank,ARWU_Rank,City,Region,Faculty_Count,Student_Faculty_Ratio,Country_Avg_International_Ratio,Research_Impact_Score,Employability_Score,Internationalization_Score,Research_Productivity_Index,Citation_Total_Score,Academic_Excellence_Score,University_Performance_Index,H_Index,Publication_Count,universities_ranked_count_y
U0001,2,2,University of Cambridge,UK,United Kingdom,L,FC,VH,5,A,100,3,100,4,100,14,92.3,68,100,64,95.8,85,99.9,7,100,6,97.3,33,20565,38%,48:52:00,97.482,95.8,100,98,87.9,97.4,2024,5,19,6,8,6,19,54.7023545,-3.2765753,Public,69,1,50.81734058,25.96666667,455.4347826,388.05,48,52,"Business & Management,General Engineering,Art, Performing Arts & Design,Chemical Engineering,Archaeology,Education,Chemistry,Architecture,Other Health,Veterinary Science,Sociology,Medicine & Dentistry,Mechanical & Aerospace Engineering,Psychology,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Geography,Accounting & Finance,Biological Sciences,Computer Science,Politics & International Studies (incl Development Studies),Economics & Econometrics,Law,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Civil Engineering,Physics & Astronomy,Mathematics & Statistics",94,100,21045,16620,4425,38,48000,38,97,5,5,6,6,4,Cambridge,Europe,5800,4,1.869565217,98.8,100,97.9,0.002068966,0.129585415,9.5,0.628314005,289,8802,126
U0002,3,4,University of Oxford,UK,United Kingdom,L,FC,VH,5,A,100,2,100,5,100,8,90.6,73,98.2,110,98.2,60,100,1,100,3,97.8,26,21750,42%,49:51:00,98.4575,96.6,100,99,98.7,97.5,2024,9,25,10,5,7,4,54.7023545,-3.2765753,Public,69,1,50.81734058,25.96666667,455.4347826,388.05,49,51,"Accounting & Finance,General Engineering,Communication & Media Studies,Biological Sciences,Art, Performing Arts & Design,Other Health,Mathematics & Statistics,Education,Civil Engineering,Medicine & Dentistry,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Electrical & Electronic Engineering,Physics & Astronomy,Economics & Econometrics,Law,Sociology,Business & Management,Mechanical & Aerospace Engineering,Geography,History, Philosophy & Theology,Computer Science,Chemistry,Chemical Engineering,Psychology,Archaeology,Geology, Environmental, Earth & Marine Sciences",95.1,100,22005,13259,8746,43,45000,43,96,3,2,4,4,6,Oxford,Europe,6708,3,1.869565217,99.4,100,98.2,0.001341682,0.119095904,14.1,0.632435529,332,6193,126
U0003,4,5,Harvard University,US,United States,L,FC,VH,5,B,100,1,100,1,98.3,44,100,1,84.6,210,66.8,223,100,5,100,1,96.7,39,20050,25%,51:49:00,97.7905,97.7,99.9,99.4,84.2,90.8,2024,2,1,1,1,1,1,39.7837304,-100.445882,Private,98,2,56.8432449,31.06530612,362.2653061,265.6666667,51,49,"Mathematics & Statistics,Civil Engineering,Languages, Literature & Linguistics,Art, Performing Arts & Design,Business & Management,General Engineering,Geography,Archaeology,Geology, Environmental, Earth & Marine Sciences,Computer Science,Chemistry,Sociology,Mechanical & Aerospace Engineering,Accounting & Finance,Other Health,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Agriculture & Forestry,Psychology,Economics & Econometrics,Communication & Media Studies,Biological Sciences,Architecture,Medicine & Dentistry,Law,Physics & Astronomy,Education,History, Philosophy & Theology",98.8,100,22680,14425,8255,25,57261,27,97,4,4,5,5,1,Cambridge,North America,4646,5,0.5,99.6,100,75.7,0.000215239,0.08031968,1.4,0.617635237,348,10692,192
U0004,5,3,Stanford University,US,United States,L,FC,VH,5,B,100,5,100,3,100,11,99.9,8,99.9,78,51.2,284,95.8,44,100,2,94.4,63,14517,23%,47:53:00,97.972,99,97.8,99.6,100,87,2024,10,3,2,4,3,2,39.7837304,-100.445882,Private,98,2,56.8432449,31.06530612,362.2653061,265.6666667,47,53,"Physics & Astronomy,Computer Science,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Geology, Environmental, Earth & Marine Sciences,Agriculture & Forestry,Medicine & Dentistry,Education,Communication & Media Studies,Chemistry,Mechanical & Aerospace Engineering,Languages, Literature & Linguistics,History, Philosophy & Theology,Psychology,Mathematics & Statistics,Biological Sciences,Sociology,Law,Accounting & Finance,Business & Management,Archaeology,General Engineering,Civil Engineering,Chemical Engineering,Other Health,Economics & Econometrics,Electrical & Electronic Engineering,Veterinary Science",99.2,100,17422,13458,3964,23,61731,25,94,2,3,3,3,2,Stanford,North America,4725,3,0.5,98.88,100,75.55,0.002116402,0.081018981,5.5,0.61751176,271,5796,192
U0005,6,6,Imperial College London,UK,United Kingdom,L,FC,VH,5,A,98.3,23,99.4,12,98.5,42,94,58,100,61,100,14,96.7,35,83,45,94.4,61,20275,61%,42:58:00,95.099,90.9,95.5,98.6,90.9,98.3,2024,93,103,43,18,25,29,54.7023545,-3.2765753,Public,69,1,50.81734058,25.96666667,455.4347826,388.05,42,58,"Mechanical & Aerospace Engineering,General Engineering,Mathematics & Statistics,Medicine & Dentistry,Chemical Engineering,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,Computer Science,Chemistry,Civil Engineering,Other Health,Electrical & Electronic Engineering,Biological Sciences",88.3,100,21340,15589,5751,60,42000,60,92,7,6,2,2,23,London,Europe,8000,5,1.869565217,97.36,91.2,100,0.002625,0.136578422,81,0.632511231,368,6585,126
U0006,9,8,UCL,UK,United Kingdom,XL,FC,VH,5,A,99.5,13,97.9,22,98.4,43,74.3,131,99.1,96,100,15,100,2,51.6,126,92.5,74,41110,61%,59:41:00,88.1145,78.4,86.4,98.6,75.2,97.9,2024,,,,,,,,,Public,69,1,50.81734058,25.96666667,455.4347826,388.05,59,41,"Archaeology,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Civil Engineering,Physics & Astronomy,Education,Psychology,Computer Science,Mathematics & Statistics,Architecture,Chemistry,Medicine & Dentistry,General Engineering,Economics & Econometrics,Law,Geography,Business & Management,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Languages, Literature & Linguistics,Biological Sciences,Communication & Media Studies,Other Health,Electrical & Electronic Engineering,Sociology",80.6,100,47520,30671,16849,53,35000,63,91,12,9,9,9,15,London,Europe,7195,5,1.869565217,93.72,74.75,99.55,6.27,0.116298701,0,0.570011609,610,49052,126
U0007,12,13,University of Pennsylvania,US,United States,L,FC,VH,5,B,96.4,29,89.1,52,99.9,24,68.4,153,96,140,70.3,208,83.3,129,100,5,99.9,3,21312,22%,54:46:00,90.9825,87.7,89.7,97.6,97.7,78.8,2024,31,9,30,11,17,13,39.7837304,-100.445882,Private,98,2,56.8432449,31.06530612,362.2653061,265.6666667,54,46,"Economics & Econometrics,Archaeology,Medicine & Dentistry,Geography,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Law,Veterinary Science,Sociology,Biological Sciences,Psychology,Civil Engineering,Computer Science,Sport Science,Languages, Literature & Linguistics,Mathematics & Statistics,Communication & Media Studies,Agriculture & Forestry,Other Health,Business & Management,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Chemistry,Electrical & Electronic Engineering,Art, Performing Arts & Design,Chemical Engineering,Education,Architecture,Physics & Astronomy,General Engineering,History, Philosophy & Theology",93.6,100,22422,13202,9220,24,63452,26,96,6,16,13,15,14,Philadelphia,North America,5154,4,0.5,94.44,94.55,83.15,0.003104385,0.088711289,24.1,0.582474176,274,9258,192
U0008,13,20,Cornell University,US,United States,L,FC,VH,5,B,98.1,26,90.5,47,52.9,297,99.1,18,68.7,283,64,234,79.9,144,98,18,94.7,58,23620,24%,51:49:00,89.5105,85.7,88.7,97.6,69.4,86,2024,14,28,19,24,15,40,39.7837304,-100.445882,Private,98,2,56.8432449,31.06530612,362.2653061,265.6666667,51,49,"Other Health,Biological Sciences,Psychology,Economics & Econometrics,Mathematics & Statistics,Languages, Literature & Linguistics,Electrical & Electronic Engineering,History, Philosophy & Theology,Sociology,Physics & Astronomy,Computer Science,Chemistry,Archaeology,Veterinary Science,Politics & International Studies (incl Development Studies),General Engineering,Chemical Engineering,Law,Architecture,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Mechanical & Aerospace Engineering,Art, Performing Arts & Design,Agriculture & Forestry,Business & Management,Communication & Media Studies",88.1,100,25673,17840,7833,24,62456,26,95,16,15,16,16,12,Ithaca,North America,2843,8,0.5,94.04,94.25,66.35,0.010903975,0.107592408,19.7,0.578990167,222,7973,192
U0009,16,18,Yale University,US,United States,M,FC,VH,5,B,99.9,9,99.9,7,100,3,45.8,293,89.8,184,78.8,169,85.8,112,99.9,9,99.2,13,11924,21%,51:49:00,94.201,94,94.9,97.7,86.5,82.4,2024,11,34,12,19,11,31,39.7837304,-100.445882,Private,98,2,56.8432449,31.06530612,362.2653061,265.6666667,51,49,"Economics & Econometrics,Medicine & Dentistry,Mathematics & Statistics,Politics & International Studies (incl Development Studies),Other Health,Accounting & Finance,Architecture,Law,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Agriculture & Forestry,History, Philosophy & Theology,General Engineering,Electrical & Electronic Engineering,Chemistry,Physics & Astronomy,Archaeology,Biological Sciences,Computer Science,Psychology,Business & Management,Chemical Engineering,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Sociology",91.5,100,14884,10482,4402,22,62250,24,97,8,14,21,21,11,New Haven,North America,5391,2,0.5,96.58,99.9,84.3,0.006863291,0.101298701,18.2,0.603510945,406,8555,192
U0010,17,12,Peking University,CN,China (Mainland),XL,FC,VH,5,A,99.4,14,95.4,37,90.4,85,97.5,38,50.8,354,23.5,492,43.2,353,82.6,46,68.8,212,33064,14%,,91.796,95.6,97.3,87.2,98.8,70.2,2024,340,67,304,38,88,167,30.047992,-94.3357433,Public,35,12,56.53822857,28.66857143,328.4,574.8823529,46.01376978,53.98623022,"Other Health,Physics & Astronomy,Business & Management,Psychology,Education,Biological Sciences,Medicine & Dentistry,Communication & Media Studies,Art, Performing Arts & Design,General Engineering,Chemistry,Languages, Literature & Linguistics,Mathematics & Statistics,Computer Science,Sociology,Archaeology,Accounting & Finance,Law,Geography,Economics & Econometrics,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences",72.2,100,35659,21886,13773,15,5000,15,94,13,12,15,14,24,Beijing,Asia,5302,6,-0.257142857,91.24,89,37.15,0.004337986,0.28907563,247.3,0.677973949,356,18348,72
