university_id,2024 RANK,University,Country Code,Country,SIZE,FOCUS,AGE,STATUS,Academic Reputation Score,Employer Reputation Score,Faculty Student Score,Faculty Student Rank,Citations per Faculty Score,Citations per Faculty Rank,International Research Network Score,Employment Outcomes Score,Employment Outcomes Rank,Student Population,International Students,Overall Score,Teaching,Research Environment,Research Quality,Industry Impact,International Outlook,Year,Citations_Count,universities_ranked_count_x,best_university_rank,Country_Avg_Overall_Score,Country_Avg_Academic_Reputation,Country_Avg_Rank,female_percentage,male_percentage,Citation_Score,Research_Output_Score,Enrollment,Undergrad_Students,Postgrad_Students,International_Students (%),Tuition_Fee_USD,Acceptance_Rate (%),Graduation_Rate (%),Employability_Rank,QS_Subject_Rank,QS_Rank,THE_Rank,ARWU_Rank,Region,Faculty_Count,Student_Faculty_Ratio,Country_Avg_International_Ratio,Research_Impact_Score,Employability_Score,Internationalization_Score,Research_Productivity_Index,Citation_Total_Score,Academic_Excellence_Score,University_Performance_Index,H_Index,Publication_Count,clean_name
U0005,6,Imperial College London,UK,United Kingdom,L,FC,5,A,98.3,99.4,98.5,42.0,94.0,58.0,96.7,83.0,45.0,20275,61%,95.099,90.9,95.5,98.6,90.9,98.3,2024,29.0,69,1,50.81734058,25.96666667,455.4347826,42.0,58.0,88.3,100.0,21340,15589,5751.0,60.0,42000.0,60.0,92.0,7.0,6,2,2.0,23.0,Europe,8000.0,5.0,1.869565217,97.36,91.2,100.0,0.002625,0.136578422,81.0,0.632511231,368.0,6585.0,imperial college london
U0004,5,Stanford University,US,United States,L,FC,5,B,100.0,100.0,100.0,11.0,99.9,8.0,95.8,100.0,2.0,14517,23%,97.972,99.0,97.8,99.6,100.0,87.0,2024,2.0,98,2,56.8432449,31.06530612,362.2653061,47.0,53.0,99.2,100.0,17422,13458,3964.0,23.0,61731.0,25.0,94.0,2.0,3,3,3.0,2.0,North America,4725.0,3.0,0.5,98.88,100.0,75.55,0.002116402,0.081018981,5.5,0.61751176,271.0,5796.0,stanford university
U0002,3,University of Oxford,UK,United Kingdom,L,FC,5,A,100.0,100.0,100.0,8.0,90.6,73.0,100.0,100.0,3.0,21750,42%,98.4575,96.6,100.0,99.0,98.7,97.5,2024,4.0,69,1,50.81734058,25.96666667,455.4347826,49.0,51.0,95.1,100.0,22005,13259,8746.0,43.0,45000.0,43.0,96.0,3.0,2,4,4.0,6.0,Europe,6708.0,3.0,1.869565217,99.4,100.0,98.2,0.001341682,0.119095904,14.1,0.632435529,332.0,6193.0,university of oxford
U0003,4,Harvard University,US,United States,L,FC,5,B,100.0,100.0,98.3,44.0,100.0,1.0,100.0,100.0,1.0,20050,25%,97.7905,97.7,99.9,99.4,84.2,90.8,2024,1.0,98,2,56.8432449,31.06530612,362.2653061,51.0,49.0,98.8,100.0,22680,14425,8255.0,25.0,57261.0,27.0,97.0,4.0,4,5,5.0,1.0,North America,4646.0,5.0,0.5,99.6,100.0,75.7,0.000215239,0.08031968,1.4,0.617635237,348.0,10692.0,harvard university
U0001,2,University of Cambridge,UK,United Kingdom,L,FC,5,A,100.0,100.0,100.0,14.0,92.3,68.0,99.9,100.0,6.0,20565,38%,97.482,95.8,100.0,98.0,87.9,97.4,2024,19.0,69,1,50.81734058,25.96666667,455.4347826,48.0,52.0,94.0,100.0,21045,16620,4425.0,38.0,48000.0,38.0,97.0,5.0,5,6,6.0,4.0,Europe,5800.0,4.0,1.869565217,98.8,100.0,97.9,0.002068966,0.129585415,9.5,0.628314005,289.0,8802.0,university of cambridge
U0006,9,UCL,UK,United Kingdom,XL,FC,5,A,99.5,97.9,98.4,43.0,74.3,131.0,100.0,51.6,126.0,41110,61%,88.1145,78.4,86.4,98.6,75.2,97.9,2024,304.0,69,1,50.81734058,25.96666667,455.4347826,59.0,41.0,80.6,100.0,47520,30671,16849.0,53.0,35000.0,63.0,91.0,12.0,9,9,9.0,15.0,Europe,7195.0,5.0,1.869565217,93.72,74.75,99.55,6.27,0.116298701,0.0,0.570011609,610.0,49052.0,ucl
U0007,12,University of Pennsylvania,US,United States,L,FC,5,B,96.4,89.1,99.9,24.0,68.4,153.0,83.3,100.0,5.0,21312,22%,90.9825,87.7,89.7,97.6,97.7,78.8,2024,13.0,98,2,56.8432449,31.06530612,362.2653061,54.0,46.0,93.6,100.0,22422,13202,9220.0,24.0,63452.0,26.0,96.0,6.0,16,13,15.0,14.0,North America,5154.0,4.0,0.5,94.44,94.55,83.15,0.003104385,0.088711289,24.1,0.582474176,274.0,9258.0,university of pennsylvania
U0015,25,Tsinghua University,CN,China (Mainland),XL,FC,4,A,99.1,96.9,93.9,67.0,98.9,22.0,47.8,82.2,47.0,38518,10%,92.396,95.3,98.1,93.2,99.9,51.7,2024,108.0,35,12,56.53822857,28.66857143,328.4,39.52176949,60.47823051,52.7,100.0,38569,27000,11569.0,9.0,5000.0,11.0,95.0,11.0,11,14,17.0,18.0,Asia,6174.0,6.0,-0.257142857,95.16,89.55,12.55,0.00356333,0.247816889,358.3,0.70624261,830.0,22723.0,tsinghua university
U0010,17,Peking University,CN,China (Mainland),XL,FC,5,A,99.4,95.4,90.4,85.0,97.5,38.0,43.2,82.6,46.0,33064,14%,91.796,95.6,97.3,87.2,98.8,70.2,2024,167.0,35,12,56.53822857,28.66857143,328.4,46.01376978,53.98623022,72.2,100.0,35659,21886,13773.0,15.0,5000.0,15.0,94.0,13.0,12,15,14.0,24.0,Asia,5302.0,6.0,-0.257142857,91.24,89.0,37.15,0.004337986,0.28907563,247.3,0.677973949,356.0,18348.0,peking university
U0008,13,Cornell University,US,United States,L,FC,5,B,98.1,90.5,52.9,297.0,99.1,18.0,79.9,98.0,18.0,23620,24%,89.5105,85.7,88.7,97.6,69.4,86.0,2024,40.0,98,2,56.8432449,31.06530612,362.2653061,51.0,49.0,88.1,100.0,25673,17840,7833.0,24.0,62456.0,26.0,95.0,16.0,15,16,16.0,12.0,North America,2843.0,8.0,0.5,94.04,94.25,66.35,0.010903975,0.107592408,19.7,0.578990167,222.0,7973.0,cornell university
