university_id,university_name,year,world_rank,national_rank,overall_score,country,region,city,university_type,academic_reputation_score,employer_reputation_score,citations_score,publications_count,citations_count,citations_per_faculty,h_index,research_output_score,research_productivity_index,subject_field,total_students,international_students_count,international_student_ratio,faculty_count,faculty_to_student_ratio,gender_ratio,female_percentage,male_percentage,degree_level,undergraduate_count,postgraduate_count,country_avg_rank,universities_ranked_count,best_university_rank,country_avg_overall_score,country_avg_academic_reputation,country_avg_citations,country_avg_international_ratio
1,University of Cambridge,2024,2,1.0,99.2,United Kingdom,Europe,Cambridge,Public,100.0,100.0,92.3,8802.0,19.0,92.3,289,12.0,0.0032758620689655,Natural Sciences,20565.0,38%,38.0,5800.0,11.5,50:50,50.0,50.0,Undergraduate & Postgraduate,12940.0,8040.0,614.48,69,1.0,50.81734057971014,35.82,38.92,35.29
2,University of Oxford,2024,3,2.0,98.9,United Kingdom,Europe,Oxford,Public,100.0,100.0,90.6,6193.0,4.0,90.6,332,9.0,0.0005963029218843,Life Sciences & Medicine,21750.0,42%,43.0,6708.0,10.9,52:48,52.0,48.0,Undergraduate & Postgraduate,12510.0,9585.0,614.48,69,1.0,50.81734057971014,35.82,38.92,35.29
3,Harvard University,2024,4,1.0,98.3,United States,North America,Cambridge,Private,100.0,100.0,100.0,10692.0,1.0,100.0,348,1.0,0.0002152389151958,Life Sciences & Medicine,20050.0,25%,25.0,4646.0,9.0,53:47,53.0,47.0,Undergraduate & Postgraduate,7153.0,15431.0,647.61,98,2.0,56.84324489795918,29.74,38.11,19.26
4,Stanford University,2024,5,2.0,98.1,United States,North America,Stanford,Private,100.0,100.0,99.9,5796.0,2.0,99.9,271,10.0,0.0004232804232804,Social Sciences & Management,14517.0,23%,23.0,4725.0,6.4,48:52,48.0,52.0,Undergraduate & Postgraduate,7087.0,9876.0,647.61,98,2.0,56.84324489795918,29.74,38.11,19.26
5,Imperial College London,2024,6,4.0,97.8,United Kingdom,Europe,London,Public,98.3,99.4,94.0,6585.0,29.0,94.0,368,21.0,0.003625,Engineering & Technology,20275.0,61%,60.0,8000.0,11.8,43:57,43.0,57.0,Undergraduate & Postgraduate,11000.0,10000.0,614.48,69,1.0,50.81734057971014,35.82,38.92,35.29
6,UCL,2024,9,4.0,92.4,United Kingdom,Europe,London,Public,99.5,97.9,74.3,49052.0,479719.0,74.3,610,90.4,6.27,Natural Sciences,41110.0,61%,53.0,7195.0,11.3,60:40,60.0,40.0,Undergraduate & Postgraduate,21000.0,25830.0,614.48,69,1.0,50.81734057971014,35.82,38.92,35.29
7,University of Pennsylvania,2024,12,10.0,89.4,United States,North America,Philadelphia,Private,96.4,89.1,68.4,9258.0,13.0,68.4,274,16.0,0.002522312766783,Engineering & Technology,21312.0,22%,24.0,5154.0,6.2,55:45,55.0,45.0,Undergraduate & Postgraduate,10500.0,12039.0,647.61,98,2.0,56.84324489795918,29.74,38.11,19.26
8,Cornell University,2024,13,11.0,89.3,United States,North America,Ithaca,Private,98.1,90.5,99.1,7973.0,40.0,99.1,222,31.0,0.0140696447414702,Social Sciences & Management,23620.0,24%,24.0,2843.0,10.0,53:47,53.0,47.0,Undergraduate & Postgraduate,15503.0,10395.0,647.61,98,2.0,56.84324489795918,29.74,38.11,19.26
9,Yale University,2024,16,9.0,87.7,United States,North America,New Haven,Private,99.9,99.9,45.8,8555.0,31.0,45.8,406,37.0,0.0057503246150992,Arts & Humanities,11924.0,21%,22.0,5391.0,5.2,53:47,53.0,47.0,Undergraduate & Postgraduate,6500.0,7901.0,647.61,98,2.0,56.84324489795918,29.74,38.11,19.26
10,Peking University,2024,=17,1.0,87.0,China (Mainland),Asia,Beijing,Public,99.4,95.4,97.5,18348.0,167.0,97.5,356,23.0,0.0314975480950584,Arts & Humanities,33064.0,14%,15.0,5302.0,10.9,46:54,46.01376978,53.98623022,Undergraduate & Postgraduate,15000.0,19981.0,616.32,35,12.0,56.53822857142857,21.88,70.61,14.17
