university_id,2024 RANK,2023 RANK,University,Country Code,Country_x,SIZE,FOCUS,RES.,AGE,STATUS,Academic Reputation Score,Academic Reputation Rank,Employer Reputation Score,Employer Reputation Rank,Faculty Student Score,Faculty Student Rank,Citations per Faculty Score,Citations per Faculty Rank,International Faculty Score,International Faculty Rank,International Students Score,International Students Rank,International Research Network Score,International Research Network Rank,Employment Outcomes Score,Employment Outcomes Rank,Sustainability Score,Sustainability Rank,Overall SCORE,Rank,Student Population,Students to Staff Ratio,International Students,Female to Male Ratio,Overall Score,Teaching,Research Environment,Research Quality,Industry Impact,International Outlook,Year,World Rank,Location,National_Rank_x,Quality of Education,Alumni Employment,Quality of Faculty,Research_Output_x,Quality_Publications,Influence,Citations_Count,Score,Latitude,Longitude,city_x,region_x,type_x,research_output_x,student_faculty_ratio_x,faculty_count_x,city_y,region_y,type_y,research_output_y,student_faculty_ratio_y,faculty_count_y,city,region,type,research_output,student_faculty_ratio,faculty_count,universities_ranked_count,best_university_rank,country_avg_overall_score,country_avg_academic_reputation,country_avg_rank,country_avg_citations,country_avg_international_ratio,research_productivity_index,female_percentage,male_percentage,subject_field,citations_score,research_output_score,Enrollment,Undergrad_Students,Postgrad_Students,Faculty_Count,Student_Faculty_Ratio,Research_Output,International_Students (%),Tuition_Fee_USD,Acceptance_Rate (%),Graduation_Rate (%),Employability_Rank,QS_Subject_Rank,QS_Rank,THE_Rank,ARWU_Rank
U0001,2,2,University of Cambridge,UK,United Kingdom,L,FC,VH,5,A,100.0,3,100.0,4,100.0,14,92.3,68,100.0,64,95.8,85,99.9,7,100.0,6,97.3,33=,99.2,5.0,20565.0,11.5,38%,48:52:00,97.482,95.8,100.0,98.0,87.9,97.4,2024,4.0,United Kingdom,1.0,5.0,19.0,6.0,12.0,8.0,6.0,19.0,94.0,54.7023545,-3.2765753,Cambridge,Europe,Public,Very high,4.0,"5,800",Cambridge,Europe,Public,Very high,4.0,"5,800",Cambridge,Europe,Public,Very high,4.0,"5,800",69,1.0,50.81734057971014,25.96666666666667,455.4347826086956,388.05,48.5,95.3,48.0,52.0,"Business & Management,General Engineering,Art, Performing Arts & Design,Chemical Engineering,Archaeology,Education,Chemistry,Architecture,Other Health,Veterinary Science,Sociology,Medicine & Dentistry,Mechanical & Aerospace Engineering,Psychology,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Geography,Accounting & Finance,Biological Sciences,Computer Science,Politics & International Studies (incl Development Studies),Economics & Econometrics,Law,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Civil Engineering,Physics & Astronomy,Mathematics & Statistics",94.0,100.0,20980.0,12940.0,8040.0,1824.0,11.5,Very High,38.0,48000.0,21.0,97.0,5.0,5.0,6.0,5.0,4.0
U0002,3,4,University of Oxford,UK,United Kingdom,L,FC,VH,5,A,100.0,2,100.0,5,100.0,8,90.6,73,98.2,110,98.2,60,100.0,1,100.0,3,97.8,26=,98.9,1.0,21750.0,10.9,42%,49:51:00,98.45749999999998,96.6,100.0,99.0,98.7,97.5,2024,5.0,United Kingdom,2.0,9.0,25.0,10.0,9.0,5.0,7.0,4.0,93.2,54.7023545,-3.2765753,Oxford,Europe,Public,Very High,3.0,"6,708",Oxford,Europe,Public,Very High,3.0,"6,708",Oxford,Europe,Public,Very High,3.0,"6,708",69,1.0,50.81734057971014,25.96666666666667,455.4347826086956,388.05,48.5,99.23333333333333,49.0,51.0,"Accounting & Finance,General Engineering,Communication & Media Studies,Biological Sciences,Art, Performing Arts & Design,Other Health,Mathematics & Statistics,Education,Civil Engineering,Medicine & Dentistry,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Electrical & Electronic Engineering,Physics & Astronomy,Economics & Econometrics,Law,Sociology,Business & Management,Mechanical & Aerospace Engineering,Geography,History, Philosophy & Theology,Computer Science,Chemistry,Chemical Engineering,Psychology,Archaeology,Geology, Environmental, Earth & Marine Sciences",95.1,100.0,22095.0,12510.0,9585.0,2045.0,10.8,Very High,43.0,45000.0,17.0,96.0,3.0,2.0,4.0,1.0,6.0
U0003,4,5,Harvard University,US,United States,L,FC,VH,5,B,100.0,1,100.0,1,98.3,44,100.0,1,84.6,210,66.8,223,100.0,5,100.0,1,96.7,39,98.3,4.0,20050.0,9.0,25%,51:49:00,97.7905,97.7,99.9,99.4,84.2,90.8,2024,1.0,USA,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,39.7837304,-100.445882,Cambridge,North America,Private,Very High,5.0,"4,646",Cambridge,North America,Private,Very High,5.0,"4,646",Cambridge,North America,Private,Very High,5.0,"4,646",98,2.0,56.84324489795918,31.06530612244898,362.265306122449,265.6666666666667,23.5,94.5,51.0,49.0,"Mathematics & Statistics,Civil Engineering,Languages, Literature & Linguistics,Art, Performing Arts & Design,Business & Management,General Engineering,Geography,Archaeology,Geology, Environmental, Earth & Marine Sciences,Computer Science,Chemistry,Sociology,Mechanical & Aerospace Engineering,Accounting & Finance,Other Health,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Agriculture & Forestry,Psychology,Economics & Econometrics,Communication & Media Studies,Biological Sciences,Architecture,Medicine & Dentistry,Law,Physics & Astronomy,Education,History, Philosophy & Theology",98.8,100.0,22584.0,7153.0,15431.0,2258.0,10.0,Very High,25.0,57261.0,3.0,97.0,4.0,4.0,5.0,3.0,1.0
U0004,5,3,Stanford University,US,United States,L,FC,VH,5,B,100.0,5,100.0,3,100.0,11,99.9,8,99.9,78,51.2,284,95.8,44,100.0,2,94.4,63,98.1,2.0,14517.0,6.4,23%,47:53:00,97.972,99.0,97.8,99.6,100.0,87.0,2024,2.0,USA,2.0,10.0,3.0,2.0,10.0,4.0,3.0,2.0,96.7,39.7837304,-100.445882,Stanford,North America,Private,Very High,3.0,"4,725",Stanford,North America,Private,Very High,3.0,"4,725",Stanford,North America,Private,Very High,3.0,"4,725",98,2.0,56.84324489795918,31.06530612244898,362.265306122449,265.6666666666667,23.5,99.13333333333333,47.0,53.0,"Physics & Astronomy,Computer Science,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Geology, Environmental, Earth & Marine Sciences,Agriculture & Forestry,Medicine & Dentistry,Education,Communication & Media Studies,Chemistry,Mechanical & Aerospace Engineering,Languages, Literature & Linguistics,History, Philosophy & Theology,Psychology,Mathematics & Statistics,Biological Sciences,Sociology,Law,Accounting & Finance,Business & Management,Archaeology,General Engineering,Civil Engineering,Chemical Engineering,Other Health,Economics & Econometrics,Electrical & Electronic Engineering,Veterinary Science",99.2,100.0,16963.0,7087.0,9876.0,2875.0,5.9,Very High,23.0,61731.0,4.0,94.0,2.0,3.0,3.0,6.0,2.0
U0005,6,6=,Imperial College London,UK,United Kingdom,L,FC,VH,5,A,98.3,23,99.4,12,98.5,42,94.0,58,100.0,61,100.0,14,96.7,35,83.0,45,94.4,61=,97.8,8.0,20275.0,11.8,61%,42:58:00,95.099,90.9,95.5,98.6,90.9,98.3,2024,30.0,United Kingdom,4.0,93.0,103.0,43.0,21.0,18.0,25.0,29.0,86.5,54.7023545,-3.2765753,London,Europe,Public,Very High,5.0,"8,000",London,Europe,Public,Very High,5.0,"8,000",London,Europe,Public,Very High,5.0,"8,000",69,1.0,50.81734057971014,25.96666666666667,455.4347826086956,388.05,48.5,95.0,42.0,58.0,"Mechanical & Aerospace Engineering,General Engineering,Mathematics & Statistics,Medicine & Dentistry,Chemical Engineering,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,Computer Science,Chemistry,Civil Engineering,Other Health,Electrical & Electronic Engineering,Biological Sciences",88.3,100.0,21000.0,11000.0,10000.0,1735.0,12.1,Very High,60.0,42000.0,14.0,92.0,7.0,6.0,2.0,9.0,23.0
U0006,9,8,UCL,UK,United Kingdom,XL,FC,VH,5,A,99.5,13,97.9,22,98.4,43,74.3,131,99.1,96,100.0,15,100.0,2,51.6,126,92.5,74,92.4,22.0,41110.0,11.3,61%,59:41:00,88.11449999999999,78.4,86.4,98.6,75.2,97.9,2024,-1.0,,-1.0,,,,,,,,,,,London,Europe,Public,Very High,5.0,"7,195",London,Europe,Public,Very High,5.0,"7,195",London,Europe,Public,Very High,5.0,"7,195",69,1.0,50.81734057971014,25.96666666666667,455.4347826086956,388.05,48.5,86.73333333333333,59.0,41.0,"Archaeology,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Civil Engineering,Physics & Astronomy,Education,Psychology,Computer Science,Mathematics & Statistics,Architecture,Chemistry,Medicine & Dentistry,General Engineering,Economics & Econometrics,Law,Geography,Business & Management,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Languages, Literature & Linguistics,Biological Sciences,Communication & Media Studies,Other Health,Electrical & Electronic Engineering,Sociology",80.6,100.0,46830.0,21000.0,25830.0,3800.0,12.3,Very High,53.0,35000.0,30.0,91.0,12.0,9.0,9.0,22.0,15.0
U0007,12,13,University of Pennsylvania,US,United States,L,FC,VH,5,B,96.4,29,89.1,52,99.9,24,68.4,153,96.0,140,70.3,208,83.3,129,100.0,5,99.9,3=,89.4,16.0,21312.0,6.2,22%,54:46:00,90.9825,87.7,89.7,97.6,97.7,78.8,2024,13.0,USA,10.0,31.0,9.0,30.0,16.0,11.0,17.0,13.0,89.7,39.7837304,-100.445882,Philadelphia,North America,Private,Very High,4.0,"5,154",Philadelphia,North America,Private,Very High,4.0,"5,154",Philadelphia,North America,Private,Very High,4.0,"5,154",98,2.0,56.84324489795918,31.06530612244898,362.265306122449,265.6666666666667,23.5,95.0,54.0,46.0,"Economics & Econometrics,Archaeology,Medicine & Dentistry,Geography,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Law,Veterinary Science,Sociology,Biological Sciences,Psychology,Civil Engineering,Computer Science,Sport Science,Languages, Literature & Linguistics,Mathematics & Statistics,Communication & Media Studies,Agriculture & Forestry,Other Health,Business & Management,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Chemistry,Electrical & Electronic Engineering,Art, Performing Arts & Design,Chemical Engineering,Education,Architecture,Physics & Astronomy,General Engineering,History, Philosophy & Theology",93.6,100.0,22539.0,10500.0,12039.0,3314.0,6.8,Very High,24.0,63452.0,6.0,96.0,6.0,16.0,13.0,14.0,14.0
U0008,13,20,Cornell University,US,United States,L,FC,VH,5,B,98.1,26,90.5,47,52.9,297,99.1,18,68.7,283,64.0,234,79.9,144,98.0,18,94.7,58=,89.3,20.0,23620.0,10.0,24%,51:49:00,89.5105,85.7,88.7,97.6,69.4,86.0,2024,14.0,USA,11.0,14.0,28.0,19.0,31.0,24.0,15.0,40.0,89.4,39.7837304,-100.445882,Ithaca,North America,Private,Very High,8.0,"2,843",Ithaca,North America,Private,Very High,8.0,"2,843",Ithaca,North America,Private,Very High,8.0,"2,843",98,2.0,56.84324489795918,31.06530612244898,362.265306122449,265.6666666666667,23.5,85.23333333333333,51.0,49.0,"Other Health,Biological Sciences,Psychology,Economics & Econometrics,Mathematics & Statistics,Languages, Literature & Linguistics,Electrical & Electronic Engineering,History, Philosophy & Theology,Sociology,Physics & Astronomy,Computer Science,Chemistry,Archaeology,Veterinary Science,Politics & International Studies (incl Development Studies),General Engineering,Chemical Engineering,Law,Architecture,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Mechanical & Aerospace Engineering,Art, Performing Arts & Design,Agriculture & Forestry,Business & Management,Communication & Media Studies",88.1,100.0,25898.0,15503.0,10395.0,2900.0,8.9,Very High,24.0,62456.0,7.0,95.0,16.0,15.0,16.0,20.0,12.0
U0009,16,18,Yale University,US,United States,M,FC,VH,5,B,99.9,9,99.9,7,100.0,3,45.8,293,89.8,184,78.8,169,85.8,112,99.9,9,99.2,13,87.7,10.0,11924.0,5.2,21%,51:49:00,94.201,94.0,94.9,97.7,86.5,82.4,2024,11.0,USA,9.0,11.0,34.0,12.0,37.0,19.0,11.0,31.0,90.3,39.7837304,-100.445882,New Haven,North America,Private,Very High,2.0,"5,391",New Haven,North America,Private,Very High,2.0,"5,391",New Haven,North America,Private,Very High,2.0,"5,391",98,2.0,56.84324489795918,31.06530612244898,362.265306122449,265.6666666666667,23.5,93.03333333333335,51.0,49.0,"Economics & Econometrics,Medicine & Dentistry,Mathematics & Statistics,Politics & International Studies (incl Development Studies),Other Health,Accounting & Finance,Architecture,Law,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Agriculture & Forestry,History, Philosophy & Theology,General Engineering,Electrical & Electronic Engineering,Chemistry,Physics & Astronomy,Archaeology,Biological Sciences,Computer Science,Psychology,Business & Management,Chemical Engineering,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Sociology",91.5,100.0,14401.0,6500.0,7901.0,2322.0,6.2,Very High,22.0,62250.0,4.0,97.0,8.0,14.0,21.0,10.0,11.0
U0010,=17,12,Peking University,CN,China (Mainland),XL,FC,VH,5,A,99.4,14,95.4,37,90.4,85,97.5,38,50.8,354,23.5,492,43.2,353,82.6,46,68.8,212,87.0,14.0,33064.0,10.9,14%,,91.796,95.6,97.3,87.2,98.8,70.2,2024,92.0,China,1.0,340.0,67.0,304.0,23.0,38.0,88.0,167.0,81.9,30.047992,-94.3357433,Beijing,Asia,Public,Very High,6.0,"5,302",Beijing,Asia,Public,Very High,6.0,"5,302",Beijing,Asia,Public,Very High,6.0,"5,302",35,12.0,56.53822857142857,28.66857142857143,328.4,574.8823529411765,12.0,94.43333333333334,,,"Other Health,Physics & Astronomy,Business & Management,Psychology,Education,Biological Sciences,Medicine & Dentistry,Communication & Media Studies,Art, Performing Arts & Design,General Engineering,Chemistry,Languages, Literature & Linguistics,Mathematics & Statistics,Computer Science,Sociology,Archaeology,Accounting & Finance,Law,Geography,Economics & Econometrics,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences",72.2,100.0,34981.0,15000.0,19981.0,3041.0,11.5,Very High,15.0,5000.0,15.0,94.0,13.0,12.0,15.0,13.0,24.0
