University_Name,Match_Type
aalborg university,Exact
aalto university,Exact
aarhus university,Exact
aberystwyth university,Exact
aixmarseille university,Exact
ajou university,Exact
alexandria university,Exact
amirkabir university of technology,Exact
aristotle university of thessaloniki,Exact
arizona state university,Exact
aston university,Exact
auburn university,Exact
australian national university,Exact
bangor university,Exact
barilan university,Exact
beijing institute of technology,Exact
bilkent university,Exact
boston college,Exact
boston university,Exact
brandeis university,Exact
brown university,Exact
budapest university of technology and economics,Exact
cairo university,Exact
cardiff university,Exact
carleton university,Exact
carnegie mellon university,Exact
case western reserve university,Exact
chalmers university of technology,Exact
chang gung university,Exact
charles darwin university,Exact
chiang mai university,Exact
chiba university,Exact
china agricultural university,Exact
chongqing university,Exact
chonnam national university,Exact
chulalongkorn university,Exact
chung yuan christian university,Exact
chungang university,Exact
chungnam national university,Exact
city university of hong kong,Exact
clemson university,Exact
colorado school of mines,Exact
columbia university,Exact
concordia university,Exact
cornell university,Exact
curtin university,Exact
czech technical university in prague,Exact
dalhousie university,Exact
dalian university of technology,Exact
dartmouth college,Exact
deakin university,Exact
delft university of technology,Exact
drexel university,Exact
dublin city university,Exact
duke university,Exact
durham university,Exact
east china normal university,Exact
east china university of science and technology,Exact
eindhoven university of technology,Exact
emory university,Exact
erasmus university rotterdam,Exact
ewha womans university,Exact
feng chia university,Exact
flinders university,Exact
florida international university,Exact
florida state university,Exact
fu jen catholic university,Exact
fudan university,Exact
george mason university,Exact
george washington university,Exact
georgetown university,Exact
georgia institute of technology,Exact
georgia state university,Exact
ghent university,Exact
gifu university,Exact
graz university of technology,Exact
griffith university,Exact
hacettepe university,Exact
hanyang university,Exact
harbin institute of technology,Exact
harvard university,Exact
hebrew university of jerusalem,Exact
heriotwatt university,Exact
hiroshima university,Exact
hokkaido university,Exact
hong kong baptist university,Exact
howard university,Exact
huazhong university of science and technology,Exact
hunan university,Exact
illinois institute of technology,Exact
imperial college london,Exact
inha university,Exact
iowa state university,Exact
iran university of science and technology,Exact
isfahan university of technology,Exact
istanbul technical university,Exact
istanbul university,Exact
jadavpur university,Exact
jagiellonian university,Exact
james cook university,Exact
jilin university,Exact
johns hopkins university,Exact
kanazawa university,Exact
kansas state university,Exact
keele university,Exact
keio university,Exact
kent state university,Exact
king saud university,Exact
kobe university,Exact
konkuk university,Exact
korea university,Exact
kumamoto university,Exact
kyoto university,Exact
kyung hee university,Exact
kyungpook national university,Exact
kyushu university,Exact
la trobe university,Exact
lancaster university,Exact
laval university,Exact
lehigh university,Exact
leiden university,Exact
linköping university,Exact
liverpool john moores university,Exact
lomonosov moscow state university,Exact
loughborough university,Exact
lund university,Exact
maastricht university,Exact
macquarie university,Exact
mahidol university,Exact
makerere university,Exact
manchester metropolitan university,Exact
masaryk university,Exact
massey university,Exact
mcgill university,Exact
mcmaster university,Exact
memorial university of newfoundland,Exact
miami university,Exact
michigan state university,Exact
michigan technological university,Exact
middle east technical university,Exact
missouri university of science and technology,Exact
monash university,Exact
murdoch university,Exact
nagasaki university,Exact
nagoya university,Exact
nanjing university,Exact
national and kapodistrian university of athens,Exact
national central university,Exact
national chung cheng university,Exact
national chung hsing university,Exact
national sun yatsen university,Exact
national taipei university of technology,Exact
national taiwan normal university,Exact
national taiwan ocean university,Exact
national technical university of athens,Exact
national tsing hua university,Exact
new mexico state university,Exact
newcastle university,Exact
niigata university,Exact
north carolina state university,Exact
northeastern university,Exact
northwestern polytechnical university,Exact
northwestern university,Exact
norwegian university of science and technology,Exact
novosibirsk state university,Exact
ocean university of china,Exact
ohio university,Exact
okayama university,Exact
oregon state university,Exact
panjab university,Exact
peking university,Exact
portland state university,Exact
princeton university,Exact
pusan national university,Exact
queens university belfast,Exact
queensland university of technology,Exact
radboud university nijmegen,Exact
rensselaer polytechnic institute,Exact
rice university,Exact
rmit university,Exact
royal holloway university of london,Exact
saint louis university,Exact
saint petersburg state university,Exact
san diego state university,Exact
sapienza university of rome,Exact
sejong university,Exact
seoul national university,Exact
shanghai jiao tong university,Exact
shanghai university,Exact
sharif university of technology,Exact
shinshu university,Exact
sichuan university,Exact
simon fraser university,Exact
sogang university,Exact
south china university of technology,Exact
southern methodist university,Exact
stanford university,Exact
stellenbosch university,Exact
stockholm university,Exact
stony brook university,Exact
sun yatsen university,Exact
swansea university,Exact
swinburne university of technology,Exact
syracuse university,Exact
taipei medical university,Exact
technical university of denmark,Exact
technical university of munich,Exact
technion israel institute of technology,Exact
tel aviv university,Exact
temple university,Exact
tianjin university,Exact
tilburg university,Exact
tohoku university,Exact
tokai university,Exact
tokyo institute of technology,Exact
tokyo metropolitan university,Exact
tokyo university of agriculture and technology,Exact
tongji university,Exact
tsinghua university,Exact
tufts university,Exact
tulane university,Exact
umeå university,Exact
united arab emirates university,Exact
university college cork,Exact
university college dublin,Exact
university of aberdeen,Exact
university of alaska fairbanks,Exact
university of alberta,Exact
university of antwerp,Exact
university of arizona,Exact
university of aveiro,Exact
university of barcelona,Exact
university of basel,Exact
university of bath,Exact
university of belgrade,Exact
university of bergen,Exact
university of bern,Exact
university of birmingham,Exact
university of bradford,Exact
university of brescia,Exact
university of brighton,Exact
university of bristol,Exact
university of british columbia,Exact
university of bucharest,Exact
university of calcutta,Exact
university of calgary,Exact
university of california davis,Exact
university of california irvine,Exact
university of california riverside,Exact
university of california santa cruz,Exact
university of cambridge,Exact
university of canterbury,Exact
university of cape town,Exact
university of central lancashire,Exact
university of chemistry and technology prague,Exact
university of chicago,Exact
university of cincinnati,Exact
university of coimbra,Exact
university of colorado boulder,Exact
university of connecticut,Exact
university of copenhagen,Exact
university of crete,Exact
university of cyprus,Exact
university of debrecen,Exact
university of delaware,Exact
university of delhi,Exact
university of dundee,Exact
university of eastern finland,Exact
university of edinburgh,Exact
university of electronic science and technology of china,Exact
university of essex,Exact
university of exeter,Exact
university of florence,Exact
university of florida,Exact
university of fribourg,Exact
university of geneva,Exact
university of genoa,Exact
university of glasgow,Exact
university of gothenburg,Exact
university of granada,Exact
university of groningen,Exact
university of guelph,Exact
university of haifa,Exact
university of helsinki,Exact
university of hertfordshire,Exact
university of houston,Exact
university of hull,Exact
university of iceland,Exact
university of idaho,Exact
