University_Name,Country,Region,Year,QS_Rank,National_Rank,QS_Overall_Score,Academic_Reputation,Employer_Reputation,Faculty_Student_Ratio,Citations_Per_Faculty,International_Faculty_Ratio,International_Students_Ratio,International_Research_Network,Employment_Outcomes,Sustainability,Std_Country,Std_University_Name
Massachusetts Institute of Technology (MIT),United States,Americas,2026,1.0,1.0,100.0,100.0,100.0,100.0,100.0,100.0,91.6,94.1,100.0,93.8,United States,Massachusetts Institute of Technology (MIT)
Imperial College London,United Kingdom,Europe,2026,2.0,1.0,99.4,99.6,100.0,99.3,95.0,100.0,100.0,97.5,95.9,98.3,United Kingdom,Imperial College London
Stanford University,United States,Americas,2026,3.0,2.0,98.9,100.0,100.0,100.0,99.7,94.2,73.5,96.5,100.0,95.4,United States,Stanford University
University of Oxford,United Kingdom,Europe,2026,4.0,2.0,97.9,100.0,100.0,100.0,91.0,98.8,98.6,100.0,100.0,77.9,United Kingdom,University of Oxford
Harvard University,United States,Americas,2026,5.0,3.0,97.7,100.0,100.0,98.3,100.0,79.1,81.4,99.4,100.0,77.8,United States,Harvard University
University of Cambridge,United Kingdom,Europe,2026,6.0,3.0,97.2,100.0,100.0,100.0,88.6,100.0,93.1,99.2,100.0,78.4,United Kingdom,University of Cambridge
ETH Zurich (Swiss Federal Institute of Technology),Switzerland,Europe,2026,7.0,1.0,96.7,99.7,96.3,71.7,98.8,100.0,99.3,95.8,95.0,99.6,Switzerland,ETH Zurich (Swiss Federal Institute of Technology)
National University of Singapore (NUS),Singapore,Asia,2026,8.0,1.0,95.9,99.9,98.2,71.5,95.9,100.0,96.9,92.4,100.0,90.0,Singapore,National University of Singapore (NUS)
UCL (University College London),United Kingdom,Europe,2026,9.0,4.0,95.8,99.9,99.4,94.8,80.9,99.6,100.0,99.9,89.3,98.5,United Kingdom,UCL (University College London)
California Institute of Technology (Caltech),United States,Americas,2026,10.0,4.0,94.3,98.3,99.2,100.0,100.0,100.0,90.7,61.8,49.1,79.2,United States,California Institute of Technology (Caltech)
The University of Hong Kong,"Hong Kong SAR, China",Asia,2026,11.0,1.0,94.2,99.3,82.5,85.3,96.6,100.0,100.0,82.3,99.8,84.8,"Hong Kong SAR, China",The University of Hong Kong
"Nanyang Technological University, Singapore (NTU Singapore)",Singapore,Asia,2026,12.0,2.0,93.7,97.1,91.4,83.9,94.6,100.0,93.1,86.9,87.7,87.2,Singapore,"Nanyang Technological University, Singapore (NTU Singapore)"
University of Chicago,United States,Americas,2026,13.0,5.0,93.0,99.8,99.3,97.3,78.1,86.1,92.8,87.7,99.8,73.3,United States,University of Chicago
Peking University,China (Mainland),Asia,2026,14.0,1.0,92.6,99.9,99.6,96.2,99.2,59.9,37.3,83.2,97.0,70.6,China (Mainland),Peking University
University of Pennsylvania,United States,Americas,2026,15.0,6.0,92.5,98.9,98.7,99.9,72.0,96.9,76.3,89.4,100.0,95.0,United States,University of Pennsylvania
Cornell University,United States,Americas,2026,16.0,7.0,91.6,99.5,98.8,64.3,98.0,57.6,75.7,93.0,99.3,76.8,United States,Cornell University
Tsinghua University,China (Mainland),Asia,2026,17.0,2.0,91.2,99.9,99.7,97.1,99.6,39.5,31.9,80.4,97.0,68.7,China (Mainland),Tsinghua University
"University of California, Berkeley (UCB)",United States,Americas,2026,17.0,8.0,91.2,100.0,100.0,29.4,97.2,95.6,70.6,96.7,99.8,98.8,United States,"University of California, Berkeley (UCB)"
The University of Melbourne,Australia,Oceania,2026,19.0,1.0,90.8,99.7,97.4,20.5,94.8,96.7,100.0,96.9,98.3,98.2,Australia,The University of Melbourne
The University of New South Wales,Australia,Oceania,2026,20.0,2.0,90.7,96.3,93.5,29.9,96.9,100.0,99.9,97.6,98.7,97.0,Australia,The University of New South Wales
Yale University,United States,Americas,2026,21.0,9.0,90.4,100.0,100.0,100.0,64.8,86.7,72.7,92.9,99.8,82.4,United States,Yale University
École Polytechnique Fédérale de Lausanne,Switzerland,Europe,2026,22.0,2.0,90.2,92.7,88.0,90.0,93.1,100.0,100.0,83.6,47.3,85.3,Switzerland,École Polytechnique Fédérale de Lausanne
Technical University of Munich,Germany,Europe,2026,22.0,1.0,90.2,92.0,99.7,70.5,92.6,86.3,98.9,95.9,57.3,87.8,Germany,Technical University of Munich
Johns Hopkins University,United States,Americas,2026,24.0,10.0,89.7,93.2,79.2,100.0,85.8,70.8,94.2,97.4,84.1,93.0,United States,Johns Hopkins University
Princeton University,United States,Americas,2026,25.0,11.0,89.4,100.0,99.8,67.3,100.0,12.7,70.0,82.6,98.9,76.0,United States,Princeton University
