University_Name,Country,Year,THE2023_Rank,Total_Students,Faculty_Student_Ratio_2023,Faculty_Count,International_Student_Ratio_2023,International_Students_Count,Gender_Ratio,Female_Percentage,Male_Percentage,Teaching_Score_2023,Research_Score_2023,Citations_Score_2023,Industry_Income_Score_2023,International_Outlook_Score_2023,Overall_Score_2023,Std_Country,Std_University_Name,Base_Match_Score
University of Oxford,United Kingdom,2023,1.0,20965.0,10.6,1977.8301886792453,42.0,8805.0,48 : 52,48.0,52.0,92.3,99.7,99.0,74.9,96.2,96.4,United Kingdom,University of Oxford,100.0
Harvard University,United States,2023,2.0,21887.0,9.6,2279.8958333333335,25.0,5472.0,50 : 50,50.0,50.0,94.8,99.0,99.3,49.5,80.5,95.2,United States,Harvard University,100.0
University of Cambridge,United Kingdom,2023,3.0,20185.0,11.3,1786.2831858407078,39.0,7872.0,47 : 53,47.0,53.0,90.9,99.5,97.0,54.2,95.8,94.8,United Kingdom,University of Cambridge,100.0
Stanford University,United States,2023,3.0,16164.0,7.1,2276.6197183098593,24.0,3879.0,46 : 54,46.0,54.0,94.2,96.7,99.8,65.0,79.8,94.8,United States,Stanford University,100.0
Massachusetts Institute of Technology,United States,2023,5.0,11415.0,8.2,1392.0731707317075,33.0,3767.0,40 : 60,40.0,60.0,90.7,93.6,99.8,90.9,89.3,94.2,United States,Massachusetts Institute of Technology (MIT),100.0
California Institute of Technology,United States,2023,6.0,2237.0,6.2,360.80645161290323,34.0,761.0,37 : 63,37.0,63.0,90.9,97.0,97.3,89.8,83.6,94.1,United States,California Institute of Technology (Caltech),100.0
Princeton University,United States,2023,7.0,8279.0,8.0,1034.875,23.0,1904.0,46 : 54,46.0,54.0,87.6,95.9,99.1,66.0,80.3,92.4,United States,Princeton University,100.0
"University of California, Berkeley",United States,2023,8.0,40921.0,18.4,2223.967391304348,24.0,9821.0,52 : 48,52.0,48.0,86.4,95.8,99.0,76.8,78.4,92.1,United States,"University of California, Berkeley (UCB)",100.0
Yale University,United States,2023,9.0,13482.0,5.9,2285.084745762712,21.0,2831.0,52 : 48,52.0,48.0,92.6,92.7,97.0,55.0,70.9,91.4,United States,Yale University,100.0
Imperial College London,United Kingdom,2023,10.0,18545.0,11.2,1655.8035714285716,61.0,11312.0,40 : 60,40.0,60.0,82.8,90.8,98.3,59.8,97.5,90.4,United Kingdom,Imperial College London,100.0
