university_name,year,university_type,publications_count,citations_count,h_index,research_productivity_index,subject_field,female_percentage,male_percentage
ADA University,2026,Public,1778,422,19,4.21,Natural Sciences,45.14607913,54.85392087
AGH University of Krakow,2016,Public,11072,66912,260,3.74,Natural Sciences,65.20924781,34.79075219
AGH University of Krakow,2017,Public,9367,60608,249,3.12,Engineering & Technology,36,64
AGH University of Krakow,2018,Public,5551,46388,166,3.18,Life Sciences & Medicine,34,66
AGH University of Krakow,2019,Public,2135,50422,250,0.85,Social Sciences & Management,50.76094818,49.23905182
AGH University of Krakow,2020,Public,5398,46756,273,2.04,Social Sciences & Management,54.29675834,45.70324166
AGH University of Krakow,2021,Public,7660,17173,132,4.69,Arts & Humanities,34,66
AGH University of Krakow,2022,Public,2721,28889,145,1.74,Arts & Humanities,35,65
AGH University of Krakow,2023,Public,2976,21937,146,2.23,Engineering & Technology,35,65
AGH University of Krakow,2024,Public,1186,27737,167,1.33,Life Sciences & Medicine,35,65
AGH University of Krakow,2025,Public,3592,26290,138,3.47,Arts & Humanities,34,66
AGH University of Krakow,2026,Public,3574,14223,112,2.83,Engineering & Technology,33,67
AGH University of Science and Technology,2018,Public,117,781,27,2.34,Engineering & Technology,48.72457883,51.27542117
AGH University of Science and Technology,2019,Public,115,464,24,2.3,Arts & Humanities,45.75259442,54.24740558
AGH University of Science and Technology,2020,Public,200,1212,35,4,Engineering & Technology,54.20763667,45.79236333
AGH University of Science and Technology,2021,Public,236,1301,34,4.72,Engineering & Technology,64.71581766,35.28418234
AGH University of Science and Technology,2022,Public,185,1615,38,3.7,Social Sciences & Management,46.95269192,53.04730808
AGH University of Science and Technology,2023,Public,3760,9576,93,2.12,Life Sciences & Medicine,62.61377761,37.38622239
AGH University of Science and Technology,2024,Public,5979,4861,64,4.15,Natural Sciences,38.25333715,61.74666285
AGH University of Science and Technology,2025,Public,13523,8935,88,6.57,Engineering & Technology,53.6465185,46.3534815
AIIMS Rishikesh,2026,Public,272,1248,35,2.18,Life Sciences & Medicine,37,63
Aalborg University,2016,Public,10487,118816,374,5.64,Arts & Humanities,48,52
Aalborg University,2017,Public,168,1609,42,3.36,Natural Sciences,48,52
Aalborg University,2018,Public,146,1665,46,2.92,Arts & Humanities,49,51
Aalborg University,2019,Public,122,1621,42,2.44,Arts & Humanities,53.80250012,46.19749988
Aalborg University,2020,Public,199,1107,36,3.98,Life Sciences & Medicine,44.95999275,55.04000725
Aalborg University,2021,Public,130,864,36,2.6,Social Sciences & Management,47.41505915,52.58494085
