Country,University_Name,World_Rank,National_Rank,QS_Rank,THE_Rank,ARWU_Rank,Enrollment,Undergrad_Students,Postgrad_Students,Faculty_Count,Student_Faculty_Ratio,Research_Output,International_Students (%),Tuition_Fee_USD,Acceptance_Rate (%),Graduation_Rate (%),Employability_Rank,QS_Subject_Rank
United States,Massachusetts Institute of Technology (MIT),1,1,1,2,3,11836,4657,7179,1479,8.0,Very High,33,59750,4,98,1,1
United Kingdom,University of Oxford,2,1,4,1,6,22095,12510,9585,2045,10.8,Very High,43,45000,17,96,3,2
United States,Stanford University,3,2,3,6,2,16963,7087,9876,2875,5.9,Very High,23,61731,4,94,2,3
United States,Harvard University,4,3,5,3,1,22584,7153,15431,2258,10.0,Very High,25,57261,3,97,4,4
United Kingdom,University of Cambridge,5,2,6,5,4,20980,12940,8040,1824,11.5,Very High,38,48000,21,97,5,5
United Kingdom,Imperial College London,6,3,2,9,23,21000,11000,10000,1735,12.1,Very High,60,42000,14,92,7,6
Switzerland,ETH Zurich,7,1,7,11,21,22883,10500,12383,1448,15.8,Very High,44,1500,27,90,15,7
Singapore,National University of Singapore (NUS),8,1,8,19,71,32000,23000,9000,2500,12.8,Very High,30,22000,25,94,9,8
United Kingdom,UCL,9,4,9,22,15,46830,21000,25830,3800,12.3,Very High,53,35000,30,91,12,9
United States,California Institute of Technology (Caltech),10,4,10,7,9,2397,987,1410,374,6.4,Very High,32,60816,3,93,10,10
China,Tsinghua University,11,1,14,12,18,38289,16000,22289,3480,11.0,Very High,9,5000,15,95,11,11
China,Peking University,12,2,15,13,24,34981,15000,19981,3041,11.5,Very High,15,5000,15,94,13,12
United States,Princeton University,13,5,25,4,7,8378,5321,3057,1074,7.8,Very High,23,59710,4,96,14,13
United States,Yale University,14,6,21,10,11,14401,6500,7901,2322,6.2,Very High,22,62250,4,97,8,14
United States,Cornell University,15,7,16,20,12,25898,15503,10395,2900,8.9,Very High,24,62456,7,95,16,15
United States,University of Pennsylvania,16,8,13,14,14,22539,10500,12039,3314,6.8,Very High,24,63452,6,96,6,16
United States,University of Chicago,17,9,11,14,10,16373,7000,9373,2728,6.0,Very High,38,64000,5,95,18,17
United States,"University of California, Berkeley (UCB)",18,10,17,8,5,42423,32000,10423,2268,18.7,Very High,25,44000,11,92,20,18
Australia,The University of Melbourne,19,1,19,37,32,54000,28000,26000,4500,12.0,Very High,48,32000,70,88,25,19
Australia,The University of New South Wales (UNSW Sydney),20,2,20,84,65,62000,35000,27000,5000,12.4,Very High,45,31000,60,85,30,20
Japan,University of Japan 21,21,3,13,26,8,36217,24310,11907,2409,15.0,High,22,23743,13,90,54,19
France,University of France 22,22,3,20,18,21,49537,28928,20609,4375,11.3,High,44,51776,51,85,-11,24
Italy,University of Italy 23,23,3,18,12,23,5974,4061,1913,240,24.9,High,27,39143,26,83,-24,17
Singapore,University of Singapore 24,24,3,16,13,25,32088,23105,8983,1715,18.7,High,5,30844,25,82,-14,32
China,University of China 25,25,3,23,30,36,31618,21154,10464,2135,14.8,High,40,42278,31,89,68,10
India,University of India 26,26,3,25,32,21,27213,14458,12755,2641,10.3,High,40,46134,39,74,-8,16
Singapore,University of Singapore 27,27,3,27,12,19,17207,11179,6028,932,18.5,High,25,5347,11,79,-22,32
China,University of China 28,28,3,30,34,33,51876,41275,10601,3253,15.9,High,43,56484,61,81,-6,12
Netherlands,University of Netherlands 29,29,3,36,25,28,28075,18259,9816,1553,18.1,High,31,11988,62,98,-17,25
South Korea,University of South Korea 30,30,4,32,37,12,12524,6365,6159,803,15.6,High,34,34251,60,95,31,33
Canada,University of Canada 31,31,4,28,33,43,11292,5691,5601,538,21.0,High,38,33309,29,69,50,28
Spain,University of Spain 32,32,4,30,42,42,10286,6722,3564,794,13.0,High,31,42742,17,84,38,26
Canada,University of Canada 33,33,4,32,45,44,8874,4475,4399,505,17.6,High,33,25040,71,96,49,15
Italy,University of Italy 34,34,4,42,30,42,14468,7957,6511,770,18.8,High,32,52316,39,64,65,5
Spain,University of Spain 35,35,4,31,31,29,49724,34564,15160,2468,20.1,High,32,18973,5,74,28,35
