name,slug,country,city,founded,type,students,website
"""Alexandru cel Bun"" Military Academy",alexandru-cel-bun-military-academy,Moldova,Chișinău,1993,,,
"""Aurel Vlaicu"" University of Arad",aurel-vlaicu-university-of-arad,Romania,,1972,,,
"""Drăgan"" European University of Lugoj",dragan-european-university-of-lugoj,Romania,,1992,,,
"""George Enescu"" Music High School",george-enescu-music-high-school,Romania,,,,,
"""Higher School of Oil"" Almetyevsk State Technology University",higher-school-of-oil-almetyevsk-state-technology-university,Russia,,1956,,,
"""King Ferdinand I"" University",king-ferdinand-i-university,Romania,,1919,,,
"""Prof. Dr. Assen Zlatarov"" University",prof-dr-assen-zlatarov-university,Bulgaria,,1963,,,
"""Q"" University",q-university-q12573745,Kazakhstan,Almaty,,,,
"1 Decembrie 1918 University, Alba Iulia",1-decembrie-1918-university-alba-iulia,Romania,,1991,,,
11 de Novembro University,11-de-novembro-university,Angola,Cabinda,2009,,,
21 september university for medical and applied science,21-september-university-for-medical-and-applied-science,Yemen,,,,,
"21 Sheptytskoho Square, Ivano-Frankivsk",21-sheptytskoho-square-ivano-frankivsk,,,,,,
24ORE Business School,24ore-business-school,Italy,,1993,,,
6th Montessori School Anne Frank,6th-montessori-school-anne-frank,,,,,,
76 Tadeusza Kościuszki Street in Prudnik,76-tadeusza-kosciuszki-street-in-prudnik,Poland,Prudnik,1946,,,
7DrumCity,7drumcity,United States,,2013,,,
A S College,a-s-college,India,,1946,,,
A. Baitursynov Kostanai State University,a-baitursynov-kostanai-state-university,Kazakhstan,,1992,,,
A. Kasteev College of Art and Design,a-kasteev-college-of-art-and-design,Kazakhstan,Shymkent,1973,,,
A. V. C. College,a-v-c-college,India,,1955,,,
A.T. Still University,at-still-university,United States,,1892,,3995,
A'Sharqiyah University,asharqiyah-university,Oman,,2009,,,
AAB College,aab-college,Kosovo,Pristina,2002,,,
Aalborg Business College,aalborg-business-college,Denmark,,,,,
Aalborg Cathedral School,aalborg-cathedral-school,,,,,,
Aalborg University,aalborg-university,Denmark,,1974,,20353,
