university_id,university_name,world_rank,national_rank,year,country,region,city,overall_score,academic_reputation_score,employer_reputation_score,citations_score,university_type,publications_count,subject_field,citations_count,citations_per_faculty,research_output_score,h_index,research_productivity_index,total_students,international_students_count,international_student_ratio,faculty_count,faculty_to_student_ratio,female_percentage,male_percentage,degree_level,undergraduate_count,postgraduate_count,country_avg_rank,universities_ranked_count,best_university_rank,country_avg_overall_score,country_avg_academic_reputation,country_avg_citations,country_avg_international_ratio
100001,Oxford Royal University,521,9,2020,United Kingdom,Europe,Oxford,63.44,95.3,92.6,100,Private,73482,Computer Science,955266,178.99,97.8,95,1.25,20247,8329,41.14,5231,28.61,35,65,Postgraduate,15113,5134,488.1,101,1,75.5,75.6,75.1,22.23
100002,Melbourne National University,780,4,2020,Australia,Oceania,Melbourne,45.41,98,96.9,94.7,Public,7695,Social Sciences,284715,58.2,94.2,273,1.13,24213,10349,42.74,5366,28.12,63,37,Undergraduate,20619,3594,500.4,107,2,75,74.9,74.2,22.7
100003,Kyoto Technical University,690,7,2020,Japan,Asia,Kyoto,51.65,97.1,100,100,Public,91593,Social Sciences,1099116,200.2,100,353,6.33,15708,3836,24.42,3408,5.51,43,57,Postgraduate,14079,1629,509.2,90,3,74.6,75,75.3,21.83
100004,Brisbane Royal University,152,4,2020,Australia,Oceania,Brisbane,89.37,98.6,100,100,Private,20726,Computer Science,497424,302.75,95.1,367,4.81,53956,19205,35.59,3809,28.8,63,37,Undergraduate,40695,13261,500.4,107,2,75,74.9,74.2,22.7
100005,Osaka National University,935,15,2020,Japan,Asia,Osaka,34.34,100,99.7,100,Private,114824,Computer Science,918592,151.28,100,429,7.58,54209,8793,16.22,5550,12.85,45,55,Postgraduate,31931,22278,509.2,90,3,74.6,75,75.3,21.83
100006,Heidelberg Metropolitan University,340,19,2020,Germany,Europe,Heidelberg,75.91,100,98.9,100,Public,71514,Engineering,572112,105.83,95.8,89,1.39,28788,5088,17.67,2261,23.82,36,64,Both,18260,10528,510.9,109,6,74.3,74.1,73.9,24.02
100007,Mumbai International University,346,22,2020,India,Asia,Mumbai,75.43,100,100,100,Public,95447,Medicine,2577069,683.94,100,412,3.49,63957,17009,26.59,3998,16.19,38,62,Undergraduate,40725,23232,507.5,86,7,74.5,74.2,74.4,21.8
100008,Oxford International University,479,25,2020,United Kingdom,Europe,Oxford,66.06,97.4,99.4,100,Private,96811,Business,4259684,816.03,99.3,322,6.96,17478,822,4.7,1094,18.96,56,44,Postgraduate,12249,5229,488.1,101,1,75.5,75.6,75.1,22.23
100009,Beijing State University,62,30,2020,China,Asia,Beijing,95.15,97.8,97.1,93.9,Public,34742,Computer Science,416904,100.95,100,361,1.28,47738,17763,37.21,420,14.63,37,63,Postgraduate,41733,6005,447.1,106,9,77.6,77.7,77.1,23.52
100010,Kyoto Technical University,32,22,2020,Japan,Asia,Kyoto,97.41,100,100,100,Public,96163,Natural Sciences,3750357,2121.24,94.9,191,8.25,42957,17816,41.47,799,12.13,58,42,Postgraduate,28341,14616,509.2,90,3,74.6,75,75.3,21.83
100011,Paris Royal University,162,25,2020,France,Europe,Paris,88.25,100,100,100,Public,7209,Medicine,93717,23.82,100,369,4.68,66256,8594,12.97,1973,21.11,56,44,Postgraduate,53049,13207,536.5,85,11,73,73.2,72.3,21.62
100012,Singapore National University,15,6,2020,Singapore,Asia,Singapore,98.92,95.7,97,90.8,Private,34018,Social Sciences,1054558,372.11,94.6,358,6.13,45086,17382,38.55,364,16.45,56,44,Undergraduate,37691,7395,455.8,123,12,77.3,77.2,77.8,24.59
100013,Heidelberg State University,567,7,2020,Germany,Europe,Heidelberg,60.26,99.5,94.4,97.9,Private,112900,Natural Sciences,1241900,988.77,100,221,0.85,26859,2193,8.16,5519,11.81,43,57,Both,16291,10568,510.9,109,6,74.3,74.1,73.9,24.02
100014,Berkeley Metropolitan University,221,4,2020,United States,North America,Berkeley,84.54,94.4,96.9,100,Public,114814,Computer Science,1148140,146.02,97,429,2.5,11736,2947,25.11,4886,14.64,63,37,Undergraduate,10047,1689,568.1,109,14,71.5,71.4,70.2,21.95
100015,Osaka Royal University,637,4,2020,Japan,Asia,Osaka,55.42,100,92,100,Public,114537,Business,4352406,1874.42,94.1,315,3.3,58774,26111,44.43,2164,26.89,42,58,Postgraduate,32812,25962,509.2,90,3,74.6,75,75.3,21.83
100016,Bengaluru National University,820,4,2020,India,Asia,Bengaluru,42.61,97.5,100,100,Public,7014,Medicine,98196,18.23,99,240,3.99,69502,16808,24.18,1247,29.44,47,53,Undergraduate,60107,9395,507.5,86,7,74.5,74.2,74.4,21.8
100017,Melbourne Technical University,81,4,2020,Australia,Oceania,Melbourne,94.34,100,100,100,Private,18334,Social Sciences,495018,106.36,97.2,289,3.11,50692,9738,19.21,4841,8.33,39,61,Both,31284,19408,500.4,107,2,75,74.9,74.2,22.7
100018,Melbourne Metropolitan University,766,8,2020,Australia,Oceania,Melbourne,46.31,98.4,94.4,98.4,Public,106336,Social Sciences,1914048,324.58,93.1,343,5.81,45583,11033,24.2,1065,21,61,39,Postgraduate,40258,5325,500.4,107,2,75,74.9,74.2,22.7
100019,Manchester Technical University,421,9,2020,United Kingdom,Europe,Manchester,70.44,98.7,98.3,92.9,Public,92128,Arts & Humanities,737024,94.35,100,134,6.73,19341,2931,15.15,6000,19.28,51,49,Undergraduate,13782,5559,488.1,101,1,75.5,75.6,75.1,22.23
100020,Singapore Metropolitan University,752,7,2020,Singapore,Asia,Singapore,47.31,100,99.5,95.1,Private,34406,Medicine,860150,127,100,328,5.51,22996,7256,31.55,934,21.55,57,43,Postgraduate,14947,8049,455.8,123,12,77.3,77.2,77.8,24.59
100021,Manchester Technical University,599,155,2020,United Kingdom,Europe,Manchester,55.06,98.3,94.4,97.5,Private,102898,Natural Sciences,4630410,747.2,92.4,374,3.54,5386,1490,27.66,2746,12.51,59,41,Both,3697,1689,488.1,101,1,75.5,75.6,75.1,22.23
100022,Kyoto Royal University,147,5,2020,Japan,Asia,Kyoto,89.7,100,100,100,Public,72008,Medicine,648072,81.73,98.3,368,5.8,10501,3561,33.91,1411,15.01,62,38,Postgraduate,7472,3029,509.2,90,3,74.6,75,75.3,21.83
100023,Kyoto National University,871,5,2020,Japan,Asia,Kyoto,39.02,97.3,100,93.9,Public,87215,Computer Science,1046580,151.7,100,100,6.53,67233,8152,12.12,1933,20.16,61,39,Undergraduate,37457,29776,509.2,90,3,74.6,75,75.3,21.83
100024,Vancouver Metropolitan University,655,4,2020,Canada,North America,Vancouver,54.16,96.5,96.9,100,Public,42888,Engineering,1887072,312.02,100,272,3.67,51859,6548,12.63,922,21.21,53,47,Both,41057,10802,494.1,84,24,75.2,75,76.3,20.03
100025,Chennai Royal University,793,5,2020,India,Asia,Chennai,44.48,98.5,89.2,95.4,Private,66251,Natural Sciences,927514,228.96,100,405,7.63,35129,11638,33.13,1553,9.08,48,52,Both,21486,13643,507.5,86,7,74.5,74.2,74.4,21.8
100026,London Technical University,250,4,2020,United Kingdom,Europe,London,82.51,100,100,96.4,Public,66789,Natural Sciences,1870092,940.22,99.5,261,6.88,27304,4631,16.96,5183,20.99,57,43,Undergraduate,23427,3877,488.1,101,1,75.5,75.6,75.1,22.23
100027,Singapore National University,331,5,2020,Singapore,Asia,Singapore,76.82,96.9,93.7,100,Private,50368,Medicine,1913984,380.21,98.3,297,8.47,41070,10889,26.51,3182,28.21,57,43,Undergraduate,29110,11960,455.8,123,12,77.3,77.2,77.8,24.59
100028,Sydney Royal University,504,6,2020,Australia,Oceania,Sydney,64.69,98.6,100,99.6,Public,15176,Natural Sciences,303520,103.73,93.9,171,2.92,51400,17552,34.15,1336,22.95,43,57,Postgraduate,29088,22312,500.4,107,2,75,74.9,74.2,22.7
100029,Berlin Technical University,158,5,2020,Germany,Europe,Berlin,88.93,100,94,100,Private,16953,Engineering,203436,53.79,97.8,375,5.54,8513,671,7.88,1522,29.33,60,40,Undergraduate,6359,2154,510.9,109,6,74.3,74.1,73.9,24.02
100030,Singapore International University,511,6,2020,Singapore,Asia,Singapore,64.2,98.9,99.5,100,Private,101973,Business,2141433,380.77,93.7,418,1.15,20719,2897,13.98,4821,24.98,37,63,Both,12530,8189,455.8,123,12,77.3,77.2,77.8,24.59
