university_id,university_name,world_rank,national_rank,overall_score,year,country,region,city,academic_reputation_score,employer_reputation_score,citations_score,university_type,publications_count,subject_field,citations_count,citations_per_faculty,research_output_score,h_index,research_productivity_index,total_students,international_students_count,international_student_ratio,faculty_count,faculty_to_student_ratio,gender_ratio,female_percentage,male_percentage,degree_level,undergraduate_count,postgraduate_count,country_avg_rank,universities_ranked_count,best_university_rank,country_avg_overall_score,country_avg_academic_reputation,country_avg_citations,country_avg_international_ratio
100001,Oxford Royal University,1300.5,9,98.9,2020,United Kingdom,Europe,Oxford,95.3,92.6,100,Private,73482,Computer Science,955266,178.99,97.8,95,1.25,20247,8329,41.14,5231,3.87,35:65,35,65,Postgraduate,15113,5134,488.1,101,1,75.5,75.6,75.1,22.23
100002,Melbourne National University,723,4,99.4,2020,Australia,Oceania,Melbourne,98,96.9,94.7,Public,7695,Social Sciences,284715,58.2,94.2,273,1.13,24213,10349,42.74,5366,4.51,63:37:00,63,37,Undergraduate,20619,3594,500.4,107,2,75,74.9,74.2,22.7
100003,Kyoto Technical University,711,7,98.5,2020,Japan,Asia,Kyoto,97.1,100,100,Public,91593,Social Sciences,1099116,200.2,100,353,6.33,15708,3836,24.42,3408,4.61,43:57:00,43,57,Postgraduate,14079,1629,509.2,90,3,74.6,75,75.3,21.83
100004,Brisbane Royal University,789,4,98.7,2020,Australia,Oceania,Brisbane,98.6,100,100,Private,20726,Computer Science,497424,302.75,95.1,367,4.81,53956,19205,35.59,3809,14.17,63:37:00,63,37,Undergraduate,40695,13261,500.4,107,2,75,74.9,74.2,22.7
100005,Osaka National University,983,15,99.3,2020,Japan,Asia,Osaka,100,99.7,100,Private,114824,Computer Science,918592,151.28,100,429,7.58,54209,8793,16.22,5550,9.77,45:55:00,45,55,Postgraduate,31931,22278,509.2,90,3,74.6,75,75.3,21.83
100006,Heidelberg Metropolitan University,1128,19,98.3,2020,Germany,Europe,Heidelberg,100,98.9,100,Public,71514,Engineering,572112,105.83,95.8,89,1.39,28788,5088,17.67,2261,12.73,36:64,36,64,Both,18260,10528,510.9,109,6,74.3,74.1,73.9,24.02
100007,Mumbai International University,1220,22,99.9,2020,India,Asia,Mumbai,100,100,100,Public,95447,Medicine,2577069,683.94,100,412,3.49,63957,17009,26.59,3998,16,38:62,38,62,Undergraduate,40725,23232,507.5,86,7,74.5,74.2,74.4,21.8
100008,Oxford International University,1249,25,99.7,2020,United Kingdom,Europe,Oxford,97.4,99.4,100,Private,96811,Business,4259684,816.03,99.3,322,6.96,17478,822,4.7,1094,15.98,56:44:00,56,44,Postgraduate,12249,5229,488.1,101,1,75.5,75.6,75.1,22.23
100009,Beijing State University,1379,30,98.3,2020,China,Asia,Beijing,97.8,97.1,93.9,Public,34742,Computer Science,416904,100.95,100,361,1.28,47738,17763,37.21,420,113.66,37:63,37,63,Postgraduate,41733,6005,447.1,106,9,77.6,77.7,77.1,23.52
100010,Kyoto Technical University,1107,22,99.2,2020,Japan,Asia,Kyoto,100,100,100,Public,96163,Natural Sciences,3750357,2121.24,94.9,191,8.25,42957,17816,41.47,799,53.76,58:42:00,58,42,Postgraduate,28341,14616,509.2,90,3,74.6,75,75.3,21.83
100011,Paris Royal University,1169,25,99.1,2020,France,Europe,Paris,100,100,100,Public,7209,Medicine,93717,23.82,100,369,4.68,66256,8594,12.97,1973,33.58,56:44:00,56,44,Postgraduate,53049,13207,536.5,85,11,73,73.2,72.3,21.62
100012,Singapore National University,825.5,6,99.4,2020,Singapore,Asia,Singapore,95.7,97,90.8,Private,34018,Social Sciences,1054558,372.11,94.6,358,6.13,45086,17382,38.55,364,123.86,56:44:00,56,44,Undergraduate,37691,7395,455.8,123,12,77.3,77.2,77.8,24.59
100013,Heidelberg State University,900.5,7,98.2,2020,Germany,Europe,Heidelberg,99.5,94.4,97.9,Private,112900,Natural Sciences,1241900,988.77,100,221,0.85,26859,2193,8.16,5519,4.87,43:57:00,43,57,Both,16291,10568,510.9,109,6,74.3,74.1,73.9,24.02
100014,Berkeley Metropolitan University,900.5,4,99,2020,United States,North America,Berkeley,94.4,96.9,100,Public,114814,Computer Science,1148140,146.02,97,429,2.5,11736,2947,25.11,4886,2.4,63:37:00,63,37,Undergraduate,10047,1689,568.1,109,14,71.5,71.4,70.2,21.95
100015,Osaka Royal University,900.5,4,98.3,2020,Japan,Asia,Osaka,100,92,100,Public,114537,Business,4352406,1874.42,94.1,315,3.3,58774,26111,44.43,2164,27.16,42:58:00,42,58,Postgraduate,32812,25962,509.2,90,3,74.6,75,75.3,21.83
100016,Bengaluru National University,900.5,4,99.9,2020,India,Asia,Bengaluru,97.5,100,100,Public,7014,Medicine,98196,18.23,99,240,3.99,69502,16808,24.18,1247,55.74,47:53:00,47,53,Undergraduate,60107,9395,507.5,86,7,74.5,74.2,74.4,21.8
100017,Melbourne Technical University,900.5,4,99.9,2020,Australia,Oceania,Melbourne,100,100,100,Private,18334,Social Sciences,495018,106.36,97.2,289,3.11,50692,9738,19.21,4841,10.47,39:61,39,61,Both,31284,19408,500.4,107,2,75,74.9,74.2,22.7
100018,Melbourne Metropolitan University,806,8,99,2020,Australia,Oceania,Melbourne,98.4,94.4,98.4,Public,106336,Social Sciences,1914048,324.58,93.1,343,5.81,45583,11033,24.2,1065,42.8,61:39:00,61,39,Postgraduate,40258,5325,500.4,107,2,75,74.9,74.2,22.7
100019,Manchester Technical University,925.5,9,99.9,2020,United Kingdom,Europe,Manchester,98.7,98.3,92.9,Public,92128,Arts & Humanities,737024,94.35,100,134,6.73,19341,2931,15.15,6000,3.22,51:49:00,51,49,Undergraduate,13782,5559,488.1,101,1,75.5,75.6,75.1,22.23
100020,Singapore Metropolitan University,875.5,7,99.9,2020,Singapore,Asia,Singapore,100,99.5,95.1,Private,34406,Medicine,860150,127,100,328,5.51,22996,7256,31.55,934,24.62,57:43:00,57,43,Postgraduate,14947,8049,455.8,123,12,77.3,77.2,77.8,24.59
100021,Manchester Technical University,1916,155,99.1,2020,United Kingdom,Europe,Manchester,98.3,94.4,97.5,Private,102898,Natural Sciences,4630410,747.2,92.4,374,3.54,5386,1490,27.66,2746,1.96,59:41:00,59,41,Both,3697,1689,488.1,101,1,75.5,75.6,75.1,22.23
100022,Kyoto Royal University,250,5,99.8,2020,Japan,Asia,Kyoto,100,100,100,Public,72008,Medicine,648072,81.73,98.3,368,5.8,10501,3561,33.91,1411,7.44,62:38:00,62,38,Postgraduate,7472,3029,509.2,90,3,74.6,75,75.3,21.83
100023,Kyoto National University,374,5,96.9,2020,Japan,Asia,Kyoto,97.3,100,93.9,Public,87215,Computer Science,1046580,151.7,100,100,6.53,67233,8152,12.12,1933,34.78,61:39:00,61,39,Undergraduate,37457,29776,509.2,90,3,74.6,75,75.3,21.83
