university_name,country,region,world_rank,overall_score,academic_reputation_score,employer_reputation_score,faculty_to_student_ratio,citations_per_faculty_score,international_faculty_score,international_student_ratio,international_research_network_score,world_rank_the,overall_score_the,total_students,faculty_student_ratio_the,international_students_ratio_the,female_percentage,teaching,research_environment_score,research_quality_score,industry,international_outlook_score,year
Massachusetts Institute of Technology (MIT),United States,Americas,1.0,100.0,100.0,100.0,100.0,100.0,99.29292929292929,86.66666666666666,95.95959595959596,1046.5,26.09282321659887,16222.0,16.3,6.0,54.0,18.458980044345896,14.7119341563786,50.8307372793354,30.842230130486364,34.92159227985524,2025.0
Imperial College London,United Kingdom,Europe,2.0,98.10606060606061,98.48024316109422,99.49443882709808,98.2,93.83838383838385,100.0,99.5959595959596,97.37373737373738,9.0,95.38838261027655,21000.0,12.1,60.0,43.0,89.02439024390243,94.7530864197531,98.75389408099689,89.08659549228943,98.79372738238843,2025.0
University of Oxford,United Kingdom,Europe,3.0,96.0858585858586,100.0,100.0,100.0,84.64646464646465,98.08080808080808,97.67676767676768,100.0,1.0,100.0,22095.0,10.8,43.0,51.0,97.33924611973391,100.0,99.06542056074765,99.52550415183866,97.58745476477684,2025.0
Harvard University,United States,Americas,4.0,95.95959595959596,100.0,100.0,96.3,100.0,73.83838383838383,68.68686868686868,99.5959595959596,3.0,99.05972320069083,22584.0,10.0,25.0,52.0,97.89356984478935,99.8971193415638,99.58463136033228,83.03677342823251,88.90229191797344,2025.0
University of Cambridge,United Kingdom,Europe,5.0,95.83333333333334,100.0,100.0,100.0,84.44444444444444,100.0,94.74747474747474,99.29292929292929,5.0,98.73020021362179,20980.0,11.5,38.0,49.0,96.34146341463415,99.8971193415638,97.81931464174454,86.23962040332148,97.3462002412545,2025.0
Stanford University,United States,Americas,6.0,95.07575757575756,100.0,100.0,100.0,98.98989898989899,70.0,60.4040404040404,96.76767676767678,6.0,98.59611844646956,16963.0,5.9,23.0,47.0,98.11529933481152,97.22222222222221,99.89615784008306,100.0,82.87092882991554,2025.0
ETH Zurich - Swiss Federal Institute of Technology,Switzerland,Europe,7.0,92.2979797979798,98.78419452887537,87.05763397371082,65.9,97.87878787878789,100.0,98.58585858585857,95.65656565656566,1046.5,26.09282321659887,16222.0,16.3,6.0,54.0,18.458980044345896,14.7119341563786,50.8307372793354,30.842230130486364,34.92159227985524,2025.0
National University of Singapore (NUS),Singapore,Asia,8.0,92.04545454545455,99.49341438703141,91.0010111223458,68.8,93.03030303030303,100.0,88.7878787878788,91.5151515151515,1046.5,26.09282321659887,16222.0,16.3,6.0,54.0,18.458980044345896,14.7119341563786,50.8307372793354,30.842230130486364,34.92159227985524,2025.0
UCL,United Kingdom,Europe,9.0,89.39393939393939,99.49341438703141,98.28109201213347,95.9,71.91919191919193,98.98989898989899,100.0,99.89898989898991,22.0,87.79174147217233,41935.0,11.1,61.0,60.0,76.0532150776053,85.80246913580247,98.65005192107996,70.22538552787664,98.06996381182148,2025.0
California Institute of Technology (Caltech),United States,Americas,10.0,88.51010101010101,96.45390070921985,95.24772497472193,100.0,100.0,100.0,79.5959595959596,65.15151515151516,1046.5,26.09282321659887,16222.0,16.3,6.0,54.0,18.458980044345896,14.7119341563786,50.8307372793354,30.842230130486364,34.92159227985524,2025.0
