name_a,name_b,similarity_score,category,reason,country_a,country_b,source_a,source_b,years_a,years_b,count_a,count_b
Belarusian National Technical University,Belarusian National Technical University (BNTU),0.9195,Different Universities,Moderate similarity - likely different universities,Belarus,Belarus,,qs_rankings,"[2020, 2021, 2022, 2023, 2024]","[2021, 2022, 2023, 2024]",5,4
Universidade do Estado do Rio de Janeiro,Universidade do Estado do Rio de Janeiro (UERJ),0.9195,Different Universities,Moderate similarity - likely different universities,Brazil,Brazil,,"the_rankings, qs_rankings","[2020, 2021, 2022, 2023, 2024]","[2020, 2021, 2022, 2023, 2024]",5,5
Instituto Tecnológico Autónomo de México,Instituto Tecnológico Autónomo de México (ITAM),0.9195,Different Universities,Moderate similarity - likely different universities,Mexico,Mexico,,qs_rankings,"[2020, 2021, 2022, 2023, 2024]","[2022, 2023, 2024]",5,3
Lahore University of Management Sciences,Lahore University of Management Sciences (LUMS),0.9195,Different Universities,Moderate similarity - likely different universities,Pakistan,Pakistan,the_rankings,qs_rankings,"[2020, 2021, 2022, 2023, 2024]","[2021, 2022, 2023, 2024]",5,4
Missouri University of Science and Technology,Misr University for Science and Technology,0.9195,Different Universities,Moderate similarity - likely different universities,United States,Egypt,"the_rankings, qs_rankings",the_rankings,"[2020, 2021, 2022, 2023, 2024]","[2023, 2024]",5,2
University of Mons,University of Mosul,0.9189,Different Universities,Moderate similarity - likely different universities,Belgium,Iraq,qs_rankings,the_rankings,"[2020, 2021, 2022, 2023, 2024]","[2022, 2023, 2024]",5,3
University of Chile,University of Hail,0.9189,Different Universities,Moderate similarity - likely different universities,Chile,Saudi Arabia,the_rankings,,"[2020, 2021, 2022, 2023, 2024]","[2022, 2023, 2024]",5,3
Universidad Pontificia Bolivariana,Universidad Pontificia Bolivariana (UPB),0.9189,Different Universities,Moderate similarity - likely different universities,Colombia,Colombia,qs_rankings,the_rankings,"[2020, 2021, 2022, 2023, 2024]","[2020, 2021, 2022, 2023, 2024]",5,5
Al-Azhar University,Al-Baha University,0.9189,Different Universities,Moderate similarity - likely different universities,Egypt,Saudi Arabia,"the_rankings, qs_rankings",the_rankings,"[2020, 2021, 2022, 2023, 2024]",[2024],5,1
University of Oulu,University of Seoul,0.9189,Different Universities,Moderate similarity - likely different universities,Finland,South Korea,"the_rankings, qs_rankings","the_rankings, qs_rankings","[2020, 2021, 2022, 2023, 2024]","[2020, 2021, 2022, 2023, 2024]",5,5
University of Oulu,University of Mosul,0.9189,Different Universities,Moderate similarity - likely different universities,Finland,Iraq,"the_rankings, qs_rankings",the_rankings,"[2020, 2021, 2022, 2023, 2024]","[2022, 2023, 2024]",5,3
Johannes Gutenberg University of Mainz,Johannes Gutenberg Universität Mainz,0.9189,Different Universities,Moderate similarity - likely different universities,Germany,Germany,the_rankings,qs_rankings,"[2020, 2021, 2022, 2023, 2024]","[2020, 2021, 2022, 2023, 2024]",5,5
University of Bonn,University of Benin,0.9189,Different Universities,Moderate similarity - likely different universities,Germany,Nigeria,the_rankings,the_rankings,"[2020, 2021, 2022, 2023, 2024]","[2023, 2024]",5,2
University of Kiel,University of Jijel,0.9189,Different Universities,Moderate similarity - likely different universities,Germany,Algeria,the_rankings,the_rankings,"[2020, 2021, 2022, 2023, 2024]","[2022, 2023, 2024]",5,3
Indian Institute of Technology Dhanbad,Indian Institute of Technology Patna,0.9189,Different Universities,Moderate similarity - likely different universities,India,India,,the_rankings,"[2020, 2021, 2022, 2023, 2024]","[2020, 2021, 2022, 2023, 2024]",5,5
Indian Institute of Technology Dhanbad,Indian Institute of Technology Mandi,0.9189,Different Universities,Moderate similarity - likely different universities,India,India,,the_rankings,"[2020, 2021, 2022, 2023, 2024]","[2022, 2023, 2024]",5,3
Indian Institute of Technology Roorkee,Indian Institute of Technology Ropar,0.9189,Different Universities,Moderate similarity - likely different universities,India,India,the_rankings,the_rankings,"[2020, 2021, 2022, 2023, 2024]","[2020, 2021, 2022, 2023, 2024]",5,5
University of Haifa,University of Hail,0.9189,Different Universities,Moderate similarity - likely different universities,Israel,Saudi Arabia,"the_rankings, qs_rankings",,"[2020, 2021, 2022, 2023, 2024]","[2022, 2023, 2024]",5,3
University of Bari,University of Anbar,0.9189,Different Universities,Moderate similarity - likely different universities,Italy,Iraq,qs_rankings,the_rankings,"[2020, 2021, 2022, 2023, 2024]","[2022, 2023, 2024]",5,3
University of Bari,University of Dubai,0.9189,Different Universities,Moderate similarity - likely different universities,Italy,United Arab Emirates,qs_rankings,qs_rankings,"[2020, 2021, 2022, 2023, 2024]","[2023, 2024]",5,2
University of Pisa,University of Misan,0.9189,Different Universities,Moderate similarity - likely different universities,Italy,Iraq,"the_rankings, qs_rankings",the_rankings,"[2020, 2021, 2022, 2023, 2024]","[2023, 2024]",5,2
University of Pisa,University of Bisha,0.9189,Different Universities,Moderate similarity - likely different universities,Italy,Saudi Arabia,"the_rankings, qs_rankings",the_rankings,"[2020, 2021, 2022, 2023, 2024]","[2023, 2024]",5,2
Toyohashi University of Technology,Toyohashi University of Technology (TUT),0.9189,Different Universities,Moderate similarity - likely different universities,Japan,Japan,,the_rankings,"[2020, 2021, 2022, 2023, 2024]","[2020, 2021, 2022, 2023, 2024]",5,5
Auezov South Kazakhstan University,Auezov South Kazakhstan University (SKU),0.9189,Different Universities,Moderate similarity - likely different universities,Kazakhstan,Kazakhstan,,qs_rankings,"[2020, 2021, 2022, 2023, 2024]","[2021, 2022, 2023, 2024]",5,4
Universidad Autónoma Metropolitana,Universidad Autónoma Metropolitana (UAM),0.9189,Different Universities,Moderate similarity - likely different universities,Mexico,Mexico,,qs_rankings,"[2020, 2021, 2022, 2023, 2024]","[2022, 2023, 2024]",5,3
University of Oslo,University of Mosul,0.9189,Different Universities,Moderate similarity - likely different universities,Norway,Iraq,"the_rankings, qs_rankings",the_rankings,"[2020, 2021, 2022, 2023, 2024]","[2022, 2023, 2024]",5,3
University of Bern,University of Benin,0.9189,Different Universities,Moderate similarity - likely different universities,Switzerland,Nigeria,"the_rankings, qs_rankings",the_rankings,"[2020, 2021, 2022, 2023, 2024]","[2023, 2024]",5,2
Manchester Metropolitan University,Manchester Metropolitan University (MMU),0.9189,Different Universities,Moderate similarity - likely different universities,United Kingdom,United Kingdom,the_rankings,qs_rankings,"[2020, 2021, 2022, 2023, 2024]","[2021, 2022, 2023, 2024]",5,4
"University of California, Berkeley","University of California, Berkeley (UCB)",0.9189,Different Universities,Moderate similarity - likely different universities,United States,United States,the_rankings,qs_rankings,"[2020, 2021, 2022, 2023, 2024]","[2022, 2023, 2024]",5,3
Bangladesh Agricultural University,Bangladesh Agricultural University (BAU),0.9189,Different Universities,Moderate similarity - likely different universities,Bangladesh,Bangladesh,,the_rankings,"[2022, 2023, 2024]","[2022, 2023, 2024]",3,3
Maharishi Markandeshwar University,Maharishi Markandeshwar University (MMU),0.9189,Different Universities,Moderate similarity - likely different universities,India,India,,the_rankings,"[2023, 2024]","[2023, 2024]",2,2
Al-Ayen University,Al-Bayan University,0.9189,Different Universities,Moderate similarity - likely different universities,Iraq,Iraq,the_rankings,the_rankings,"[2023, 2024]",[2024],2,1
Al-Bayan University,Al-Baha University,0.9189,Different Universities,Moderate similarity - likely different universities,Iraq,Saudi Arabia,the_rankings,the_rankings,[2024],[2024],1,1
Al-Baha University,Albaydha University,0.9189,Different Universities,Moderate similarity - likely different universities,Saudi Arabia,Yemen,the_rankings,the_rankings,[2024],[2024],1,1
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca (CEFET-RJ),0.9185,Different Universities,Moderate similarity - likely different universities,Brazil,Brazil,,the_rankings,[2024],[2024],1,1
