world_rank,previous_rank,university_name,country,Region,Size,Focus,Research,Status,academic_reputation_score,AR RANK,employer_reputation_score,ER RANK,faculty_student_ratio,FSR RANK,citations_per_faculty_score,CPF RANK,international_faculty,IFR RANK,international_students_score,ISR RANK,ISD SCORE,ISD RANK,international_research_network,IRN RANK,employment_outcomes,EO RANK,sustainability_score,SUS RANK,overall_score,merge_key,the_rank,teaching_score,research_environment,research_quality,industry_impact,international_outlook,Student Population,Students to Staff Ratio,International Students,Female to Male Ratio,the_overall_score,P,TCS,MNCS,P_top_10,P_collab,P_int_collab,P_industry_collab,PP_OA,PA_M,PA_F,scimago_global_rank,Best Country Quartile,national_rank,quality_of_education,alumni_employment,quality_of_faculty,publications,influence,citations,broad_impact,patents,score,total_score,alumni,award,hici,ns,pub,pcp,teaching,research,citations_times,income,total_score_times,teaching_times,research_times,income_times,Country Average Rank,Country Average Score,Universities in Country,Best University Rank,Global Ranking Score,Research Productivity Index,Citation Impact Score,Internationalization Score,Research Excellence Score,Overall Performance Index,city,subject_field,university_type,degree_level,faculty_count,undergraduate_count,postgraduate_count,international_students_count,international_student_ratio,gender_ratio,female_percentage,male_percentage,h_index,research_output_score,research_productivity_index
1,1,Massachusetts Institute of Technology (MIT),United States of America,Americas,M,CO,VH,Private not for Profit,100.0,4,100.0,2,100.0,16,100.0,7,100.0,63,91.6,153,92.3,130,94.1,98,100.0,7,93.8,33,100.0,MASSACHUSETTS INSTITUTE OF TECHNOLOGY MIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.4,68.2,80.7,60.6,73.1,61.1,68.0,,,,,,,,,639.2864583333334,52.87142857142857,192,1,1501,0.0,0.0,95.8,0.0,40.0,,,,,,,,,,,,,,,
2,2,Imperial College London,United Kingdom,Europe,L,FO,VH,Public,99.6,22,100.0,9,99.3,42,95.0,69,100.0,74,100.0,35,100.0,22,97.5,28,95.9,68,98.3,7=,99.4,IMPERIAL COLLEGE LONDON,8.0,90.6,94.9,98.0,91.9,98.2,"21,340",12.1,60%,43 : 57,94.689,40353.0,775713.0,1.93743022831246,8432.26561500455,36364.0,30063.0,4959.0,0.801130027507248,0.546624841441256,0.240777880626693,69.0,1.0,4.0,90.0,82.0,30.0,19.0,26.0,23.0,19.0,47.0,59.61,,,,,,,,83.3,88.5,96.7,53.7,89.1,83.3,88.5,53.7,499.4111111111111,54.06,90,2,1500,40353.0,1.93743022831246,100.0,94.85,86.0497,London,Engineering & Technology,Public,Undergraduate & Postgraduate,1146.0,15589.0,5751.0,12804.0,60.0,43:57:00,43.0,57.0,368.0,97.3,5.75
3,6,Stanford University,United States of America,Americas,L,FC,VH,Private not for Profit,100.0,5,100.0,3,100.0,17,99.7,24,94.2,188,73.5,261,76.1,230,96.5,49,100.0,2,95.4,19=,98.9,STANFORD UNIVERSITY,5.0,97.5,97.4,99.5,100.0,83.9,"17,422",5.9,25%,48 : 52,97.151,47168.0,857982.0,1.94166545879197,10193.1726366413,40762.0,23232.0,5590.0,0.706898744911805,0.526406698700634,0.296693298456114,18.0,1.0,2.0,9.0,2.0,4.0,5.0,3.0,3.0,4.0,10.0,98.66,73.3,40.7,89.6,80.1,70.1,70.6,53.8,92.5,96.2,99.9,63.3,93.9,92.5,96.2,63.3,639.2864583333334,52.87142857142857,192,1,1499,47168.0,1.94166545879197,83.85,98.27,98.3033,Stanford,Social Sciences & Management,Private not for Profit,Undergraduate & Postgraduate,1902.0,13458.0,3964.0,4356.0,25.0,48:52:00,48.0,52.0,271.0,99.8,3.05
4,3,University of Oxford,United Kingdom,Europe,L,FC,VH,Public,100.0,2,100.0,4,100.0,9,91.0,98,98.8,132,98.6,80,98.7,67,100.0,1,100.0,3,77.9,198=,97.9,UNIVERSITY OF OXFORD,1.0,97.2,100.0,97.7,99.9,96.4,"22,005",10.4,43%,52 : 48,98.21,47616.0,823650.0,1.8853932160104,9755.41224180919,41877.0,34793.0,4714.0,0.85177251344086,0.524499843998508,0.279333987778615,26.0,1.0,2.0,7.0,13.0,10.0,7.0,12.0,7.0,9.0,15.0,96.46,56.6,49.7,54.9,52.3,51.9,70.9,43.1,86.5,98.9,98.8,73.1,94.2,86.5,98.9,73.1,499.4111111111111,54.06,90,2,1498,47616.0,1.8853932160104,98.7,98.24,97.561,Oxford,Life Sciences & Medicine,Public,Undergraduate & Postgraduate,1805.0,13259.0,8746.0,9462.0,43.0,52:48:00,52.0,48.0,332.0,95.5,3.43
5,4,Harvard University,United States of America,Americas,L,FC,VH,Private not for Profit,100.0,1,100.0,1,98.3,50,100.0,1,79.1,300,81.4,217,60.6,335,99.4,8,100.0,1,77.8,201=,97.7,HARVARD UNIVERSITY,6.0,95.9,100.0,98.9,86.7,88.3,"22,680",10.1,27%,53 : 47,97.051,95463.0,1705160.0,1.85689180951024,20029.740991806,84918.0,53232.0,10267.0,0.730555293673989,0.5309847225876,0.34996888053333,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,76.6,83.6,99.0,99.8,45.2,91.6,83.6,99.0,45.2,639.2864583333334,52.87142857142857,192,1,1497,95463.0,1.85689180951024,80.25,98.33,98.1953,Cambridge,Life Sciences & Medicine,Private not for Profit,Undergraduate & Postgraduate,1166.0,14425.0,8255.0,6124.0,27.0,53:47:00,53.0,47.0,348.0,100.0,9.17
6,5,University of Cambridge,United Kingdom,Europe,L,FC,VH,Public,100.0,3,100.0,5,100.0,23,88.6,107,100.0,80,93.1,144,93.6,120,99.2,12,100.0,5,78.4,194,97.2,UNIVERSITY OF CAMBRIDGE,4.0,96.2,99.9,97.1,87.6,96.3,"21,045",11.3,38%,50 : 50,97.2065,38245.0,732600.0,1.90396498903281,7811.96308179873,33446.0,27915.0,3792.0,0.826539416917244,0.578745576091231,0.270389303971687,63.0,1.0,1.0,2.0,10.0,5.0,11.0,6.0,12.0,13.0,48.0,96.81,68.8,77.1,96.6,50.8,55.6,66.4,55.8,88.2,96.7,97.0,55.0,92.8,88.2,96.7,55.0,499.4111111111111,54.06,90,2,1496,38245.0,1.90396498903281,96.55,97.67,97.08495,Cambridge,Natural Sciences,Public,Undergraduate & Postgraduate,1264.0,16620.0,4425.0,7997.0,38.0,50:50:00,50.0,50.0,289.0,94.3,6.96
7,7,ETH Zurich (Swiss Federal Institute of Technology),Switzerland,Europe,L,FO,VH,Public,99.7,18,96.3,42,71.7,214,98.8,40,100.0,28,99.3,58,73.9,241,95.8,64,95.0,76,99.6,2,96.7,ETH ZURICH SWISS FEDERAL INSTITUTE OF TECHNOLOGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.4,61.2,10,7,1495,0.0,0.0,99.65,0.0,38.68000000000001,,,,,,,,,,,,,,,
8,8,National University of Singapore (NUS),Singapore,Asia,XL,FC,VH,Public,99.9,14,98.2,32,71.5,216,95.9,64,100.0,37,96.9,101,72.1,253,92.4,140,100.0,9,90.0,63=,95.9,NATIONAL UNIVERSITY OF SINGAPORE NUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262.5,63.125,4,8,1494,0.0,0.0,98.45,0.0,38.36000000000001,,,,,,,,,,,,,,,
9,9,UCL (University College London),United Kingdom,Europe,XL,FC,VH,Public,99.9,15,99.4,18,94.8,77,80.9,151,99.6,108,100.0,27,100.0,17,99.9,2,89.3,111,98.5,5=,95.8,UCL UNIVERSITY COLLEGE LONDON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499.4111111111111,54.06,90,2,1493,0.0,0.0,99.8,0.0,38.32,,,,,,,,,,,,,,,
10,10,California Institute of Technology (Caltech),United States of America,Americas,S,FO,VH,Private not for Profit,98.3,33,99.2,23,100.0,5,100.0,3,100.0,65,90.7,161,91.4,136,61.8,665,49.1,352,79.2,185,94.3,CALIFORNIA INSTITUTE OF TECHNOLOGY CALTECH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,639.2864583333334,52.87142857142857,192,1,1492,0.0,0.0,95.35,0.0,37.72,,,,,,,,,,,,,,,
